symptom_cui,disease_cui,symptom_name,disease_name
C0030193,C0392060,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain","Ophthalmoplegia, painful; Painful ophthalmoplegia; PAINFUL OPHTHALMOPLEGIA; Painful ophthalmoplegia (disorder); Nonspecific inflammation of the cavernous sinus or superior orbital fissure"
C0030193,C0393776,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain","Sleep-Related Painful Erections; Sleep-related painful erections; Erection, Sleep-Related Painful; Painful Erection, Sleep-Related; Sleep Related Painful Erections; Sleep-Related Painful Erection; Erections, Sleep-Related Painful; Painful Erections, Sleep Related; Painful Erections, Sleep-Related; Sleep-related painful erections (disorder)"
C0030193,C0393786,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain","Trigeminal Neuralgia, Idiopathic; Idiopathic trigeminal neuralgia; idiopathic trigeminal neuralgia; Idiopathic Trigeminal Neuralgias; Idiopathic Trigeminal Neuralgia; Neuralgia, Idiopathic Trigeminal; idiopathic trigeminal neuralgia (diagnosis); Idiopathic trigeminal neuralgia (disorder)"
C0030193,C0393787,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain","Secondary Trigeminal Neuralgia; trigeminal neuralgia secondary; Secondary trigeminal neuralgia; Secondary Trigeminal Neuralgias; Neuralgia, Secondary Trigeminal; Trigeminal Neuralgia, Secondary; Secondary trigeminal neuralgia (diagnosis); Secondary trigeminal neuralgia (disorder)"
C0030193,C0393788,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",
C0030193,C0393829,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Acute painful diabetic neuropathy; Acute painful neuropathy due to diabetes mellitus; Acute painful neuropathy due to diabetes mellitus (disorder)
C0030193,C0393833,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Diabetic acute painful polyneuropathy; Acute painful polyneuropathy due to diabetes mellitus; Acute painful polyneuropathy due to diabetes mellitus (disorder)
C0030193,C0404545,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Endometriosis outside pelvis; endometriosis outside pelvis; Extrapelvic endometriosis; endometriosis outside pelvis (diagnosis); Endometriosis outside pelvis (disorder)
C0030193,C0406670,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain","Vulvodynia; vulvodynia; Vulvodynia NOS; discomfort of vulva; Vulvar pain; VULVAR PAIN; vulvar pain; Burning (of);vulva; Burning vulva; burning vulva; vulva burning; vulval discomfort; vulvar discomfort; Pain of vulva; pain of vulva; pain vulva; Pain;vulva; vulva pain; Vulval pain; vulval pain; Vulva painful; Vulvodynia (disorder); Vulval pain (finding); vulvodynia (diagnosis); vulvar burning (symptom); vulvar pain (symptom); vulvar burning; Vulvodynia, unspecified"
C0030193,C0410157,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Fibrositis and nodular fasciitis; Fibrositis and nodular fasciitis (disorder)
C0030193,C0410249,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Viral myalgia; viral myalgia; myalgias viral; viral myalgia (diagnosis); Viral myalgia (disorder)
C0030193,C0423711,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain","Neuralgia, Perineal; Perineal neuralgia; Neuralgias, Perineal; Perineal Neuralgias; Perineal Neuralgia; Perineal neuralgia (finding)"
C0030193,C0423712,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain","Neuralgia, Iliohypogastric Nerve; Iliohypogastric nerve neuralgia; Iliohypogastric Nerve Neuralgias; Nerve Neuralgias, Iliohypogastric; Neuralgias, Iliohypogastric Nerve; Iliohypogastric Nerve Neuralgia; Nerve Neuralgia, Iliohypogastric; Iliohypogastric neuralgia; Iliohypogastric nerve neuralgia (finding)"
C0030193,C0458219,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain","Complex Regional Pain Syndromes; Complex regional pain syndromes; complex regional pain syndromes; Complex regional pain syndrome; complex pain regional syndrome; complex regional pain syndrome; complexed pain regional syndrome; pain regional complex syndrome; regional complex pain syndrome; Complex Regional Pain Syndrome; Complex regional pain syndrome NOS; Pain Syndromes, Regional Complex; Algodystrophy; Complex regional pain syndrome (diagnosis); CRPS (Complex Regional Pain Syndromes); CRPS - complex regional pain syndrome; Complex regional pain syndrome (disorder); CRPS"
C0030193,C0458220,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Nervus intermedius neuralgia; nervus intermedius neuralgia; Geniculate otalgia; Hunt's neuralgia; Hunt neuralgia; Neuralgia facialis vera; Geniculate neuralgia; Nervus intermedius neuralgia (disorder); nervus intermedius neuralgia (diagnosis)
C0030193,C0458224,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain","Piriformis Muscle Syndrome; Muscle Syndromes, Piriformis; Piriformis Muscle Syndromes; Syndromes, Piriformis Muscle; Muscle Syndrome, Piriformis; Syndrome, Piriformis Muscle; Piriformis syndrome; syndrome piriformis; Piriformis Syndrome; piriformis syndrome; Piriformis syndromes; syndromes, Piriformis; piriformis syndromes; syndrome, Piriformis; Piriformis syndrome (disorder); Pelvic outlet syndrome; piriformis syndrome (diagnosis)"
C0030193,C0521517,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",
C0030193,C0543820,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain","Secondary erythromelalgia; Erythromelalgia, secondary; secondary erythromelalgia; Secondary erythermalgia; secondary erythromelalgia (diagnosis); Secondary erythromelalgia (disorder); Erythromelalgia Type III"
C0030193,C0564774,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Dysmenorrhea - non-psychogenic; Dysmenorrhoea - non-psychogenic; Dysmenorrhea - non-psychogenic (disorder)
C0030193,C0585051,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Acute sciatica; sciatica acute; Acute sciatica (diagnosis); Acute sciatica (disorder)
C0030193,C0585052,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Chronic sciatica; sciatica chronic; Chronic sciatica (diagnosis); Chronic sciatica (disorder)
C0030193,C0741026,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Atypical angina; ANGINA ATYPICAL; Atypical Angina; Atypical angina (disorder); atypical angina pectoris (diagnosis); atypical angina pectoris
C0030193,C0741032,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Refractory angina; ANGINA REFRACTORY; refractory angina pectoris (diagnosis); Refractory angina (disorder); Refractory angina pectoris; angina pectoris refractory; refractory angina pectoris
C0030193,C0745890,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Reflex sympathetic dystrophy of the lower limb; LOWER EXTREMITY REFLEX SYMPATHETIC DYSTROPHY
C0030193,C0751406,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain","Post-Traumatic Osteoporosis; Osteoporosis, post-traumatic; osteoporosis; post-traumatic; Post-traumatic osteoporosis; post-traumatic; osteoporosis; Post-Traumatic Osteoporoses; Osteoporosis, Post Traumatic; Osteoporosis, Post-Traumatic; Posttraumatic atrophy of bone; Posttraumatic osteoporosis (disorder); Posttraumatic osteoporosis"
C0030193,C1268586,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Anterior ethmoidal nerve syndrome; Anterior ethmoidal nerve syndrome (disorder)
C0030193,C1275050,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Eosinophilia-myalgia syndrome from tryptophan; Myalgia-eosinophilia syndrome associated with tryptophan; Eosinophilia-myalgia syndrome from tryptophan (disorder); Tryptophan induced eosinophilia-myalgia syndrome
C0030193,C1278535,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Post infarct angina; angina pectoris following acute myocardial infarction; angina pectoris following myocardial infarction (diagnosis); angina pectoris following myocardial infarction; Post infarct angina (disorder)
C0030193,C1281944,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Endometriosis of uterosacral ligament; endometriosis of uterosacral ligament; Endometriosis of the uterosacral ligament(s) NOS; endometriosis of uterosacral ligament (diagnosis); Endometriosis of uterosacral ligament (disorder)
C0030193,C1299435,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Progressive Angina; Progressive angina; Progressive angina (disorder)
C0030193,C1299436,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Recurrent angina after percutaneous transluminal coronary angioplasty; Recurrent angina status post percutaneous transluminal coronary angioplasty (diagnosis); Recurrent angina status post percutaneous transluminal coronary angioplasty (disorder); Recurrent angina status post percutaneous transluminal coronary angioplasty; angina recurrent status post percutaneous transluminal coronary angioplasty
C0030193,C1299437,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Recurrent angina following placement of coronary artery stent; Recurrent angina status post coronary stent placement (diagnosis); Recurrent angina following placement of coronary artery stent (disorder); Recurrent angina post coronary artery stent placement; Recurrent angina status post coronary stent placement; angina recurrent status post coronary stent placement; Recurrent angina after coronary stent placement
C0030193,C1299438,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Recurrent angina after coronary artery bypass graft; Recurrent angina status post coronary artery bypass graft (diagnosis); Recurrent angina status post coronary artery bypass graft (disorder); Recurrent angina status post coronary artery bypass graft; angina recurrent status post coronary artery bypass graft
C0030193,C1299439,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Recurrent angina post rotational atherectomy; Recurrent angina status post rotational atherectomy (diagnosis); Recurrent angina status post rotational atherectomy (disorder); Recurrent angina status post rotational atherectomy; angina recurrent status post rotational atherectomy
C0030193,C1299440,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Recurrent angina after directional coronary atherectomy; Recurrent angina status post directional coronary atherectomy (diagnosis); Recurrent angina status post directional coronary atherectomy (disorder); Recurrent angina status post directional coronary atherectomy; angina recurrent status post directional coronary atherectomy
C0030193,C1300028,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",
C0030193,C1301339,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Extraovarian endometriosis; Extraovarian endometriosis (disorder)
C0030193,C1302248,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Disorder characterized by back pain; Disorder characterised by back pain; Disorder characterized by back pain (disorder)
C0030193,C1443290,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain","Complex regional pain syndrome, type II, lower limb; complex regional pain syndrome type II of lower limb; complex regional pain syndrome type II of lower limb (diagnosis); Complex regional pain syndrome, type II, lower limb (disorder)"
C0030193,C1443291,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain","Complex regional pain syndrome, type II, upper limb; complex regional pain syndrome type II of upper limb; Complex regional pain syndrome type II of the upper limb; Causalgia of upper limb; complex regional pain syndrome type II of upper limb (diagnosis); Complex regional pain syndrome, type II, upper limb (disorder); Causalgia of unspecified upper limb"
C0030193,C1527353,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain","Algodystrophic Syndrome; Syndrome, Algodystrophic; Algodystrophy; Algodystrophies"
C0030193,C1536114,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Central pain syndrome; Central Pain Syndrome; central pain syndrome; Central pain syndrome (disorder); central pain syndrome (diagnosis)
C0030193,C1720149,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain","Neuralgia with AIDS (acquired immunodeficiency syndrome); AIDS with neuralgia, NOS; Neuralgia associated with AIDS (diagnosis); Neuralgia with acquired immunodeficiency syndrome (disorder); Neuralgia with acquired immunodeficiency syndrome; Neuralgia associated with AIDS"
C0030193,C1997249,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain","Pudendal Neuralgia; Pudendal neuralgia; Neuralgias, Pudendal; Pudendal Neuralgias; Neuralgia, Pudendal; Pudendal Neuropathy; Neuropathies, Pudendal; Pudendal Neuropathies; Neuropathy, Pudendal; Pudendal nerve entrapment syndrome; Pudendal neuralgia (finding); Pudendal neuralgia by pudendal nerve entrapment; Alcock syndrome; Pudendal algia; Pudendalgia"
C0030193,C3266155,"Pain; PAIN; pain; Pain, NOS; pains; Pain NOS; Unspecified Pain; Pain, unspecified; Unspecified pain; Ache; Dolor; Dolour; TYPES OF PAIN; Painful; painful; Part hurts; Pain observations; sense of pain; Pain (finding); pain (symptom); Pain symptoms; Pain (b280-b289); RNDx unspecified pain (diagnosis); RNDx unspecified pain",Functional abdominal pain syndrome; Functional abdominal pain syndrome (disorder)
C0030201,C0406844,"Pain, Postoperative; Postoperative pain; postoperative pain; pain postoperative; postoperative pains; Postoperative pain NOS; Postoperative Pain; pain syndromes post-operative; post-operative pain (diagnosis); Post-surgical Pain; Post surgical Pain; Pain, Post-surgical; Postsurgical Pain; Pain, Postsurgical; post-op pain; Pain;post-op; pain post op; pain post-op; Postoperative pain (finding); Post-operative Pain; pain post-operative; post-operative pain; POST-OPERATIVE PAIN; Post-Operative Pain; Post operative Pain; Post-operative Pains; Pain, Post operative; Pain, Post-operative",Post-thoracotomy pain syndrome; Post-thoracotomy pain syndrome (finding)
C0030214,C0027438,"Myoclonus, Palatal; Palatal myoclonus; palatal myoclonus; myoclonus palatal; Palatal Myoclonus; Palatal nystagmus; Palatal myoclonus (disorder); Palatal tremor; palatal myoclonus (physical finding); palatal myoclonus was seen","Nasopharyngeal Diseases; Disease, Nasopharyngeal; Nasopharyngeal Disease; Diseases, Nasopharyngeal; Disorder of PNS - postnasal space; Disorder of postnasal space; disorder of nasopharynx (diagnosis); Disorder of nasopharynx; disorder of nasopharynx; Nasopharyngeal disorder; Nasopharyngeal Disorder; Diseases of Nasopharynx; Nasopharynx Diseases; Nasopharynx Disease; Nasopharynx--Diseases; nasopharynx; disease; disease (or disorder); nasopharynx; Disorder of nasopharynx (disorder)"
C0030214,C0151532,"Myoclonus, Palatal; Palatal myoclonus; palatal myoclonus; myoclonus palatal; Palatal Myoclonus; Palatal nystagmus; Palatal myoclonus (disorder); Palatal tremor; palatal myoclonus (physical finding); palatal myoclonus was seen","Brain stem disorder; DISORDER BRAIN STEM; Disorder brain stem; BRAIN STEM DISORDER; Brain stem disorder, NOS; brain disorders stem; Brain stem disorder NOS; Disorder of brain stem; disease of brain stem; Disease of brain stem, NOS; brain diseases stem; brain stem disease; of brain stem disease; Disorder of brain stem (disorder)"
C0030214,C0266998,"Myoclonus, Palatal; Palatal myoclonus; palatal myoclonus; myoclonus palatal; Palatal Myoclonus; Palatal nystagmus; Palatal myoclonus (disorder); Palatal tremor; palatal myoclonus (physical finding); palatal myoclonus was seen","Disorder of oral soft tissues; disorder of oral soft tissue; Oral soft tissue disorder NOS; Oral soft tissue disorder; Oral soft tissue disease; DISEASES OF THE ORAL SOFT TISSUES; Disease of the oral soft tissues, NOS; Disease of the oral soft tissues; disorder of oral soft tissue (diagnosis); Disorder of oral soft tissues (disorder)"
C0030214,C0553694,"Myoclonus, Palatal; Palatal myoclonus; palatal myoclonus; myoclonus palatal; Palatal Myoclonus; Palatal nystagmus; Palatal myoclonus (disorder); Palatal tremor; palatal myoclonus (physical finding); palatal myoclonus was seen",Disorder of oropharynx; disorder of oropharynx; OROPHARYNGEAL; oral pharyngeal disorder; oropharyngeal disorder; disorder of oropharynx (diagnosis); disease of oropharynx; diseases oropharynx; Disorder of oropharynx (disorder)
C0030214,C1290785,"Myoclonus, Palatal; Palatal myoclonus; palatal myoclonus; myoclonus palatal; Palatal Myoclonus; Palatal nystagmus; Palatal myoclonus (disorder); Palatal tremor; palatal myoclonus (physical finding); palatal myoclonus was seen",Disorder of palate; disorder of palate; disorder of palate (diagnosis); Palatal disorder; Disorder of palate (disorder)
C0030218,C0029498,Paralysis of palate; Palate paralysis; palate; paralysis; paralysis; palate; Palatal paralysis; PALATAL PARALYSIS; Paralysis of palate (disorder),Other and unspecified diseases of the oral soft tissues
