PMID,Sentence,MeSH Term Found,Title/Abstract
38549486,"The aim of the study was to analyze the relationship between disability, neck pain (NP), use of phones before bedtime, and hours of using smartphones.",Pain,Abstract
38548466,Racial and Ethnic Disparities in the Management of Chronic Coronary Disease.,Coronary Disease,Title
38548464,We have underscored the unique clinical phenotype of IHD in women with a higher prevalence of ischemia with non-obstructive coronary arteries.,Ischemia,Abstract
38548461,When to Consider Coronary Revascularization for Stable Coronary Artery Disease.,Coronary Artery Disease,Title
38548461,Revascularization is an effective adjunct to medical therapy for some patients with chronic coronary disease.,Coronary Disease,Abstract
38548461,Coronary artery bypass grafting is a class I indication for patients with significant left main stenosis or multivessel disease with ejection fraction ≤ 35%.,Disease,Abstract
38548460,"Given the prevalence of chronic coronary disease, efforts should be made toward risk factor modification.",Coronary Disease,Abstract
38548460,Efforts should be made to increase referral for patients with chronic coronary disease to aid in symptom management and reduction of cardiovascular risk factors.,Coronary Disease,Abstract
38548459,Optimal Medical Therapy for Chronic Coronary Disease in 2024: Focus on Antithrombotic Therapy.,Coronary Disease,Title
38548459,Aspirin is indicated for all patients with chronic coronary disease to prevent recurrent ischemic events.,Coronary Disease,Abstract
38548459,"Clinicians must weigh both ischemic risks and bleeding risks when determining an optimal antithrombotic therapy for patients with chronic coronary disease, and soliciting patient involvement in shared decision-making is critical.",Coronary Disease,Abstract
38548455,There are unique advantages and disadvantages to functional versus anatomic testing in the work-up of patients who present with symptoms suggestive of obstructive coronary artery disease.,Coronary Artery Disease,Abstract
38548455,"In general, anatomic testing has particular utility among younger individuals and women; while functional testing can be helpful to rule-in ischemia and guide revascularization decisions.",Ischemia,Abstract
38545499,"In most cases, a combination of paracetamol and ibuprofen are the optimal treatment for postoperative pain in third molar surgery.",Pain,Abstract
38545401,Homicide among Indigenous females in North Carolina: a comparison of publicly generated data and violent death reporting system.,Death,Title
38545401,"This study identified discrepancies in reporting of AI/AN female decedents between the North Carolina Violent Death Reporting System (NC-VDRS) and an online, user-generated database.",Death,Abstract
38545328,Association between frailty and in-hospital outcomes in patients undergoing leadless pacemaker implantation: A nationwide analysis.,Frailty,Title
38545328,The impact of frailty on the prognosis of these patients is currently unknown.,Frailty,Abstract
38545320,Assessment of patient characteristics influencing the complexity of leadless pacemaker implantation.,Tics,Title
38545274,"Upon removal of the umbilical venous catheter line, the infant's clinical state rapidly improved; however, cholestasis continued for months, with a very slow resolution.",Cholestasis,Abstract
38545267,"Filiform polyposis (FP) is a morphologic variant of pseudopolyposis associated with inflammatory conditions of the gastrointestinal tract, namely, inflammatory bowel disease.",Disease,Abstract
38545267,This case documents the development of FP from classical pseudopolyps in the setting of an asymptomatic patient in clinical remission.,Polyps,Abstract
38545266,The residual appendix was dilated with myxoglobulosis and histopathology confirmed the diagnosis of a low-grade appendiceal mucinous neoplasm staged pT3Nx. The potential risk of pseudomyxoma peritonei is a serious complication of these tumors.,Myxoma,Abstract
38545266,"Treatment and prognosis for appendiceal neoplasms depend on the histopathologic characteristics, tumor-nodes-metastasis stage, tumor grade, and presence of peritoneal disease.",Appendiceal Neoplasms,Abstract
38545264,Duodenal obstruction (DO) is an uncommon complication of pancreatitis.,Duodenal Obstruction,Abstract
38544948,Zinc Nitrate Hexahydrate Pseudobinary Eutectics for Near-Room-Temperature Thermal Energy Storage.,Tics,Title
38544948,"Here, we present a new family of low-cost zinc-nitrate-hexahydrate-based eutectics: Zn(NO",Tics,Abstract
38544883,Sudden cardiac death in these patients has been associated with corrected QT (QTc) interval prolongation.,Death,Abstract
38537439,"Withaferin A, a natural thioredoxin reductase 1 (TrxR1) inhibitor, synergistically enhances the antitumor efficacy of sorafenib through ROS-mediated ER stress and DNA damage in hepatocellular carcinoma cells.",Carcinoma,Title
38535755,"Provided that these stimuli share multiple characteristics, while simultaneously being different visual object categories in important ways, a debate has ensued pertaining to whether their processing can be reduced to a common mechanism or whether each category mobilizes exclusive resources.",Tics,Abstract
38535707,"Childbirth Preparation: Knowledge of the Use of Non-Pharmacological Pain Relief Methods during Childbirth in Tshwane District, South Africa: A Cross-Sectional Study.",Pain,Title
38535707,Effective management of labour pain is an essential aspect of care provided to women during childbirth.,Pain,Abstract
38535707,The aim of this study was to assess pregnant women's knowledge of using non-pharmacological pain relief methods during childbirth.,Pain,Abstract
38535481,The COVID-19 pandemic generated interest in the medicinal applications of messenger RNA (mRNA).,COVID-19,Abstract
38535481,iPSCs are widely used for research on regenerative medicine and the preparation of disease models to screen new drug candidates.,Disease,Abstract
38535410,Flywheel Romanian Deadlift: Intra- and Inter-Day Kinetic and Kinematic Reliability of Four Inertial Loads Using Cluster Sets.,Mania,Title
38535410,"The primary aim of this study was to investigate the intra- and inter-day reliability of flywheel cluster set training in concentric power (CON), eccentric power (ECC), and ECC overload during the Romanian deadlift exercise (RDL).",Mania,Abstract
38534803,Incidence of Non-Melanoma Skin Cancers in Salento (Southern Italy): A 15-Year Retrospective Analysis from the Cancer Registry of Lecce.,Melanoma,Title
38534803,"Non-melanoma skin cancers (NMSCs) include basal cell carcinoma (BCC) and squamous-cell carcinoma (SCC), as well as a wide range of rare skin tumors.",Carcinoma,Abstract
38534263,"Claudin-4 is a key component of tight junctions, which play an important role in the formation of the epidermal barrier by forming a circumferential network in the granular layer that serves as a gatekeeper of the paracellular pathway.",Ranula,Abstract
38534263,The aim of this study is to illustrate claudin-4 immunohistochemical staining patterns of different blistering disorders.,Blister,Abstract
38534263,"This finding could shed light on the molecular mechanisms underlying disrupted barrier function in blistering disorders, independent of the specific underlying disease mechanism.",Blister,Abstract
38532837,It includes bioactive compounds with a range of biological characteristics that could be useful in the treatment of particular issues.,Tics,Abstract
38532836,"The imaging findings were consistent with the diagnosis of SIH, with bilateral cerebral subdural hematomas and abnormal fluid collection in the posterior epidural space from the T2 to T12 levels.",Hematoma,Abstract
38532836,"Despite treatment with bilateral burr hole drainage for subdural hematomas and repeated lumbar epidural blood patch (EBP) three times, the patient's condition worsened and he developed stupor.",Hematoma,Abstract
38532836,"The patient's stupor gradually resolved, and after his symptoms improved, the EBP injection was repeated at the T8 level.",Stupor,Abstract
38532836,"The patient recovered completely, and during the six-year follow-up, there were no signs of recurrence.",Recurrence,Abstract
38532836,"SIH may cause a refractory decline in mental status, and lumbar intrathecal saline infusion may help arrest or reverse an impending central (transtentorial) herniation.",Hernia,Abstract
38532836,This maneuver may change the CSF flow pattern and aims to seal the CSF fistula.,Fistula,Abstract
38532834,Celastrol restricts experimental periodontitis related alveolar bone loss by suppressing inflammatory cytokine response.,Periodontitis,Title
38532834,Periodontitis is a common chronic inflammatory disease characterized by the destruction of the supporting structures of the teeth.,Disease,Abstract
38532834,The host defense mechanisms are responsible for inflamatuar and destructive reactions in periodontitis.,Periodontitis,Abstract
38532833,"When stained with monodansylcadaverine (MDC), acridine orange (AO), and terminal deoxynucleotide transferase dUTP nick end labeling (TUNEL), MIA-GR100 cells shrunk, punctured their membranes, and produced autophagy vacuoles and apoptotic bodies.",Cadaver,Abstract
38531385,"Hufnagel implanted a caged-ball prosthesis into the descending thoracic aorta, to treat a patient with aortic valve insufficiency.",Aortic Valve Insufficiency,Abstract
38531385,"All such important or even milestone events should be remembered, since they witness efforts made by those who have significantly influenced the clinical history of aortic and valvular diseases.",Disease,Abstract
38529363,A total of 300 pigs (DNA 200 × 400; initially 6.0 ± 0.08 kg body weight [,Body Weight,Abstract
38526828,Cryptocaryone induces apoptosis in human hepatocellular carcinoma cells by inhibiting aerobic glycolysis through Akt and c-Src signaling pathways.,Carcinoma,Title
38526828,"Hepatocellular carcinoma (HCC) is the most common form of liver cancer, with the second highest mortality rate in all cancer.",Carcinoma,Abstract
38526828,"In this study, we found that cryptocaryone potently induced growth inhibition by apoptotic cell death in HCC cells.",Death,Abstract
38526823,Dietary factors and chronic hyperglycemia are linked to the formation of advanced glycation end products (AGEs) and prostate cancer (PCa) risk.,Hyperglycemia,Abstract
38526822,"The plasma glucose and insulin levels and the insulin resistance index (HOMA-IR) were increased in DM group; among the three adlay diets, DA has the best effects attenuating all of these alterations in DM rats.",Insulin Resistance,Abstract
38526820,An integrated strategy to evaluate active substances of Astragali Radix-Carthami Flos combination on the treatment of cerebral ischemia reperfusion injury based on TQSM polypharmacokinetics and pharmacodynamics.,Ischemia,Title
38526820,"As a classic herb pair, Astragali Radix-Carthami Flos (AR-CF) has revealed good biological activity in the treatment of cerebral ischemia/reperfusion injury (CI/RI), which remained to be further clarified together with the underlying efficacy related compounds for material basis.",Ischemia,Abstract
38526818,"Recently, we had developed recombinant LF-expression probiotics, which can display considerate antibacterial activities against select food-borne pathogens in vitro.",Tics,Abstract
38526818,"Thus, the present study aimed to evaluate the antibacterial activities of heat-killed natural and recombinant LF-expressing probiotics against UTIs in vitro and in vivo.",Tics,Abstract
38526818,"Among the tested probiotics, 10 heat-killed LF-expressing strains displayed superior antibacterial efficacy compared to 12 natural probiotics.",Tics,Abstract
38526818,"Based on their potent in vitro activity, selected probiotics were formulated into three probiotic mixtures: viable probiotic mixture (LAB), heat-killed probiotic mixture (HK-LAB), and heat-killed LF-expressing probiotic mixture (HK-LAB/LF).",Tics,Abstract
38526818,Results from the murine UTI model demonstrated that placebo administration did not reduce bacteriuria throughout the experiment.,Bacteriuria,Abstract
38526818,"Conversely, supplementation with ampicillin, HK-LAB/LF, HK-LAB, or LAB significantly (p < 0.05) reduced daily bacteriuria by 103 to 104-fold on days 1, 3, 5, and 14, respectively.",Bacteriuria,Abstract
38526500,The role of geriatric nutritional risk index as a predictor for postoperative outcomes in gastrointestinal emergencies.,Emergencies,Title
38526287,"However, inflammation is known to play an important role in the development of this condition.",Inflammation,Abstract
38526284,Cav3.2 channel regulates cerebral ischemia/reperfusion injury: a promising target for intervention.,Ischemia,Title
38526284,JOURNAL/nrgr/04.03/01300535-202419110-00028/figure1/v/2024-03-08T184507Z/r/image-tiff Calcium influx into neurons triggers neuronal death during cerebral ischemia/reperfusion injury.,Death,Abstract
38526284,Various calcium channels are involved in cerebral ischemia/reperfusion injury.,Ischemia,Abstract
38526284,"T-type calcium channel blockers, such as pimozide and mibefradil, have been shown to prevent cerebral ischemia/reperfusion injury-induced brain injury.",Ischemia,Abstract
38526284,"However, the role of Cav3.2 channels in cerebral ischemia/reperfusion injury remains unclear.",Ischemia,Abstract
38526284,We further established a Cav3.2 gene-knockout mouse model of cerebral ischemia/reperfusion injury.,Ischemia,Abstract
38526284,"Cav3.2 knockout markedly reduced infarct volume and brain water content, and alleviated neurological dysfunction after cerebral ischemia/reperfusion injury.",Ischemia,Abstract
38526284,"Additionally, Cav3.2 knockout attenuated cerebral ischemia/reperfusion injury-induced oxidative stress, inflammatory response, and neuronal apoptosis.",Ischemia,Abstract
38526284,"In the hippocampus of Cav3.2-knockout mice, calcineurin overexpression offset the beneficial effect of Cav3.2 knockout after cerebral ischemia/reperfusion injury.",Ischemia,Abstract
38526284,Findings from this study suggest that Cav3.2 could be a promising target for treatment of cerebral ischemia/reperfusion injury.,Ischemia,Abstract
38526281,Cell reprogramming therapy for Parkinson's disease.,Disease,Title
38526281,Many studies have been performed based on the supplementation of lost dopaminergic neurons to treat Parkinson's disease.,Disease,Abstract
38526281,Both induced pluripotent stem cells and direct reprogramming of lineage cells have shown promising results in the treatment of Parkinson's disease.,Disease,Abstract
38526281,"This review highlights the current application status of cell reprogramming in the treatment of Parkinson's disease, focusing on the use of induced pluripotent stem cells in cell replacement therapy, including preclinical animal models and progress in clinical research.",Disease,Abstract
38526281,"The review also discusses the advancements in direct reprogramming of lineage cells in the treatment of Parkinson's disease, as well as the controversy surrounding in vivo reprogramming.",Disease,Abstract
38526281,These findings suggest that cell reprogramming may hold great promise as a potential strategy for treating Parkinson's disease.,Disease,Abstract
38526280,Emerging strategies for nerve repair and regeneration in ischemic stroke: neural stem cell therapy.,Stroke,Title
38526280,"Ischemic stroke is a major cause of mortality and disability worldwide, with limited treatment options available in clinical practice.",Stroke,Abstract
38526280,The emergence of stem cell therapy has provided new hope to the field of stroke treatment via the restoration of brain neuron function.,Stroke,Abstract
38526276,"The inflammasome is a multiprotein complex involved in innate immunity that mediates the inflammatory response leading to pyroptosis, which is a lytic, inflammatory form of cell death.",Death,Abstract
38526275,Advanced brain organoids provide promising platforms for deciphering the cellular and molecular processes of human neural development and diseases.,Disease,Abstract
38526275,"Subsequently, current applications for brain organoids in neuroscience, including human neural development, neural disorders, infectious diseases, regenerative medicine, drug discovery, and toxicity assessment studies, are comprehensively discussed.",Disease,Abstract
38526176,"However, genotyping of the IL-37 gene revealed no significant difference between the two groups, and there was no association between IL-37 genotype and IL-37 protein level or clinicopathological characteristics (p>0.05).",Tics,Abstract
38526174,"There is currently no safe or effective treatment for inflammatory bowel disease (IBD), which is defined as recurrent and persistent intestinal inflammation.",Disease,Abstract
38526174,"TSLP expression levels were elevated in DSS-induced IBD mice, whereas TSLP antibody treatment suppressed the pathological features associated with IBD and alleviated intestinal inflammation and mucosal barrier disruption.",Inflammation,Abstract
38526173,"These mechanisms are notable issues in clinical practice that affect the treatment of hepatic loss caused by hepatectomy, hepatic poisoning, or chronic viral infection.",Poisoning,Abstract
38525636,An outbreak within an outbreak: The impact of Infection Prevention and Control strategies on hospital-acquired infections and the occurrence of multi-drug resistant organisms during the COVID-19 pandemic.,Infections,Title
38525636,The coronavirus disease 2019 (COVID-19) pandemic placed an unprecedented strain on intensive care units (ICUs) in South Africa.,Disease,Abstract
38525636,Infection prevention and control (IPC) strategies were highlighted to minimise the risk to healthcare workers and for the protection of patients from contracting hospital-acquired infections (HAIs).,Infections,Abstract
38525636,"We noted an upstroke in the occurrence of HAIs, specifically carbapenem-resistant Enterobacterales (CRE) and multidrug-resistant (MDR) Acinetobacter baumannii.",Stroke,Abstract
38525634,These examples of wrong-route drug administration errors have the potential to cause significant organ dysfunction and even death.,Death,Abstract
38525633,Antivirals for the treatment of mild and moderate COVID-19 in South Africa.,COVID-19,Title
38525633,"While the majority of COVID-19 cases in South Africa (SA) are mild, patients with severe COVID-19 requiring hospitalisation present with significant morbidity and mortality and place a substantial burden on healthcare services.",COVID-19,Abstract
38525633,"Several antiviral classes have been newly developed or repurposed to treat COVID-19 early after infection to retard progression to severe disease and reduce the risk of death, particularly in the elderly and/or in patients with comorbidities.",Death,Abstract
38525633,"COVID-19 antivirals such as remdesivir, nirmatrelvir/ ritonavir and molnupiravir are safe and cost-effective and have received either full approval or emergency use authorisation from regulators.",COVID-19,Abstract
38525631,"The characteristics of dermatology inpatients seen at the quaternary Inkosi Albert Luthuli Central Hospital in Durban, South Africa, over a 5-year period - 2015 - 2020.",Tics,Title
38525630,Patient 2 had unilateral cerebellar ataxia.,Ataxia,Abstract
38525629,There are variations in the numbers of pancreatic cancer deaths reported annually in South Africa (SA).,Death,Abstract
38525629,"Since pancreatic cancer deaths in SA from 1997 to 2016, the number of cases has hugely increased, and reached 23 581 in both sexes.",Death,Abstract
38525627,Prevention of new HIV infections is crucial for controlling the HIV epidemic.,Infections,Abstract
38525626,E-MOTIVE was integrated into the existing Essential Steps in Managing Obstetric Emergencies algorithm.,Emergencies,Abstract
38525624,Recurrent venous thrombosis - an unusual first presentation of autoimmune polyendocrinopathy syndrome type 3B.,Syndrome,Title
38525624,"A 45-year-old female presented with unprovoked recurrent venous thromboembolism (VTE), in unusual sites, and pancytopenia, posing a complex diagnostic challenge.",Embolism,Abstract
38525624,"Work-up for inherited thrombophilia, antiphospholipid syndrome (APLS) and paroxysmal nocturnal haemoglobinuria were unremarkable.",Syndrome,Abstract
38525623,The advantages of rare disease biobanking: A localised source of genetic knowledge to benefit the South African rare disease community and related stakeholders worldwide.,Disease,Title
38525617,Legislation must be developed to frame liability and account for negligence due to robotics in the same way human healthcare providers are held accountable.,Tics,Abstract
38525178,Patterns and predictors of tooth loss among partially dentate individuals in Jordan: A cross-sectional study.,Tooth Loss,Title
38525134,"However, its impact on vascular injury in CRF combined stroke and its molecular protection mechanism have not been investigated.",Stroke,Abstract
38525134,"In this study, we carried out the effect of cilostazol on CRF combined stroke rats, and the results confirmed that it improved the neurobehavior, renal function as well as pathologic changes in both the kidney and brain.",Stroke,Abstract
38525134,"In addition, the inflammation and oxidative stress factors in the kidney and brain were suppressed.",Inflammation,Abstract
38525134,"More importantly, this protective effect is related to the pathway of Janus Kinase (JAK)/signal transducer and activator of transcription 3 (STAT3), mammalian target of rapamycin (mTOR), and the hypoxia inducible factor-1α (HIF-1α).",Hypoxia,Abstract
38525134,"In conclusion, our results confirmed that cilostazol exerted a protective effect on the brain and kidney function, specifically in vascular injury, oxidative stress, cell apoptosis, cell autophagy, and inflammation response in CRF combined with stroke rats which were related to the upregulation of JAK/STAT3/mTOR signal pathway.",Inflammation,Abstract
38525093,Nivolumab Safety in Renal Cell Carcinoma: A Case Report.,Carcinoma,Title
38525093,A 70-year-old male was switched from sunitinib to nivolumab for renal cell carcinoma.,Carcinoma,Abstract
38525093,"The patient developed persistent hypothyroidism, onycholysis, and pneumonitis at nivolumab cycle 6, 10, and 11, respectively.",Hypothyroidism,Abstract
38525093,"Using the Naranjo causality method, the likelihood of causality was deemed ""probable"" for pneumonitis and hypothyroidism and ""possible"" for onycholysis.",Hypothyroidism,Abstract
38525093,"Nivolumab was eventually discontinued due to disease progression, rather than safety concerns.",Disease,Abstract
38525093,"This case report identified an uncommon nivolumab adverse drug reaction (ADR), onycholysis and showed how, despite the occurrence of 3 ADRs, it was its lack of efficacy rather than its safety which led to its discontinuation in this particular patient.",Onycholysis,Abstract
38525020,Effective techniques for eliminating antibiotics from water environments are in high demand.,Tics,Abstract
38524939,Rapid improvement of severe fatty liver in a case of fulminant type 1 diabetes following insulin treatment.,Fatty Liver,Title
38524939,"Computed tomography on admission revealed severe fatty liver (FL), which improved 17 h following insulin treatment.",Fatty Liver,Abstract
38524936,"The findings of our study demonstrated that both flavonoids can regulate important disease-promoting systems, such as inflammation, oxidative stress, and dysregulation of the renin-angiotensin system.",Disease,Abstract
38524924,"In this report, we present the case of a 17-year-old woman who developed insulin resistance, hypertriglyceridemia, and fatty liver after HSCT.",Fatty Liver,Abstract
38524924,"Nevertheless, after she developed adjustment disorder and experienced weight loss, along with decreased food intake, her metabolic markers significantly improved.",Weight Loss,Abstract
38524904,"Corrigendum to ""Emulsifying Lipiodol with pH-Sensitive DOX@HmA nanoparticles for hepatocellular carcinoma TACE treatment eliminate metastasis"" Mater.",Carcinoma,Title
38524883,Severe Pulmonary Hypertension and Pulmonary Thrombi in a Dog.,Hypertension,Title
38524856,"To date, there exists no cure for the disease.",Disease,Abstract
38524856,Treatment strategies focus on symptom management and on mitigation of disease progression by reducing toxin exposure and avoiding recurrent inflammatory events.,Disease,Abstract
38524856,Traditional treatment protocols start with medical management followed by consideration of procedural or surgical intervention on selected patients with severe and persistent pain.,Pain,Abstract
38524856,"The incorporation of adjuvant therapies to treat comorbidities including psychiatric disorders, exocrine pancreatic insufficiency, mineral bone disease, frailty, and malnutrition, are in its early stages.",Disease,Abstract
38524856,"Recent clinical studies and animal models have been designed to improve investigation into the pathophysiology of CP pain, as well as to improve pain management.",Pain,Abstract
38524856,There still remains much to discover about the neural regulation of pancreas-related pain.,Pain,Abstract
38524856,"In this review, we will discuss research from the last 5 years that has provided new insights into novel methods of pain phenotyping and the pathophysiology of CP pain.",Pain,Abstract
38524821,"Perceived exertion and mental demand were assessed immediately after, and barbell kinematics were recorded during three power snatch trials performed following the POST measurement.",Tics,Abstract
38524811,The influence of match status on the conditional characteristics of tactical sprint actions in professional soccer players.,Tics,Title
38524811,"This study aimed to analyse the influence of the match status on the conditional characteristics of tactical sprint actions among Spanish professional soccer players, considering playing positions.",Tics,Abstract
38524701,"During the COVID-19 pandemic, the interplay between the processes of immunity and senescence is drawing more and more intensive attention.",COVID-19,Abstract
38524701,Studies on how senescence initiates upon viral infection and how to restrict excessive accumulation of senescent cells to avoid harmful inflammation are crucially important.,Inflammation,Abstract
38524701,"At the end of the review, we propose the strategies by which we can improve the immune function and reduce inflammation based on these findings.",Inflammation,Abstract
38524697,"Notably, PIMS-AI offers significant advantages over conventional preimplantation genetic testing for aneuploidy (PGT-A), including enhanced embryo discriminability and the potential to benefit a broader patient population.",Aneuploidy,Abstract
38524658,Significant reduction in burden of metastatic disease by intermittent docetaxel therapy in a patient with castration-resistant prostate cancer.,Disease,Title
38524657,Eventual nephrectomy revealed severely necrotic and perforated Stage III Wilms tumor (WT).,Wilms Tumor,Abstract
38524642,Little is known about the efficacy and safety of durvalumab plus carboplatin-etoposide treatment in patients with extensive-disease (ED) small-cell lung cancer (SCLC) on hemodialysis.,Disease,Abstract
38524324,Comment on the long-term effect of panretinal photocoagulation on optic nerve head parameters in diabetic retinopathy using Heidelberg retinal tomography III.,Diabetic Retinopathy,Title
38524320,Reverse pupillary block with intraocular pressure (IOP) elevation after cataract surgery with in-the-bag implantation of intraocular lens (IOL) is considered a very rare complication.,Cataract,Abstract
38524320,Elevated IOP from the reverse pupillary block is a rare postoperative complication of cataract surgery.,Cataract,Abstract
38524210,moderate exercise to improve glucose metabolism in inactive women with polycystic ovary syndrome and insulin resistance: a pilot randomized controlled trial of two home-based exercise routines.,Insulin Resistance,Title
38524210,moderate exercise on metabolic parameters in polycystic ovary syndrome (PCOS).,Polycystic Ovary Syndrome,Abstract
38524169,Quetiapine improves sensorimotor gating deficit in a sleep deprivation-induced rat model.,Sleep Deprivation,Title
38524169,"Sleep deprivation (SD) impairs pre-stimulus inhibition, but the effect of quetiapine (QET) remains largely unknown.",Sleep Deprivation,Abstract
38523902,Endoscopic enucleation of the prostate (EEP) has gained acceptance as an equitable alternative to transurethral resection of the prostate for benign prostate hyperplasia (BPH).,Hyperplasia,Abstract
38523879,"Regulation, Maintenance, and Remodeling of High Endothelial Venules in Homeostasis, Inflammation, and Cancer.",Inflammation,Title
38523879,"High endothelial venules (HEVs), high walled cuboidal blood vessels, through their expression of adhesion molecules and chemokines, allow the entrance of lymphoid cells into primary, secondary, and tertiary lymphoid structures (aka tertiary lymphoid organs).",Tertiary Lymphoid Structures,Abstract
38523879,Rules regulating HEV development are flexible in inflammation.,Inflammation,Abstract
38523858,Pheochromocytoma and paraganglioma (PPGL) are rare neuroendocrine tumors.,Glioma,Abstract
38523857,Co-existence of Type 1 Diabetes Mellitus and Myasthenia Gravis: A Case Report and Review of the Literature.,Asthenia,Title
38523857,Type 1 diabetes (T1D) and myasthenia gravis (MG) are autoimmune conditions that rarely co-occur.,Asthenia,Abstract
38523849,"Monogenic diabetes is a rare type of diabetes that is commonly misdiagnosed as type 1 or 2 diabetes mellitus, which adversely impacts patient care.",Diabetes Mellitus,Abstract
38523804,COVID19 is an emerging infectious disease that has spread all over the world and became a pandemic.,Disease,Abstract
38523804,"The data were processed on Excel 2016 and analyzed through EPI info 3.5. The questionnaire included knowledge, perceptions and practices about the disease's existence, its functional signs, prevention and control.",Disease,Abstract
38523803,Descriptive statistics generating frequencies and percentages.,Tics,Abstract
38523771,"We expect this review to facilitate collaborative interactions between imaging communities, push the field forward and foster technological advancements, biophysical discoveries, as well as clinical detection, diagnosis, and monitoring of disease.",Disease,Abstract
38522876,"Mitral valve repair is rarely necessary as SAM-mediated MR resolves with adequate myectomy alone, but mitral repair is performed in cases of intrinsic valvular disease.",Disease,Abstract
38522873,"When the options of aortic valve repair or the Ross procedure are not feasible or have been exhausted, mechanical aortic valve replacement (AVR) may provide a reliable and structurally durable alternative, but with the limitations of long-term anticoagulation, thrombosis risk and lack of valve growth potential.",Thrombosis,Abstract
38522873,Early death was 3.2% (2/62).,Death,Abstract
38522873,"On competing risk analysis, the proportion of patients alive without aortic valve reoperation at 1, 5, 10, and 20 years was 95.2%, 87.0%, 75.5% and 55.4%, respectively, while the proportion of patients that had aortic valve reoperation (with death as a competing event) at 1, 5, 10, and 20 years was 1.6%, 4.9%, 12.8%, and 28.5%, respectively.",Death,Abstract
38522868,"Postoperative computed tomography aortogram showed the aortic root was enlarged from 27 (24, 30) to 40 (37, 42) mm without aortic pseudoaneurysm.",Aneurysm,Abstract
38522867,"Through its fibrous, nonelastic manifestation EFE restricts the myocardium leading to diastolic and systolic ventricular dysfunction and prevents ventricular growth in neonates and infants.",Ventricular Dysfunction,Abstract
38522867,The presence of EFE may be a marker for underlying myocardial fibrosis as well.,Fibrosis,Abstract
38522316,Diterpenoid honatisine overcomes temozolomide resistance in glioblastoma by inducing mitonuclear protein imbalance through disruption of TFAM-mediated mtDNA transcription.,Glioblastoma,Title
38522316,Glioblastoma (GBM) represents as the most formidable intracranial malignancy.,Glioblastoma,Abstract
38521740,Sequential transplantation of exosomes and BMSCs pretreated with hypoxia efficiently facilitates perforator skin flap survival area in rats.,Hypoxia,Title
38521740,Bone marrow mesenchymal stem cells (BMSC) are promising candidates for the treatment of trans-territory perforator flap necrosis.,Necrosis,Abstract
38521740,"After the perforator flap model was created, the exosomes derived from BMSCs were injected immediately into choke zone II followed by transplantation of hypoxia pretreated BMSCs on Day 2.",Hypoxia,Abstract
38521740,"Thus, we concluded that sequential transplantation of exosomes and BMSCs combinatorially pretreated with hypoxia further facilitated flap survival.",Hypoxia,Abstract
38521740,This sequential transplantation approach provides novel insights into the clinical treatment of flap necrosis.,Necrosis,Abstract
38518639,Inhibitory role of remifentanil in hepatic ischemia-reperfusion injury through activation of Fmol/Parkin signaling pathway: A study based on network pharmacology analysis and high-throughput sequencing.,Ischemia,Title
38518639,This study was conducted to elucidate the critical molecular pathways underlying the protective effects of remifentanil against hepatic ischemia-reperfusion injury in rats.,Ischemia,Abstract
38518637,Exploring the role and mechanism of hyperoside against cardiomyocyte injury in mice with myocardial infarction based on JAK2/STAT3 signaling pathway.,Infarction,Title
38518637,Myocardial infarction (MI) is one of the most deadly diseases in the world.,Disease,Abstract
38518637,"Hyperoside (Hyp) has been shown to have a protective effect on cardiovascular function through various signaling pathways, but whether it can protect myocardial infarction by regulating JAK2/STAT3 signaling pathway is unknown.",Infarction,Abstract
38518635,Gastric cancer (GC) represents a significant health burden with dire prognostic implications upon metastasis and recurrence.,Recurrence,Abstract
38516675,Food Insecurity in the Rural South in the Wake of the COVID-19 Pandemic.,COVID-19,Title
38516675,"Food insecurity in rural communities in the Southern US continues to grow, especially in the wake of the COVID-19 pandemic.",COVID-19,Abstract
38516675,Understanding the characteristics of food-insecure individuals and families in this region is critical for developing creative strategies for eliminating this health disparity issue.,Tics,Abstract
38516656,"EVEs resemble their original viruses, a challenge that makes distinguishing between active infections and integrated remnants difficult, affecting virus classification and biases downstream analyses.",Infections,Abstract
38516632,Image analysis techniques provide objective and reproducible statistics for interpreting microscopy data.,Tics,Abstract
38516615,"Use of Inhaled Epoprostenol in Patients With COVID-19 Receiving Humidified, High-Flow Nasal Oxygen Is Associated With Progressive Respiratory Failure.",COVID-19,Title
38516615,The clinical benefit of using inhaled epoprostenol (iEpo) through a humidified high-flow nasal cannula (HHFNC) remains unknown for patients with COVID-19.,COVID-19,Abstract
38516544,Management and Outcomes of Necrotizing Otitis Externa: A Retrospective Cohort Study in a Tertiary Referral Center.,Otitis,Title
38516544,Necrotizing otitis externa (NOE) is a rare infection of the ear that causes osteomyelitis.,Myelitis,Abstract
38516544,We aimed to evaluate treatment outcomes and the role of imaging in diagnosing and monitoring disease resolution in a single-center study of patients with NOE.,Disease,Abstract
38516542,Delayed Diagnoses in Patients With Dizziness in the US Commonwealth of Virginia and the Tidewater Region.,Dizziness,Title
38516542,"In a region of approximately 1.7 million people (Tidewater, coastal Virginia), identify secondary diagnoses in persons with dizziness.",Dizziness,Abstract
38516371,Results suggest that the increase in homicide rates during the height of the COVID-19 pandemic are driven in part by these same underlying causes that structure homicide rates across the US over the last 30 years.,COVID-19,Abstract
