symptom_cui|disease_cui|symptom_name|disease_name|icd9_code
C0011991|C0235840|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Neonatal diarrhea; DIARRHEA NEONATAL; diarrhea neonatal; Diarrhea neonatal; diarrhea; neonatal; neonatal diarrhea; neonatal; diarrhea; DIARRHOEA NEONATAL; Neonatal diarrhoea; Neonatal diarrhea NOS; neonatal diarrhoea; Diarrhoea neonatal; newborn with diarrhoea; diarrhea newborn; newborn diarrhea; Diarrhoea;newborn; newborn with diarrhea; Neonatal diarrhea (disorder)|7716 - Neonatal conjunctivitis and dacryocystitis
C0011991|C0267436|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Non-infective diarrhea; Non-infective diarrhoea; Noninfectious diarrhea, NOS; Noninfectious diarrhoea, NOS; Non-infective diarrhea (diagnosis); intestinal disorder diarrhea non-infective; Presumed non-infectious diarrhea; Presumed non-infectious diarrhoea; Non-infective diarrhea (disorder); diarrhea; noninfective; noninfective; diarrhea|5589 - Other and unspecified noninfectious gastroenteritis and colitis
C0011991|C0267437|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Allergic diarrhea; diarrhea; allergic; allergic diarrhea; allergic; diarrhea; Allergic diarrhoea; allergic diarrhea (diagnosis); Allergic diarrhea (disorder)|0091 - Colitis, enteritis, and gastroenteritis of presumed infectious origin
C0011991|C0267438|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Dietetic diarrhea; Dietetic diarrhoea; Dietetic diarrhea (disorder)|0091 - Colitis, enteritis, and gastroenteritis of presumed infectious origin
C0011991|C0267556|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Osmotic diarrhea; osmotic diarrhea; Osmotic diarrhoea; Permeability diarrhea; Permeability diarrhoea; Osmotic diarrhea (disorder)|3231 - Encephalitis, myelitis, and encephalomyelitis in rickettsial diseases classified elsewhere
C0011991|C0267557|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Secretory diarrhea; Diarrhea, secretory; secretory diarrhea; Secretory diarrhoea; secretory diarrhoea; secretory diarrhea (diagnosis); Secretory diarrhea (disorder)|0091 - Colitis, enteritis, and gastroenteritis of presumed infectious origin
C0011991|C0267558|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Drug and toxin-induced diarrhea; Drug and toxin-induced diarrhoea|0091 - Colitis, enteritis, and gastroenteritis of presumed infectious origin
C0011991|C0267656|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Postcholecystectomy diarrhea; Postcholecystectomy diarrhoea; postcholecystectomy syndrome diarrhea; Postcholecystectomy diarrhea (diagnosis); Postcholecystectomy diarrhea (disorder)|5760 - Postcholecystectomy syndrome
C0011991|C0267658|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Diarrhea caused by alcohol intake; Diarrhoea caused by alcohol intake; Diarrhea due to alcohol intake; Diarrhoea due to alcohol intake; Diarrhea caused by alcohol intake (disorder); intestinal disorder diarrhea caused by alcohol intake; Diarrhea caused by alcohol intake (diagnosis)|0091 - Colitis, enteritis, and gastroenteritis of presumed infectious origin
C0011991|C0267659|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Raw-milk associated diarrhea; Raw-milk associated diarrhoea; Raw-milk associated diarrhea (disorder)|0093 - Diarrhea of presumed infectious origin
C0011991|C0267660|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Chronic diarrhea of infants AND/OR young children; Chronic diarrhoea of infants AND/OR young children; Chronic diarrhea of infants and young children; Chronic diarrhoea of infants and young children; Chronic diarrhea of infants AND/OR young children (disorder)|9766 - Poisoning by anti-infectives and other drugs and preparations for ear, nose, and throat
C0011991|C0267661|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Congenital secretory diarrhea; Congenital secretory diarrhea, NOS; Congenital secretory diarrhoea; Congenital secretory diarrhoea, NOS; Congenital secretory diarrhea (disorder)|7513 - Hirschsprung's disease and other congenital functional disorders of colon
C0011991|C0267662|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Congenital chloride diarrhea; Congenital chloride diarrhoea; Defective Cl-/HCO-3 exchange in ileum and colon; Congenital secretory diarrhea, chloride type; Congenital secretory diarrhoea, chloride type; Congenital chloridorrhea; Chloridorrhea, congenital; CHLORIDORRHEA, CONGENITAL; Congenital chloridorrhoea; Defective Cl^-^/HCO^-^>3< exchange in ileum AND/OR colon; Defective Cl-/HCO-3 exchange in ileum AND/OR colon; Defective Cl<sup>-</sup>/HCO<sup>-</sup><sub>3</sub> exchange in ileum AND/OR colon; Congenital secretory diarrhea, chloride type (disorder); Diarrhea 1, secretory chloride, congenital; DIARRHEA 1, SECRETORY CHLORIDE, CONGENITAL; DIAR1; Darrow-Gamble disease; CHLORIDE DIARRHEA, CONGENITAL, FINNISH TYPE|7716 - Neonatal conjunctivitis and dacryocystitis
C0011991|C0267663|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Congenital secretory diarrhea, sodium type (disorder); Congenital secretory diarrhea, sodium type; Congenital secretory diarrhoea, sodium type; Defective Na+/H+ exchange in jejunum and ileum; Congenital sodium diarrhea; Congenital sodium diarrhoea; Na-H exchange deficiency; Non-syndromic congenital sodium diarrhea; Non-syndromic congenital sodium diarrhoea; Defective Na^+^/H^+^ exchange in jejunum AND/OR ileum; Defective Na+/H+ exchange in jejunum AND/OR ileum; Defective Na<sup>+</sup>/H<sup>+</sup> exchange in jejunum AND/OR ileum|V061 - Need for prophylactic vaccination and inoculation against diphtheria-tetanus-pertussis, combined [DTP] [DTaP]
C0011991|C0275983|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Bovine winter dysentery; Winter scours; Bovine winter dysentery (disorder); Bovine coronoviral diarrhea; Bovine coronoviral diarrhoea; Bovine coronoviral diarrhea (disorder); Winter dysentery|V063 - Need for prophylactic vaccination and inoculation against diptheria-tetanus- pertussis with poliomyelitis [DTP + polio]
C0011991|C0276467|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Neonatal calf diarrhea; Neonatal calf diarrhoea; Neonatal calf diarrhea (disorder)|7746 - Unspecified fetal and neonatal jaundice
C0011991|C0276468|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Epidemic diarrheal disease of infant mouse; Epidemic diarrhoeal disease of infant mouse; EDIM; Epizootic diarrhea of infant mouse; Epizootic diarrhoea of infant mouse; Murine epizootic diarrhea; Murine epizootic diarrhoea; Epidemic diarrheal disease of infant mouse (disorder)|3231 - Encephalitis, myelitis, and encephalomyelitis in rickettsial diseases classified elsewhere
C0011991|C0276478|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Coronaviral calf diarrhea; Coronaviral calf diarrhoea; Coronaviral calf diarrhea (disorder)|3231 - Encephalitis, myelitis, and encephalomyelitis in rickettsial diseases classified elsewhere
C0011991|C0277526|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Dysenteric diarrhea; diarrhea; dysenteric; dysenteric; diarrhea; Dysenteric diarrhoea; Dysentery; Dysenteric diarrhea (disorder); infectious dysenteric diarrhea (diagnosis); infectious dysenteric diarrhea|V063 - Need for prophylactic vaccination and inoculation against diptheria-tetanus- pertussis with poliomyelitis [DTP + polio]
C0011991|C0277527|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Epidemic diarrhea; diarrhea; epidemic; epidemic; diarrhea; Epidemic diarrhoea; Epidemic diarrhea (disorder); infectious epidemic diarrhea; infectious epidemic diarrhea (diagnosis)|0093 - Diarrhea of presumed infectious origin
C0011991|C0277528|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Traveler's diarrhea; diarrhea traveler's; traveler's diarrhea; Travelers' diarrhea; Travellers' diarrhoea; Traveler's diarrhoea; diarrhea travelers'; diarrhea travelers; diarrhoea travellers; travelers' diarrhea; traveller's diarrhea; traveller's diarrhoea; Traveller's diarrhea; Traveller's diarrhoea; Turista; turista; Traveler's diarrhea (disorder)|4461 - Acute febrile mucocutaneous lymph node syndrome [MCLS]
C0011991|C0311267|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Hill diarrhea; HILL DIARRHEA; Hill diarrhoea; Hill diarrhea syndrome|0093 - Diarrhea of presumed infectious origin
C0011991|C0311268|Diarrhea; DIARRHEA; diarrhea; Diarrheas; DIARRHOEA; Diarrhea, NOS; Diarrhoea; diarrheas; Diarrhea NOS; Diarrhoea NOS; diarrhoea; The runs; STOOLS LOOSE; LOOSE STOOLS; Watery stool; watery stool; watery stools; Watery stools; Loose bowel movement; loose bowel movement; bowel loose movements; bowels loose movement; D - Diarrhea; D - Diarrhoea; Diarrhea symptom; diarrhea (symptom); diarrhea symptoms; diarrhoea symptoms; symptoms diarrhea; Diarrhoea symptom; Loose bowel motions; loose bowel motion; Observation of diarrhea; Observation of diarrhoea; runs(diarrhoea); Runs(diarrhoea); diarrhea running; runs(diarrhea); Lienteric diarrhea; Lienteric diarrhoea; Diarrhea (finding); Diarrhea symptom (finding); The trots; Diarrhea, unspecified; RNDx diarrhea (diagnosis); RNDx diarrhea|Post-vagotomy syndrome; Post-vagotomy diarrhea; Post vagotomy diarrhea; Post vagotomy diarrhoea; Post-vagotomy diarrhoea; PVD - Post-vagotomy diarrhea; PVD - Post-vagotomy diarrhoea; Post-vagotomy diarrhea (disorder); Post-vagotomy syndrome (disorder); Postvagotomy diarrhea; Diarrhea, postvagotomy; POSTVAGOTOMY DIARRHEA; Postvagotomy diarrhoea; Postvagotomy syndrome; syndrome; postvagotomy; postvagotomy syndrome; postvagotomy; syndrome; postvagotomy syndrome (diagnosis)|V063 - Need for prophylactic vaccination and inoculation against diptheria-tetanus- pertussis with poliomyelitis [DTP + polio]
