PMID,Sentence,Found Terms,Classification
38681787,"Prone ventilation should be promptly performed in patients with acute respiratory distress syndrome, while early tracheostomy should be considered in case of planned prolonged mechanical ventilation.",Respiratory Distress Syndrome,Disease
38681787,"Prone ventilation should be promptly performed in patients with acute respiratory distress syndrome, while early tracheostomy should be considered in case of planned prolonged mechanical ventilation.",Syndrome,Disease
38681786,"Factors associated with decreased compliance after on-site extracorporeal membrane oxygenation cannulation for acute respiratory distress syndrome: A retrospective, observational cohort study.",Respiratory Distress Syndrome,Disease
38681786,"Factors associated with decreased compliance after on-site extracorporeal membrane oxygenation cannulation for acute respiratory distress syndrome: A retrospective, observational cohort study.",Syndrome,Disease
38681786,Extracorporeal membrane oxygenation (ECMO) for acute respiratory distress syndrome (ARDS) is systematically associated with decreased respiratory system compliance (CRS).,Respiratory Distress Syndrome,Disease
38681786,Extracorporeal membrane oxygenation (ECMO) for acute respiratory distress syndrome (ARDS) is systematically associated with decreased respiratory system compliance (CRS).,Syndrome,Disease
38681779,The detection of genes that can discriminate between normal and tumor samples in the association of cancer and disease remains an area of limited information.,Association,Unknown
38681779,The detection of genes that can discriminate between normal and tumor samples in the association of cancer and disease remains an area of limited information.,Disease,Disease
38681779,We therefore aimed to discover novel and practical sets of discriminatory biomarkers by utilizing the association of cancer and disease.,Association,Unknown
38681779,We therefore aimed to discover novel and practical sets of discriminatory biomarkers by utilizing the association of cancer and disease.,Disease,Disease
38681778,"The high plasticity of glioma cancer stem cells and the resistance they develop against multiple modalities of therapy, along with their high heterogeneity, are the main challenges faced during treatment of glioblastoma.",Glioblastoma,Unknown
38681778,"The high plasticity of glioma cancer stem cells and the resistance they develop against multiple modalities of therapy, along with their high heterogeneity, are the main challenges faced during treatment of glioblastoma.",Glioma,Unknown
38681776,"We first introduce the basic concepts of deep learning and then survey the recent advances and challenges of applying deep learning to various bioinformatics problems, such as genome sequencing, gene expression analysis, protein structure prediction, drug discovery, and disease diagnosis.",Disease,Disease
38681776,"We first introduce the basic concepts of deep learning and then survey the recent advances and challenges of applying deep learning to various bioinformatics problems, such as genome sequencing, gene expression analysis, protein structure prediction, drug discovery, and disease diagnosis.",Learning,Unknown
38681776,"We first introduce the basic concepts of deep learning and then survey the recent advances and challenges of applying deep learning to various bioinformatics problems, such as genome sequencing, gene expression analysis, protein structure prediction, drug discovery, and disease diagnosis.",Diagnosis,Unknown
38681774,"Understanding the mechanism of host transcriptomic response to infection by the SARS-CoV-2 virus is crucial, especially for patients suffering from long-term effects of COVID-19, such as long COVID or pericarditis inflammation, potentially linked to side effects of the SARS-CoV-2 spike proteins.",Inflammation,Unknown
38681774,"Understanding the mechanism of host transcriptomic response to infection by the SARS-CoV-2 virus is crucial, especially for patients suffering from long-term effects of COVID-19, such as long COVID or pericarditis inflammation, potentially linked to side effects of the SARS-CoV-2 spike proteins.",Pericarditis,Disease
38681774,"Understanding the mechanism of host transcriptomic response to infection by the SARS-CoV-2 virus is crucial, especially for patients suffering from long-term effects of COVID-19, such as long COVID or pericarditis inflammation, potentially linked to side effects of the SARS-CoV-2 spike proteins.",COVID-19,Disease
38681774,"We conducted comprehensive transcriptome and enrichment analyses on lung and peripheral blood mononuclear cells (PBMCs) infected with SARS-CoV-2, as well as on SARS-CoV and MERS-CoV, to uncover shared pathways and elucidate their common disease progression and viral replication mechanisms.",Disease,Disease
38681774,"We conducted comprehensive transcriptome and enrichment analyses on lung and peripheral blood mononuclear cells (PBMCs) infected with SARS-CoV-2, as well as on SARS-CoV and MERS-CoV, to uncover shared pathways and elucidate their common disease progression and viral replication mechanisms.",Disease Progression,Unknown
38681724,Coronary artery bypass grafting versus percutaneous coronary intervention in single-vessel left anterior descending artery disease: mid-term propensity matching study.,Disease,Disease
38681724,Coronary artery bypass grafting versus percutaneous coronary intervention in single-vessel left anterior descending artery disease: mid-term propensity matching study.,Coronary Disease,Disease
38681724,Coronary artery bypass grafting versus percutaneous coronary intervention in single-vessel left anterior descending artery disease: mid-term propensity matching study.,Coronary Artery Disease,Disease
38681724,Coronary artery bypass grafting (CABG) has been considered to be the proven therapeutic choice for coronary artery disease.,Disease,Disease
38681724,Coronary artery bypass grafting (CABG) has been considered to be the proven therapeutic choice for coronary artery disease.,Coronary Disease,Disease
38681724,Coronary artery bypass grafting (CABG) has been considered to be the proven therapeutic choice for coronary artery disease.,Coronary Artery Disease,Disease
38681724,"However, percutaneous coronary intervention (PCI) with drug-eluting stents is increasingly used for extensive coronary artery disease with contradictory results.",Disease,Disease
38681724,"However, percutaneous coronary intervention (PCI) with drug-eluting stents is increasingly used for extensive coronary artery disease with contradictory results.",Coronary Disease,Disease
38681724,"However, percutaneous coronary intervention (PCI) with drug-eluting stents is increasingly used for extensive coronary artery disease with contradictory results.",Coronary Artery Disease,Disease
38681720,Coronary artery bypass surgery in a patient with Bartter's syndrome - postoperative critical care management: a case report.,Syndrome,Disease
38681720,Coronary artery bypass surgery in a patient with Bartter's syndrome - postoperative critical care management: a case report.,Bartter Syndrome,Disease
38681720,"Bartter syndrome is a rare, renal tubulopathy caused by defective salt reabsorption in the thick ascending limb of the loop of Henle which results in salt wasting, hypokalemia, and metabolic disturbances.",Hypokalemia,Unknown
38681720,"Bartter syndrome is a rare, renal tubulopathy caused by defective salt reabsorption in the thick ascending limb of the loop of Henle which results in salt wasting, hypokalemia, and metabolic disturbances.",Renal Reabsorption,Unknown
38681720,"Bartter syndrome is a rare, renal tubulopathy caused by defective salt reabsorption in the thick ascending limb of the loop of Henle which results in salt wasting, hypokalemia, and metabolic disturbances.",Metabolic Syndrome,Disease
38681720,"Bartter syndrome is a rare, renal tubulopathy caused by defective salt reabsorption in the thick ascending limb of the loop of Henle which results in salt wasting, hypokalemia, and metabolic disturbances.",Wasting Syndrome,Symptom
38681720,"Bartter syndrome is a rare, renal tubulopathy caused by defective salt reabsorption in the thick ascending limb of the loop of Henle which results in salt wasting, hypokalemia, and metabolic disturbances.",Syndrome,Disease
38681720,"Bartter syndrome is a rare, renal tubulopathy caused by defective salt reabsorption in the thick ascending limb of the loop of Henle which results in salt wasting, hypokalemia, and metabolic disturbances.",Bartter Syndrome,Disease
38681720,"We report a case of a 62-year-old male with a history of diabetes, hypertension, coronary artery disease, and Bartter syndrome who underwent coronary artery bypass grafting and who developed severe lactic acidemia and severe electrolyte abnormalities postoperatively.",Disease,Disease
38681720,"We report a case of a 62-year-old male with a history of diabetes, hypertension, coronary artery disease, and Bartter syndrome who underwent coronary artery bypass grafting and who developed severe lactic acidemia and severe electrolyte abnormalities postoperatively.",Hypertension,Disease
38681720,"We report a case of a 62-year-old male with a history of diabetes, hypertension, coronary artery disease, and Bartter syndrome who underwent coronary artery bypass grafting and who developed severe lactic acidemia and severe electrolyte abnormalities postoperatively.",Coronary Disease,Disease
38681720,"We report a case of a 62-year-old male with a history of diabetes, hypertension, coronary artery disease, and Bartter syndrome who underwent coronary artery bypass grafting and who developed severe lactic acidemia and severe electrolyte abnormalities postoperatively.",Coronary Artery Disease,Disease
38681720,"We report a case of a 62-year-old male with a history of diabetes, hypertension, coronary artery disease, and Bartter syndrome who underwent coronary artery bypass grafting and who developed severe lactic acidemia and severe electrolyte abnormalities postoperatively.",Syndrome,Disease
38681720,"We report a case of a 62-year-old male with a history of diabetes, hypertension, coronary artery disease, and Bartter syndrome who underwent coronary artery bypass grafting and who developed severe lactic acidemia and severe electrolyte abnormalities postoperatively.",Bartter Syndrome,Disease
38681718,"Computed tomography (CT) pulmonary angiography revealed aberrant vessels from descending thoracic aorta, draining into pulmonary veins (left-to-left shunt).",Computed Tomography Angiography,Unknown
38681718,"Computed tomography (CT) pulmonary angiography revealed aberrant vessels from descending thoracic aorta, draining into pulmonary veins (left-to-left shunt).",Angiography,Unknown
38681718,"Computed tomography (CT) pulmonary angiography revealed aberrant vessels from descending thoracic aorta, draining into pulmonary veins (left-to-left shunt).",Tomography,Unknown
38681713,Posterior reversible encephalopathy syndrome: a rare cause of seizures following non-transplant cardiac surgery.,Syndrome,Disease
38681713,Posterior reversible encephalopathy syndrome: a rare cause of seizures following non-transplant cardiac surgery.,Seizures,Symptom
38681713,Posterior reversible encephalopathy syndrome (PRES) is rarely reported as a cause for seizures following cardiac surgery.,Syndrome,Disease
38681713,Posterior reversible encephalopathy syndrome (PRES) is rarely reported as a cause for seizures following cardiac surgery.,Seizures,Symptom
38681710,Ebstein's anomaly is a rare congenital cardiac disease which is often associated with various other cardiac anomalies.,Disease,Disease
38681710,Ebstein's anomaly is a rare congenital cardiac disease which is often associated with various other cardiac anomalies.,Ebstein Anomaly,Unknown
38681706,"Heyde's syndrome has also been associated with hypertrophic cardiomyopathy, left ventricular assist device, ventricular septal defect, and patent ductus arteriosus.",Cardiomyopathy,Disease
38681706,"Heyde's syndrome has also been associated with hypertrophic cardiomyopathy, left ventricular assist device, ventricular septal defect, and patent ductus arteriosus.",Hypertrophic,Disease
38681706,"Heyde's syndrome has also been associated with hypertrophic cardiomyopathy, left ventricular assist device, ventricular septal defect, and patent ductus arteriosus.",Ductus Arteriosus,Unknown
38681706,"Heyde's syndrome has also been associated with hypertrophic cardiomyopathy, left ventricular assist device, ventricular septal defect, and patent ductus arteriosus.",Patent,Unknown
38681706,"Heyde's syndrome has also been associated with hypertrophic cardiomyopathy, left ventricular assist device, ventricular septal defect, and patent ductus arteriosus.",Syndrome,Disease
38681705,Symptomatic aortic valve stenosis (AS) is associated with asymmetric basal septal hypertrophy (ABSH) in 10% of cases.,Aortic Valve Stenosis,Disease
38681705,Symptomatic aortic valve stenosis (AS) is associated with asymmetric basal septal hypertrophy (ABSH) in 10% of cases.,Hypertrophy,Unknown
38681705,"In this cohort, it has been suggested that rectification of the left ventricular outflow tract obstruction (LVOTO) by concomitant septal myectomy (CSM) can improve the results of aortic valve replacement (AVR).",Ventricular Outflow Obstruction,Disease
38681705,"In this cohort, it has been suggested that rectification of the left ventricular outflow tract obstruction (LVOTO) by concomitant septal myectomy (CSM) can improve the results of aortic valve replacement (AVR).",Ventricular Outflow Obstruction,Disease
38681705,"In this cohort, it has been suggested that rectification of the left ventricular outflow tract obstruction (LVOTO) by concomitant septal myectomy (CSM) can improve the results of aortic valve replacement (AVR).",Left,Unknown
38681704,A narrative review of coronavirus (COVID-19) vaccination and its implication in the development of coronary artery disease: an Indian perspective.,Disease,Disease
38681704,A narrative review of coronavirus (COVID-19) vaccination and its implication in the development of coronary artery disease: an Indian perspective.,Coronary Disease,Disease
38681704,A narrative review of coronavirus (COVID-19) vaccination and its implication in the development of coronary artery disease: an Indian perspective.,Coronary Artery Disease,Disease
38681704,A narrative review of coronavirus (COVID-19) vaccination and its implication in the development of coronary artery disease: an Indian perspective.,COVID-19,Disease
38681700,Left ventricle pseudoaneurysm is a rare and life-threatening complication of myocardial infarction that is formed as a result of left ventricle free wall rupture contained by the overlying pericardium.,Myocardial Infarction,Disease
38681700,Left ventricle pseudoaneurysm is a rare and life-threatening complication of myocardial infarction that is formed as a result of left ventricle free wall rupture contained by the overlying pericardium.,Infarction,Unknown
38681700,Left ventricle pseudoaneurysm is a rare and life-threatening complication of myocardial infarction that is formed as a result of left ventricle free wall rupture contained by the overlying pericardium.,Rupture,Unknown
38680603,"Tracing its beginnings to the mid-1990s, coparenting theory and research, guided greatly by Minuchin's structural family theory, have deepened socialization perspectives in the field of developmental psychology.",Psychology,Unknown
38680603,"Tracing its beginnings to the mid-1990s, coparenting theory and research, guided greatly by Minuchin's structural family theory, have deepened socialization perspectives in the field of developmental psychology.",Developmental,Unknown
38680603,"Tracing its beginnings to the mid-1990s, coparenting theory and research, guided greatly by Minuchin's structural family theory, have deepened socialization perspectives in the field of developmental psychology.",Family,Unknown
38680603,"Tracing its beginnings to the mid-1990s, coparenting theory and research, guided greatly by Minuchin's structural family theory, have deepened socialization perspectives in the field of developmental psychology.",Psychology,Unknown
38680603,"Coparenting theory has perhaps had its largest impact in the field of infant-family mental health, where empirical investigations of coparenting and family level dynamics have dovetailed with studies of family alliances and triangles and inspired creative interventions to support families of infants and toddlers.",Family Support,Unknown
38680603,"Coparenting theory has perhaps had its largest impact in the field of infant-family mental health, where empirical investigations of coparenting and family level dynamics have dovetailed with studies of family alliances and triangles and inspired creative interventions to support families of infants and toddlers.",Family,Unknown
38680603,"Coparenting theory has perhaps had its largest impact in the field of infant-family mental health, where empirical investigations of coparenting and family level dynamics have dovetailed with studies of family alliances and triangles and inspired creative interventions to support families of infants and toddlers.",Mental Health,Unknown
38680603,"In this article, the authors retrace some of the early accounts of coparenting and triangular interactions during infancy, highlighting symmetries with analogue conceptualizations discovered in the field of family therapy.",Family,Unknown
38680603,"In this article, the authors retrace some of the early accounts of coparenting and triangular interactions during infancy, highlighting symmetries with analogue conceptualizations discovered in the field of family therapy.",Family Therapy,Unknown
38680603,"Emphasizing key concepts and lessons divined from the infant-family mental health literature holding value for the practice of family therapy, the article also recognizes the dominant Euro-Western bias that has shaped much of the extant literature to date.",Family,Unknown
38680603,"Emphasizing key concepts and lessons divined from the infant-family mental health literature holding value for the practice of family therapy, the article also recognizes the dominant Euro-Western bias that has shaped much of the extant literature to date.",Mental Health,Unknown
38680603,"Emphasizing key concepts and lessons divined from the infant-family mental health literature holding value for the practice of family therapy, the article also recognizes the dominant Euro-Western bias that has shaped much of the extant literature to date.",Family Therapy,Unknown
38680603,"A closing section addresses two important areas calling for more concerted attention by infant-family mental health experts and family therapists alike - under-appreciated and misunderstood elements of men's psychology connected to their core self-definition, and cultural distinctions in normal family processes.",Mental Processes,Unknown
38680603,"A closing section addresses two important areas calling for more concerted attention by infant-family mental health experts and family therapists alike - under-appreciated and misunderstood elements of men's psychology connected to their core self-definition, and cultural distinctions in normal family processes.",Attention,Unknown
38680603,"A closing section addresses two important areas calling for more concerted attention by infant-family mental health experts and family therapists alike - under-appreciated and misunderstood elements of men's psychology connected to their core self-definition, and cultural distinctions in normal family processes.",Family,Unknown
38680603,"A closing section addresses two important areas calling for more concerted attention by infant-family mental health experts and family therapists alike - under-appreciated and misunderstood elements of men's psychology connected to their core self-definition, and cultural distinctions in normal family processes.",Psychology,Unknown
38680603,"A closing section addresses two important areas calling for more concerted attention by infant-family mental health experts and family therapists alike - under-appreciated and misunderstood elements of men's psychology connected to their core self-definition, and cultural distinctions in normal family processes.",Mental Health,Unknown
38680594,Percutaneous nephrostomy versus ureteral stent in hydronephrosis secondary to obstructive urolithiasis: A systematic review and meta-analysis.,Urolithiasis,Disease
38680594,Percutaneous nephrostomy versus ureteral stent in hydronephrosis secondary to obstructive urolithiasis: A systematic review and meta-analysis.,Hydronephrosis,Disease
38680594,"To assess if there is a preferable intervention between retrograde ureteral stent (RUS) and percutaneous nephrostomy (PCN) tube, in cases of upper urinary tract stone obstruction with complications requiring urgent drainage, by evaluating outcomes regarding urinary symptoms, quality of life (QoL), spontaneous stone passage, and length of hospital stays, since there is no literature stating the superiority of one modality over the other.",Nephrostomy,Unknown
38680594,"To assess if there is a preferable intervention between retrograde ureteral stent (RUS) and percutaneous nephrostomy (PCN) tube, in cases of upper urinary tract stone obstruction with complications requiring urgent drainage, by evaluating outcomes regarding urinary symptoms, quality of life (QoL), spontaneous stone passage, and length of hospital stays, since there is no literature stating the superiority of one modality over the other.",Percutaneous,Unknown
38680594,"To assess if there is a preferable intervention between retrograde ureteral stent (RUS) and percutaneous nephrostomy (PCN) tube, in cases of upper urinary tract stone obstruction with complications requiring urgent drainage, by evaluating outcomes regarding urinary symptoms, quality of life (QoL), spontaneous stone passage, and length of hospital stays, since there is no literature stating the superiority of one modality over the other.",Ureteral Obstruction,Disease
38680515,Smartphone Apps Targeting Youth Tobacco Use Prevention and Cessation: An Assessment of Credibility and Quality.,Tobacco Use,Unknown
38680515,Smartphone Apps Targeting Youth Tobacco Use Prevention and Cessation: An Assessment of Credibility and Quality.,Tobacco Use Cessation,Unknown
38680515,The goals of this study were to identify smartphone apps targeting youth tobacco use prevention and/or cessation discussed in the academic literature and/or available in the Apple App Store and to review and rate the credibility of the apps.,Goals,Unknown
38680515,The goals of this study were to identify smartphone apps targeting youth tobacco use prevention and/or cessation discussed in the academic literature and/or available in the Apple App Store and to review and rate the credibility of the apps.,Tobacco Use,Unknown
38680515,The goals of this study were to identify smartphone apps targeting youth tobacco use prevention and/or cessation discussed in the academic literature and/or available in the Apple App Store and to review and rate the credibility of the apps.,Tobacco Use Cessation,Unknown
38680246,We report here the case of a young boy in order to raise awareness in the population and draw attention to these risks.,Attention,Unknown
38680246,We report here the case of a young boy in order to raise awareness in the population and draw attention to these risks.,Awareness,Unknown
38680245,"About 23.16% of all admitted patients died mostly from flame burns, and sepsis was the commonest cause of death.",Burns,Unknown
38680245,"About 23.16% of all admitted patients died mostly from flame burns, and sepsis was the commonest cause of death.",Sepsis,Disease
38680245,"About 23.16% of all admitted patients died mostly from flame burns, and sepsis was the commonest cause of death.",Death,Unknown
38680242,Risk Factors for Death of Burn Patients With Acute Respiratory Distress Syndrome.,Respiratory Distress Syndrome,Disease
38680242,Risk Factors for Death of Burn Patients With Acute Respiratory Distress Syndrome.,Death,Unknown
38680242,Risk Factors for Death of Burn Patients With Acute Respiratory Distress Syndrome.,Syndrome,Disease
38680242,"Logistic regression analysis indicated that at the time of ARDS onset, serum lactate level (OR=6.71), blood platelet count (OR=.99), static lung compliance (OR=.73) and driving pressure (OR=1.69) were independent risk factors for death, while patients' demographics, burn severity and ARDS severity did not significantly affect the mortality rate.",Platelet Count,Unknown
38680242,"Logistic regression analysis indicated that at the time of ARDS onset, serum lactate level (OR=6.71), blood platelet count (OR=.99), static lung compliance (OR=.73) and driving pressure (OR=1.69) were independent risk factors for death, while patients' demographics, burn severity and ARDS severity did not significantly affect the mortality rate.",Affect,Unknown
38680242,"Logistic regression analysis indicated that at the time of ARDS onset, serum lactate level (OR=6.71), blood platelet count (OR=.99), static lung compliance (OR=.73) and driving pressure (OR=1.69) were independent risk factors for death, while patients' demographics, burn severity and ARDS severity did not significantly affect the mortality rate.",Death,Unknown
38680242,"Logistic regression analysis indicated that at the time of ARDS onset, serum lactate level (OR=6.71), blood platelet count (OR=.99), static lung compliance (OR=.73) and driving pressure (OR=1.69) were independent risk factors for death, while patients' demographics, burn severity and ARDS severity did not significantly affect the mortality rate.",Time Pressure,Unknown
38680242,"Logistic regression analysis indicated that at the time of ARDS onset, serum lactate level (OR=6.71), blood platelet count (OR=.99), static lung compliance (OR=.73) and driving pressure (OR=1.69) were independent risk factors for death, while patients' demographics, burn severity and ARDS severity did not significantly affect the mortality rate.",Lung Compliance,Unknown
38680242,"Logistic regression analysis indicated that at the time of ARDS onset, serum lactate level (OR=6.71), blood platelet count (OR=.99), static lung compliance (OR=.73) and driving pressure (OR=1.69) were independent risk factors for death, while patients' demographics, burn severity and ARDS severity did not significantly affect the mortality rate.",Blood Pressure,Unknown
38680239,"A review of paediatric burns in our burns facility in the United Kingdom demonstrated variable accuracy of size, and a majority documented as <1% total body surface area (TBSA).",Body Size,Unknown
38680239,"A review of paediatric burns in our burns facility in the United Kingdom demonstrated variable accuracy of size, and a majority documented as <1% total body surface area (TBSA).",Burns,Unknown
38680239,"A review of paediatric burns in our burns facility in the United Kingdom demonstrated variable accuracy of size, and a majority documented as <1% total body surface area (TBSA).",Body Surface Area,Unknown
38680239,"Results highlight the improved assessment of small burns in our hospital using a coin-based approach in comparison to TBSA, and could facilitate accurate communication between health care professionals.",Burns,Unknown
38680239,"Results highlight the improved assessment of small burns in our hospital using a coin-based approach in comparison to TBSA, and could facilitate accurate communication between health care professionals.",Communication,Unknown
38680238,"Of a total 3077 patients, 761 were admitted for burns by suicide attempt, among them 62 children and adolescents (8%).",Suicide,Unknown
38680238,"Of a total 3077 patients, 761 were admitted for burns by suicide attempt, among them 62 children and adolescents (8%).",Burns,Unknown
38680238,The suicidal act of self-immolation was due to a family conflict in 34% of cases (n=21).,Family Conflict,Unknown
38680238,The suicidal act of self-immolation was due to a family conflict in 34% of cases (n=21).,Family,Unknown
38680238,"In conclusion, self-immolation is frequent in the pediatric population; it induces severe burns associated with a poor prognosis.",Burns,Unknown
38680238,"In conclusion, self-immolation is frequent in the pediatric population; it induces severe burns associated with a poor prognosis.",Prognosis,Unknown
38680237,Chronic pain is associated with chemical burns and it should be treated early in the process with the use of multimodal analgesia in order to prevent future complications.,Burns,Unknown
38680237,Chronic pain is associated with chemical burns and it should be treated early in the process with the use of multimodal analgesia in order to prevent future complications.,Pain,Symptom
38680237,Chronic pain is associated with chemical burns and it should be treated early in the process with the use of multimodal analgesia in order to prevent future complications.,Chronic Pain,Symptom
38680233,"The highest PMN, lymphocyte cell count, and COX 2 expression were found at 8 hours in the local injection with the PRP combination SVF group (28,555±11,237, 8,111±3,218, and 4,666±2,309, respectively, p <0.05 except for COX 2).",Lymphocyte Count,Unknown
38680233,"The highest PMN, lymphocyte cell count, and COX 2 expression were found at 8 hours in the local injection with the PRP combination SVF group (28,555±11,237, 8,111±3,218, and 4,666±2,309, respectively, p <0.05 except for COX 2).",Cell Count,Unknown
38680233,"The combined injection of PRP and SVF effectively heals deep burns by acutely increasing the PMN cell and lymphocyte count, and COX 2 expression.",Lymphocyte Count,Unknown
38680233,"The combined injection of PRP and SVF effectively heals deep burns by acutely increasing the PMN cell and lymphocyte count, and COX 2 expression.",Burns,Unknown
38680233,"The combined injection of PRP and SVF effectively heals deep burns by acutely increasing the PMN cell and lymphocyte count, and COX 2 expression.",Cell Count,Unknown
38680233,"Conversely, the treatment decreased the PMN cell and lymphocyte count but not the COX 2 expression in the sub-acute phase of wound healing.",Lymphocyte Count,Unknown
38680233,"Conversely, the treatment decreased the PMN cell and lymphocyte count but not the COX 2 expression in the sub-acute phase of wound healing.",Cell Count,Unknown
38678742,Cytosine-guanine-guanine repeats of FMR1 gene negatively affect ovarian reserve and response in Chinese women.,Affect,Unknown
38678742,Cytosine-guanine-guanine repeats of FMR1 gene negatively affect ovarian reserve and response in Chinese women.,Ovarian Reserve,Unknown
38678306,"This is a case study of a patient in her 50s who presents with severe malnutrition, alcohol dependence, and untreated Bipolar Affective Disorder.",Bipolar Disorder,Unknown
38678306,"This is a case study of a patient in her 50s who presents with severe malnutrition, alcohol dependence, and untreated Bipolar Affective Disorder.",Malnutrition,Disease
38677831,"In order to reduce the morbidity of surgery for patients with low-risk lesions, multiple endoscopic therapies have been developed, including endoscopic mucosal resection, endoscopic submucosal dissection, endoscopic intermuscular dissection, and transanal endoscopic surgery.",Dissection,Unknown
38677831,"In order to reduce the morbidity of surgery for patients with low-risk lesions, multiple endoscopic therapies have been developed, including endoscopic mucosal resection, endoscopic submucosal dissection, endoscopic intermuscular dissection, and transanal endoscopic surgery.",Endoscopic Mucosal Resection,Unknown
38677831,"In order to reduce the morbidity of surgery for patients with low-risk lesions, multiple endoscopic therapies have been developed, including endoscopic mucosal resection, endoscopic submucosal dissection, endoscopic intermuscular dissection, and transanal endoscopic surgery.",Transanal Endoscopic Surgery,Unknown
38677830,Surgical Emergencies in Inflammatory Bowel Disease.,Disease,Disease
38677830,Surgical Emergencies in Inflammatory Bowel Disease.,Emergencies,Unknown
38677830,"Inflammatory bowel disease (IBD) patients are at risk for undergoing emergency surgery for fulminant disease, toxic megacolon, bowel perforation, intestinal obstruction, or uncontrolled gastrointestinal hemorrhage.",Disease,Disease
38677830,"Inflammatory bowel disease (IBD) patients are at risk for undergoing emergency surgery for fulminant disease, toxic megacolon, bowel perforation, intestinal obstruction, or uncontrolled gastrointestinal hemorrhage.",Intestinal Obstruction,Disease
38677830,"Inflammatory bowel disease (IBD) patients are at risk for undergoing emergency surgery for fulminant disease, toxic megacolon, bowel perforation, intestinal obstruction, or uncontrolled gastrointestinal hemorrhage.",Gastrointestinal Hemorrhage,Unknown
38677830,"Inflammatory bowel disease (IBD) patients are at risk for undergoing emergency surgery for fulminant disease, toxic megacolon, bowel perforation, intestinal obstruction, or uncontrolled gastrointestinal hemorrhage.",Intestinal Perforation,Disease
38677830,"Inflammatory bowel disease (IBD) patients are at risk for undergoing emergency surgery for fulminant disease, toxic megacolon, bowel perforation, intestinal obstruction, or uncontrolled gastrointestinal hemorrhage.",Megacolon,Unknown
38677830,"Inflammatory bowel disease (IBD) patients are at risk for undergoing emergency surgery for fulminant disease, toxic megacolon, bowel perforation, intestinal obstruction, or uncontrolled gastrointestinal hemorrhage.",Toxic,Unknown
38677830,"Inflammatory bowel disease (IBD) patients are at risk for undergoing emergency surgery for fulminant disease, toxic megacolon, bowel perforation, intestinal obstruction, or uncontrolled gastrointestinal hemorrhage.",Hemorrhage,Unknown
38677830,"Inflammatory bowel disease (IBD) patients are at risk for undergoing emergency surgery for fulminant disease, toxic megacolon, bowel perforation, intestinal obstruction, or uncontrolled gastrointestinal hemorrhage.",Megacolon,Unknown
38677829,Inflammatory bowel disease (IBD) is associated with an increased risk of colorectal cancer (colorectal adenocarcinoma [CRC]) compared with the general population.,Disease,Disease
38677829,Inflammatory bowel disease (IBD) is associated with an increased risk of colorectal cancer (colorectal adenocarcinoma [CRC]) compared with the general population.,Adenocarcinoma,Unknown
38677827,"These microbes play an intricate role in human health, and an imbalance in the gut microbiome, termed gut dysbiosis, has been implicated in the development of varying diseases.",Role,Unknown
38677827,"These microbes play an intricate role in human health, and an imbalance in the gut microbiome, termed gut dysbiosis, has been implicated in the development of varying diseases.",Dysbiosis,Unknown
38677827,"These microbes play an intricate role in human health, and an imbalance in the gut microbiome, termed gut dysbiosis, has been implicated in the development of varying diseases.",Human Development,Unknown
38677827,"The purpose of this review is to highlight what is known about the microbiome and its impact on colorectal cancer, inflammatory bowel disease, constipation, Clostridioides difficile infection, the impact of bowel prep, and anastomotic leaks.",Disease,Disease
38677827,"The purpose of this review is to highlight what is known about the microbiome and its impact on colorectal cancer, inflammatory bowel disease, constipation, Clostridioides difficile infection, the impact of bowel prep, and anastomotic leaks.",Constipation,Symptom
38677826,"Patients presenting with colorectal emergencies are a challenging cohort, as they often present at an advanced stage with an increase in T stage, lymphovascular invasion, and metachronous liver disease.",Disease,Disease
38677826,"Patients presenting with colorectal emergencies are a challenging cohort, as they often present at an advanced stage with an increase in T stage, lymphovascular invasion, and metachronous liver disease.",Emergencies,Unknown
38677821,Functional Constipation and Obstructed Defecation.,Constipation,Symptom
38677821,Functional Constipation and Obstructed Defecation.,Defecation,Unknown
38677821,Constipation encompasses symptoms of decreased colonic motility or difficulty with the defecation process.,Constipation,Symptom
38677821,Constipation encompasses symptoms of decreased colonic motility or difficulty with the defecation process.,Defecation,Unknown
38677821,"As a broad definition, this can be inclusive of functional constipation (FC) or colonic inertia, obstructed defecation (OD), and irritable bowel syndrome-constipation type (IBS-CS).",Constipation,Symptom
38677821,"As a broad definition, this can be inclusive of functional constipation (FC) or colonic inertia, obstructed defecation (OD), and irritable bowel syndrome-constipation type (IBS-CS).",Defecation,Unknown
38677819,Clostridioides difficile colitis is an important source of hospital-acquired diarrhea associated with antibiotic use.,Colitis,Disease
38677819,Clostridioides difficile colitis is an important source of hospital-acquired diarrhea associated with antibiotic use.,Diarrhea,Symptom
38677819,"Symptoms are profuse watery diarrhea, typically following a course of antibiotics; however, some cases of fulminant disease may manifest with shock, ileus, or megacolon.",Disease,Disease
38677819,"Symptoms are profuse watery diarrhea, typically following a course of antibiotics; however, some cases of fulminant disease may manifest with shock, ileus, or megacolon.",Ileus,Disease
38677819,"Symptoms are profuse watery diarrhea, typically following a course of antibiotics; however, some cases of fulminant disease may manifest with shock, ileus, or megacolon.",Shock,Unknown
38677819,"Symptoms are profuse watery diarrhea, typically following a course of antibiotics; however, some cases of fulminant disease may manifest with shock, ileus, or megacolon.",Diarrhea,Symptom
