PMID,Sentence,Found Terms
38751564,"Fibromyalgia (FM) is a chronic pain disorder characterised by widespread pain, fatigue and cognitive symptoms.","Fibromyalgia, Fatigue, Pain, Chronic Pain"
38751564,"Acceptance and commitment therapy (ACT) aims to improve psychological flexibility and has been found to be beneficial in treating chronic pain; however, there are few studies evaluating its efficacy in treating FM.","Acceptance and Commitment Therapy, Pain, Chronic Pain"
38751563,A rapid systematic review of breakthrough pain definitions and descriptions.,"Breakthrough Pain, Pain"
38751563,Breakthrough pain is common in life-limiting conditions and at end-of-life.,"Breakthrough Pain, Pain"
38751563,"Despite over 30 years of study, there is little consensus regarding the definition and characteristics of breakthrough pain.","Consensus, Breakthrough Pain, Pain"
38746826,Anorectal mucosal melanoma accounts for less than 1 % of all anorectal malignant tumors and a tendency for delayed diagnosis leads to advanced disease at presentation.,"Delayed Diagnosis, Disease, Diagnosis, Melanoma"
38746799,Effectiveness of telehealth on the glycemic control of patients with type 2 diabetes mellitus during the COVID-19 pandemic: A systematic review and meta-analysis of randomised controlled trials.,"Diabetes Mellitus, COVID-19"
38746799,"During the COVID-19 pandemic, telehealth was employed to enhance clinical outcomes for patients with type 2 diabetes mellitus.","Diabetes Mellitus, COVID-19, Diabetes Mellitus, Type 2"
38746788,Thalamic volume loss and neuropathic pain in adults with cerebral palsy and periventricular white matter injury.,"Cerebral Palsy, Pain"
38746788,Lemniscal (motor-related) and spinothalamic (neuropathic pain-related) somatosensory abnormalities affect different subsets of adults with cerebral palsy (CP).,"Affect, Cerebral Palsy"
38746594,Little was known about the extent to which nursing education prior to COVID-19 had prepared students for their role in managing the healthcare crisis or the impact on their resilience.,"Role, COVID-19"
38746592,People with concurrent mental health and substance use disorders have complex biopsychosocial problems but risk not having their healthcare needs met.,"Mental Disorders, Mental Health"
38746592,"Extension for Community Healthcare Outcomes (ECHO®, University of New Mexico Health Sciences Center, 2003) is a promising technology-enabled collaborative learning model used to implement evidence-based practice and build capacity among healthcare professionals in managing complex, chronic, health conditions.","Learning, Community of Practice"
38746591,"Healthcare professionals experience difficulties in caring for mothers affected by modern slavery, including asking appropriate questions and initiating discussions, making safe referrals, being uncertain about entitlements, and facing obstacles in accessing language support and specialist mental health services.","Language, Mothers, Mental Health Services, Mental Health"
38746587,"Negative symptoms typically affect motivation, communication, and the ability to live independently and are difficult to treat.","Motivation, Affect, Communication"
38746580,"However, the literature tends to focus on negative aspects of psychological wellbeing, such as stress and burnout, and interventions to support healthcare professionals' wellbeing have limited effectiveness.","Stress, Psychological, Burnout, Psychological"
38746578,Snoezelen in people with intellectual disability or dementia: A systematic review.,"Intellectual Disability, Dementia"
38746577,Influence of nurses' perception of organizational climate and toxic leadership behaviors on intent to stay: A descriptive comparative study.,"Perception, Leadership"
38746574,"The effects of self-guided interventions on stress, burden, and mental health in caregivers of people living with dementia: A systematic review.","Dementia, Mental Health"
38746574,"In response, numerous interventions have been developed and tested to improve mental health in caregivers of people living with dementia.","Dementia, Mental Health"
38746573,"Workplace bullying, and violence has both short- and long-term effects on the student, including psychological trauma and poor mental health, loss of passion for the midwifery profession and absenteeism.","Absenteeism, Bullying, Psychological Trauma, Mental Health"
38746571,Priority measures to prevent infections and maintain residents' well-being during COVID-19 outbreaks in nursing homes: Consensus among staff and resident representatives determined in an online nominal group technique study.,"Consensus, Infections, COVID-19"
38746569,Self-care management and experiences of using telemonitoring as support when living with hypertension or heart failure: A descriptive qualitative study.,"Heart Failure, Hypertension"
38746567,Absorbent incontinence pad use and the association with urinary tract infection and frailty: A retrospective cohort study.,"Association, Urinary Incontinence, Frailty"
38746564,Self-management practices for preventing complications of type II diabetes mellitus in low and middle-income countries: A scoping review.,"Diabetes Complications, Diabetes Mellitus"
38746564,The majority of the day to day disease management activities needed to achieve glycaemic control and improve the quality of life among patients with diabetes mellitus falls on the patient and/or their families.,"Disease, Diabetes Mellitus"
38746564,Determining the self-management practices by patients with diabetes mellitus can help develop interventions that can enhance these practices and help prevent complications.,"Diabetes Complications, Diabetes Mellitus"
38746558,"Lifestyle behaviors, including physical activity, may help to mitigate the chronic disease and mental health consequences of shift work in nurses at the individual level.","Disease, Mental Health, Chronic Disease"
38746554,The effects on rehospitalization rate of transitional care using information communication technology in patients with heart failure: A scoping review.,"Heart Failure, Heart Rate, Communication"
38746529,Many factors influence motor learning post neurological insult and practice is one of the key factors which influence relearning or reacquisition of lost motor skills.,"Motor Skills, Learning"
38746510,Nature of Parkinsonian features in multiple system atrophy.,"Multiple System Atrophy, Atrophy"
38746510,"For this observational study, we evaluated the clinical profile of Parkinsonian features in multiple system atrophy (MSA), as there is no clarity about the specifics of these features in this disease compared to progressive supranuclear palsy (PSP) and Parkinson's disease (PD).","Disease, Supranuclear Palsy, Progressive, Multiple System Atrophy, Parkinson Disease, Atrophy"
38745444,Stroke mechanisms in adult moyamoya disease: The association between infarction patterns and quantitative magnetic resonance angiography flow state.,"Association, Disease, Moyamoya Disease, Angiography, Infarction, Magnetic Resonance Angiography, Stroke"
38745444,Flow augmentation is the mainstay treatment for moyamoya disease as hemodynamic failure is believed to be the dominant mechanism.,"Disease, Moyamoya Disease, Treatment Failure"
38745444,We aimed to investigate the mechanisms of stroke in moyamoya disease by assessing the relationship between infarction patterns and quantitative magnetic resonance angiography flow state.,"Disease, Moyamoya Disease, Angiography, Infarction, Magnetic Resonance Angiography, Stroke"
38744581,"However, the research results are limited, and there is no research to explore the relationship between central and peripheral thyroid hormones (THs) sensitivity and different grades of hypertension in patients with coronary heart disease (CHD).","Disease, Hypertension, Coronary Disease"
38744581,"This study aims to prove the complex interaction between thyroid system and blood pressure, and provides new ideas for the assessment of hypertension in patients with CHD.","Hypertension, Blood Pressure"
38742142,"Quilt was automatically curated using a mixture of models, including large language models, handcrafted algorithms, human knowledge databases, and automatic speech recognition.","Speech, Language"
38741652,Association Between Pre-operative 25-Hydroxy Vitamin D Deficiency and Surgical Site Infection After Oral Cavity Oncology Surgery: a Cross-Sectional Study in a Tertiary Cancer Center in Northwestern India.,"Association, Vitamin D Deficiency, Vitamin A Deficiency"
38741652,This cross-sectional study was used to investigate a potential link between pre-operative 25-hydroxy vitamin D deficiency and an increased risk of surgical site infections in patients undergoing oral cavity oncology surgery.,"Vitamin D Deficiency, Infections, Vitamin A Deficiency"
38741652,"Among the patients with pre-operative vitamin D deficiency, 23 (88.5%) developed surgical site infections.","Vitamin D Deficiency, Infections"
38741652,"After doing multivariate analysis, vitamin D deficiency was found to be a significant predictor of post-op wound infection [adjusted odds ratio - 0.71 (95% CI 0.61-0.82);","Vitamin D Deficiency, Vitamin A Deficiency, Wound Infection"
38741638,Urinary bladder carcinoma is a disease of the elderly and often presents at an advanced stage due to ignorance and manifestation of symptoms at later stages of the disease.,"Carcinoma, Disease"
38741638,"To conclude, it can be said that this study is one of its first from Eastern India and will act as a stepping stone for future studies concentrating on clinico-epidemiological profile, early diagnosis and treatment of carcinoma urinary bladder.","Carcinoma, Early Diagnosis, Diagnosis"
38739766,The identical genetic ablation after SCI did not yield any change in pain behavior.,"Behavior, Pain"
38739766,"Complementing animal data, quantitative sensory testing in human SCI subjects indicated reduced mechanical pain thresholds, whereas the mechanical detection threshold was not altered.","Pain Threshold, Pain, Sensory Thresholds"
38739766,"Taken together, early mechanoreceptor ablation modulates pain behavior, most likely through indirect mechanisms.","Behavior, Pain"
38738213,Intracortical brain-computer interfaces (iBCIs) have shown promise for restoring rapid communication to people with neurological disorders such as amyotrophic lateral sclerosis (ALS).,"Sclerosis, Communication Disorders, Amyotrophic Lateral Sclerosis, Communication"
38738169,"Optoacoustic imaging has grown in clinical relevance due to inherent advantages in sensitivity, resolution, and imaging depth, but the development of contrast agents is lacking.","Contrast Sensitivity, Clinical Relevance"
38737918,"Fusarium wilt is a significant disease in radish, but the genetic mechanisms controlling yellows resistance (YR) are not well understood.","Disease, Disease Resistance"
38737731,Pulmonary nodules represent a growing health care burden because of delayed diagnosis of malignant lesions and overtesting for benign processes.,"Delayed Diagnosis, Diagnosis"
38737720,"In this study, we used atomic force microscopy (AFM) to examine the effects of lipid specificity in mediating bilayer perturbations induced by HttN.","Microscopy, Microscopy, Atomic Force"
38737529,"These include, but are not limited to, the use of Wikipedia-based assignments to teach information literacy, science communication, evidence-based practice, and more.","Literacy, Communication"
38737382,Resilience Communication Mitigates the Negative Relational Effects of Topic Avoidance: Evidence from Parental Caregiving and COVID-19 Pandemic Contexts.,"COVID-19, Communication"
38737329,Systemic sclerosis (SSc) and myositis are two different entities that may coexist as an overlap syndrome.,"Myositis, Sclerosis, Syndrome"
38737313,"EPidemiology Of Cardiogenic sHock in Scotland (EPOCHS): A multicentre, prospective observational study of the prevalence, management and outcomes of cardiogenic shock in Scotland.","Shock, Cardiogenic, Shock"
38737313,"Despite high rates of cardiovascular disease in Scotland, the prevalence and outcomes of patients with cardiogenic shock are unknown.","Shock, Cardiogenic, Disease, Shock"
38737310,Venous thromboembolism (VTE) in critically ill patients has been well-studied in Western countries.,"Venous Thromboembolism, Thromboembolism"
38737310,Many studies have developed risk assessments and established pharmacological protocols to prevent deep venous thrombosis (DVT).,"Venous Thrombosis, Thrombosis"
38737211,"Furthermore, improvements in resolution, magnification and field-of-view (FOV) have attracted the scientific community to use SIDs in various biomedical applications such as disease diagnosis, food quality control and pathogen detection.","Disease, Diagnosis"
38736186,Effects of a visual search task in a virtual reality space with a moving background on spatial cognition and standing balance in patients with left hemiparetic stroke.,"Cognition, Stroke"
38736063,Myokymia in a Patient with Chronic Inflammatory Demyelinating Polyradiculoneuropathy.,"Myokymia, Polyradiculoneuropathy"
38736063,"Chronic inflammatory demyelinating polyradiculoneuropathy (CIDP) is an acquired, immune-mediated neuropathy affecting peripheral nerves and nerve roots.","Polyradiculoneuropathy, Chronic Inflammatory Demyelinating, Polyradiculoneuropathy"
38736063,"The clinical manifestations of CIDP are various and may present with atypical features, like myokymia, tremor, or tremor-like phenomena, which may mislead the clinician in diagnosis.","Myokymia, Diagnosis, Tremor"
38736062,An Unusual Case of Recurrent Raised Intracranial Pressure Headache.,"Headache, Intracranial Pressure"
38736062,"A patient with a known past history of the primary or secondary headache of any etiology, when presenting with new onset severe headache, needs to be evaluated with imaging to rule out an alternative diagnosis.","Headache, Diagnosis"
38736061,Serum Sickness like Reaction Postequine Rabies Immunoglobulins.,"Rabies, Serum Sickness"
38736059,"A 19-year-old female, Mrs. XYZ, resident of Mumbai came with complaints of fever and cough with whitish expectorate of 12 days duration.","Cough, Fever"
38736058,Adenoid Cystic Carcinoma Mimicking Bronchial Asthma.,"Carcinoma, Asthma"
38736057,Role of Bisoprolol in Heart Failure Management: A Consensus Statement from India.,"Heart Failure, Role, Consensus"
38736057,"The BB reduces heart rate (HR) reverse the adverse cardiac (both ventricular and atrial), vascular, and renovascular remodeling seen in HF.","Heart Rate, Atrial Remodeling, Ventricular Remodeling, Vascular Remodeling"
38736057,"Bisoprolol, a β-1 blocker, has several advantages and can be used across a wide spectrum of HF presentations and in patients with HF and comorbid conditions such as coronary artery disease (CAD), atrial fibrillation (AF), post-myocardial infarction (MI), uncontrolled diabetes, uncontrolled hypertension, and renal impairment.","Disease, Hypertension, Coronary Disease, Coronary Artery Disease, Atrial Fibrillation, Hypertension, Renal, Infarction"
38736055,Telmisartan Plus Amlodipine as the Preferred Initial Combination in Newly Diagnosed Indian Patients with Hypertension: An Expert Consensus Statements.,"Consensus, Hypertension"
38736055,Hypertension (HTN) remains one of the most important risk factors for cardiovascular (CV) diseases and a leading cause of mortality worldwide.,"Cardiovascular Diseases, Hypertension"
38736054,This can be counterproductive to the overall health and even survival of elderly patients if diagnosis is delayed.,"Delayed Diagnosis, Diagnosis"
38736054,This short review summarizes current evidence available for the diagnosis and identification of dehydration in the elderly and shares preventive strategies to prevent its occurrence and complications.,"Diagnosis, Dehydration"
38736053,Role and Significance of Dietary Protein in the Management of Type 2 Diabetes and Its Complications in India: An Expert Opinion.,"Role, Diabetes Complications"
38736053,"Obesity, prediabetes, and type 2 diabetes mellitus (T2DM) pose a triple burden in India.","Obesity, Diabetes Mellitus, Diabetes Mellitus, Type 2"
38736052,"Although glycemic variability (GV) has been shown to be associated with endothelial dysfunction in diabetes mellitus (DM), there is a dearth of literature on its correlation in gestational diabetic pregnancies.","Diabetes Mellitus, Diabetes, Gestational"
38736050,The coronavirus disease of 2019 (COVID-19) pandemic started by affecting the older age groups with comorbidities but gradually advanced to severely affect even young adults.,"Affect, Disease, COVID-19"
38736050,This study attempts to clinically evaluate critically ill young and middle-aged adults hospitalized with COVID-19 and study the association of risk factors and the markers of inflammation and coagulation with their outcome.,"Association, Inflammation, COVID-19"
38736049,The Role of Absolute Eosinophil Count as a Diagnostic and Prognostic Marker for Sepsis and Its Relation with Sequential Organ Failure Assessment/Quick Sequential Organ Failure Assessment Score.,"Role, Sepsis"
38736049,"Therefore, the objective of the current study was to assess absolute eosinophil count as a new marker for diagnosing sepsis and also to assess the prognosis of the patient in relation to Sequential Organ Failure Assessment (SOFA)/quick Sequential Organ Failure Assessment (qSOFA) score.","Sepsis, Prognosis"
38736048,Vaccination is an important aspect of preventing/decreasing the severity of any viral disease including severe acute respiratory syndrome coronavirus 2 (SARS-CoV2).,"Severe Acute Respiratory Syndrome, Disease, Acute Disease, Syndrome"
38736048,We conducted this study with the primary objective to assess the severity and clinical outcome of COVID-19 infections among nonvaccinated and vaccinated individuals.,"Infections, COVID-19"
38729679,How cells and their dynamic behavior are translated into functional spatial patterns is only starting to be understood.,"Behavior, Spatial Behavior"
38729679,"Therefore, comparative studies of different species and of disease models offer a powerful approach for understanding how novel spatial configurations arise from variations in cell behavior and the fundamentals of successful pattern formation.","Behavior, Disease, Spatial Behavior"
38726537,[Great love and selflessness－a few thoughts in the development of the Pediatric Group of the Otolaryngology-Head and Neck Surgery Branch of the Chinese Medical Association].,"Association, Love"
38726533,[The current state and future prospect of surgical treatment for nasopharyngeal carcinoma].,"Carcinoma, Nasopharyngeal Carcinoma"
38726530,[Progress on laryngeal reinnervation for vocal cord paralysis].,"Paralysis, Vocal Cord Paralysis"
38726529,[The pathway to standardization in the diagnosis and treatment of voice disorders].,"Voice Disorders, Voice, Diagnosis"
38726528,[Current advances of laryngopharyngeal reflux disease in China].,"Disease, Laryngopharyngeal Reflux"
38726527,[Research progress on adult obstructive sleep apnea and cognitive impairment].,"Apnea, Sleep"
38726526,[Current status and future of diagnosis and treatment of obstructive sleep apnea].,"Apnea, Diagnosis, Sleep"
38726518,[Progress in immunological research on Meniere's disease].,"Meniere Disease, Disease"
38726517,[Innovative research directions for hearing disorders in the aged].,"Hearing Disorders, Hearing"
38725727,Family Acceptance and Mental Health in LGBTQIA+ Individuals: An Urgent Call for Culturally Sensitive Research in the Indian Context.,"Family, Mental Health"
38725726,Predatory Advertising and Lack of Sex Education for Sexual Difficulties in India: A Double Whammy for Adolescent and Young Adults.,"Sex Education, Sex"
38725725,The Tamil Version of the Three-Factor Eating Questionnaire-R18V2: Reliability and Factor Structure Among Persons with Schizophrenia.,"Eating, Schizophrenia"
38725725,Persons with schizophrenia (PwS) are vulnerable to developing disordered eating behaviors.,"Eating, Schizophrenia"
38725725,"However, standardized tools to assess disordered eating patterns are unavailable in the regional language, Tamil.","Eating, Language"
38725715,"Attention deficit hyperactivity disorder (ADHD) is the most common neurobehavioral disorder among children, with an estimated prevalence of 1.3 per 1000 in India.","Attention Deficit Disorder with Hyperactivity, Attention"
38721442,Post-lumbar surgery syndrome (PLSS) refers to persistent or recurrent pain following spinal surgery with an unknown cause.,"Syndrome, Pain"
38721441,"In recent years, scoring systems, such as LEMON (an acronym for the assessment of the airway's appearance, identification of any dental issues, evaluation of Mallampati classification, assessment of airway obstruction, and examination of neck mobility) and intubation difficulty scale (IDS) have gained attention.","Attention, Airway Obstruction"
38721437,Herpes Zoster Reactivation After COVID-19 Vaccine with Focus on Postherpetic Neuralgia Prevention: A Case Series.,"Neuralgia, Herpes Zoster, COVID-19"
38716509,"Inflammatory Bowel Disease (IBD), encompassing Crohn's disease and ulcerative colitis, presents a complex and challenging clinical scenario characterized by chronic inflammation of the gastrointestinal tract.","Colitis, Disease, Colitis, Ulcerative, Inflammation, Crohn Disease, Chronic Disease"
38713063,Effect of an mHealth weight loss intervention on Healthy Eating Index diet quality: the SMARTER randomised controlled trial.,"Eating, Weight Loss"
38712923,The association of blood biomarkers with cerebral white matter and myelin content in bipolar disorder: a systematic review.,"Association, Bipolar Disorder"
38712923,Evidence from diffusion tensor imaging (DTI) and postmortem studies has demonstrated white-matter (WM) deficits in bipolar disorder (BD).,"Bipolar Disorder, Postmortem Imaging, Diffusion Tensor Imaging"
38708326,"Responsiveness of functional performance and muscle strength, power, and size to resistance training: A systematic review.","Muscle Strength, Resistance Training"
38708324,"The main neurophysiological risk factors identified leading to back problems in athletes are neuromuscular imbalance, increased muscle fatigability, muscle dysfunction and impaired motor control, whilst biomechanical risk factors include maladaptive spinal, spinopelvic and lower limb kinematics, side-to-side imbalances in axial strength and hip rotation range of motion, spinal overloading and deficits in movement pattern.","Movement, Muscle Strength"
38708324,"However, most studies focused on back pain in the lumbar region, whereas less attention has been paid to thoracic and cervical spine problems.","Back Pain, Attention, Pain"
38708324,"In addition to chronic back pain patients, it is equally important to conduct research on healthy athletes with a predisposition to spine problems.","Back Pain, Pain, Chronic Pain"
38708323,Acute Pilates and plyometric exercise in school-based settings improve attention and mathematics performance in high school students.,"Plyometric Exercise, Exercise, Attention"
38708323,The aim of this study was to examine the effects of acute Pilates and plyometric exercise in a school-based setting on attention and mathematics test performance in high school students.,"Plyometric Exercise, Exercise, Attention, Exercise Test"
38708049,"Use of a sodium-glucose cotransporter-2 inhibitor (SGLT2i) reduces hospitalization in heart failure (HF) patients across the spectrum of ejection fraction, but no study has comprehensively explored their impact on quality of life (QoL) with respect to different subgroup populations.","Heart Failure, Respect"
38708045,Marantic Endocarditis With Recurrent Thromboembolism Potentially Associated With COVID-19 and Delayed Onset of Malignancy.,"COVID-19, Endocarditis, Thromboembolism"
38707932,Contributions of Trauma and Economic Insecurity to Psychological Distress in Response to the COVID-19 Pandemic.,"Psychological Distress, Psychological Trauma, COVID-19"
38707932,"As such, we examined trauma and economic factors as predictors of pandemic-related psychological distress and symptoms.","Psychological Distress, Psychological Trauma"
38707884,Evaluating the Utility of Liver Transaminases as Predictors of Feto-Maternal Outcome in Lieu of Serum Bile Acids in Intrahepatic Cholestasis of Pregnancy: A Prospective Observational Study.,"Cholestasis, Pregnancy, Pregnancy Outcome"
38707884,Intrahepatic Cholestasis of Pregnancy (ICP) is a disorder of the second half of pregnancy causing pruritus and abnormal liver function tests (LFT).,"Cholestasis, Pregnancy Tests, Pruritus, Liver Function Tests, Pregnancy"
38707880,Studies have postulated the role of inflammation in the pathophysiology of PCOS.,"Role, Inflammation"
38707880,"As acute phase reactants often serve as markers of inflammation, this study aimed to evaluate the role of inflammatory markers in women with PCOS and healthy controls.","Role, Inflammation"
38707876,and hypothesis.We evaluated different bladder parameters using Transperineal Ultrasound (TPUS) in patients with apical pelvic organ prolapse undergoing lateral suspension or sacropexy.,"Prolapse, Pelvic Organ Prolapse"
38707874,"Now that India is undergoing triple burden of malnutrition, if the pregnant woman is underweight, overweight, obese or diabetic both the mother and the baby are at a high risk of developing complications not only during pregnancy but also postpartum.","Pregnancy Complications, Malnutrition, Overweight, Pregnancy"
38707638,"20(S)-ginsenoside Rh2(GRh2), an effective natural histone deacetylase inhibitor, can inhibit acute myeloid leukemia (AML) cell proliferation.","Leukemia, Myeloid, Acute, Leukemia, Leukemia, Myeloid"
38707638,"However, whether the high level of lactylation modification that we first detected in acute promyelocytic leukemia (APL) is associated with all-trans retinoic acid (ATRA) resistance has not been reported.","Leukemia, Promyelocytic, Acute, Leukemia"
38707227,"Despite some challenges, TPIAT can be a promising treatment for patients with CP-related intractable pain.","Pain, Intractable, Pain"
38706678,"Repetitive elbow external valgus torque and muscular fatigue induced by repetitive pitching could affect markers of the response, that is, humeroulnar joint gap and UCL morphology.","Affect, Fatigue"
38706667,Acromion fracture associated with traumatic first time anterior shoulder dislocation: a case report.,"Shoulder Dislocation, Fracture Dislocation"
38706625,"Non-traumatic ectopia lentis is a rare ocular disorder usually associated with syndromes like Marfans's syndrome, Weil-Marchesani and Homocystinuria.","Homocystinuria, Ectopia Lentis, Syndrome"
38706625,"Ectopia lentis can lead to profound visual loss from refractive errors, glaucoma as well as retinal detachment if left unattended.","Ectopia Lentis, Glaucoma, Refractive Errors, Retinal Detachment"
38706620,Military personnel (MP) are exposed to situations such as loneliness and alcohol use that lead to sexual risk behaviours (SRBs) with serious implications for the spread of sexually transmitted infections (STIs).,"Loneliness, Infections"
38706618,Inferior vena cava (IVC) filter placement is an image-guided procedure aimed at primarily preventing pulmonary thromboembolism in patients with lower limb venous thromboembolic (VTE) disease.,"Venous Thromboembolism, Disease, Thromboembolism"
38706618,"In Northern Nigeria with a relatively high incidence of thromboembolic disease such as Deep vein thrombosis, reports on IVC filter placement are largely low.","Disease, Thrombosis"
38706616,The role of skin antisepsis after skin closure in abdominal surgery for sepsis is not well reported.,"Role, Sepsis"
38706261,"&lt;b&gt;&lt;br&gt;Introduction:&lt;/b&gt; Vertigo is a subjective sensation of swaying, tilting, spinning, instability, or being off-balance [1].","Sensation, Vertigo"
38706261,"Benign paroxysmal positional vertigo (BPPV) is the most common cause of peripheral vertigo and is currently considered to account for about 14-42% of all cases of vertigo, depending on the authors [2-4].","Benign Paroxysmal Positional Vertigo, Vertigo"
38706261,"However, this figure may be underestimated due to frequent misdiagnoses.&lt;/br&gt; &lt;b&gt;&lt;br&gt;Aim:&lt;/b&gt; The aim of this paper is to review the currently available international literature on the use of the TRV chair so as to assess its usefulness and effectiveness in the diagnostics and possibly subsequent treatment of BPPV and its components.&lt;/br&gt; &lt;b&gt;&lt;br&gt;Materials and methods:&lt;/b&gt; Included in this literature review are peer-reviewed papers authored by various research teams as available in PubMed, Google Scholar, and Scopus databases.&lt;/br&gt; &lt;b&gt;&lt;br&gt;Results:&lt;/b&gt; The TRV chair is helpful in precise diagnosis and subsequent treatment of BPPV subtypes (canalithiasis and cupulolithiasis) as well as in the evaluation of the number of affected canals, as shown in the papers analyzed in this review.&lt;/br&gt; &lt;b&gt;&lt;br&gt;Conclusions:&lt;/b&gt; The use of TRV in the context of diagnosis and therapy of benign paroxysmal positional vertigo presents with potential for the improvement of diagnostic results, management protocols, and patients' quality of lives.&lt;/br&gt.","Diagnosis, Benign Paroxysmal Positional Vertigo, Vertigo"
38705694,The death of a child is a devastating event that can lead to chronic sorrow and great stress among parents and caregivers.,"Parents, Death"
38705694,"Legacy-building and memory-making experiences for anticipatory grief and bereavement have become increasingly popular in pediatric hospitals, including the use of heartbeat recordings.","Bereavement, Grief"
38705693,"Mothers with an infant hospitalized in the neonatal intensive care unit (NICU) are at an increased risk of mental health concerns, including depression and anxiety.","Mothers, Depression, Mental Health, Anxiety"
38705693,Successful mental health support during the critical time of transition from hospital to home requires careful consideration of the mothers' mental health beginning during the NICU stay.,"Mothers, Mental Health"
38705693,"Major themes from a scoping review to identify best practices to support maternal mental health include (1) comprehensive evaluation of needs and continuity of care, (2) key role of in-person support, and (3) the potential to use technology-based support to increase mental health support.","Role, Mental Health"
38705690,Transitioning Care Approach for Neonatal Opioid Withdrawal Syndrome and Neonatal Abstinence Syndrome.,"Neonatal Abstinence Syndrome, Syndrome"
38705690,"The increase in substance use during pregnancy results in a higher incidence of neonatal abstinence syndrome/neonatal opioid withdrawal syndrome (NAS/NOWS), straining health care and social systems and creating an economic burden.","Pregnancy, Neonatal Abstinence Syndrome, Substance Withdrawal Syndrome, Syndrome"
38705685,"Babies in the womb and preterm babies in the neonatal intensive care unit (NICU) can hear and respond to maternal voices with positive effects on physiologic stability, brain development, and language development.","Language, Language Development"
38704615,A 19-year-old student developed hypoventilation and cyanosis at the end of a cosmetic liposuction procedure.,"Cyanosis, Hypoventilation"
38704615,"Neuropsychological evaluation showed psychomotor slowness, and deficits in memory encoding and retrieval, and on executive, and visuospatial and visuoperceptual tests; oral comprehension and constructional praxis were spared.","Comprehension, Memory, Neuropsychological Tests"
38702245,Pseudogestational Sac Delaying Diagnosis of Ectopic Pregnancy: A Case Report.,"Pregnancy, Diagnosis"
38702245,Diagnosis of ectopic pregnancy can be complicated by nonspecific laboratory and radiographic findings.,"Pregnancy, Diagnosis"
38702244,"Left-sided intracardiac thrombi are most commonly seen in conditions with decreased cardiac flow, such as myocardial infarction or atrial fibrillation.","Myocardial Infarction, Atrial Fibrillation, Infarction"
38700142,"Isolated bilateral fornix anterior columns infarction with acute amnesia and fiber tracts damage, a case report.","Amnesia, Infarction"
38700142,Isolated fornix anterior column infarction has rarely been described and is difficult to assess accurately using conventional magnetic resonance imaging (MRI).,"Magnetic Resonance Imaging, Infarction"
38700142,MRI performed within 24 h after amnesia onset showed an isolated infarction of the bilateral anterior columns of the fornix on diffusion-weighted imaging (DWI).,"Amnesia, Infarction"
38700142,"when acute amnesia syndrome onset, fornix anterior column infarction should be considered, and optimized DWI and DTI methods are needed to study the fornix in vivo in future research.","Amnesia, Infarction, Syndrome"
38699764,Experiences of Students with Learning Disabilities in Higher Education: A Scoping Review.,"Learning Disabilities, Learning"
38699764,"As the number of students with learning disabilities (SwLD) entering higher education (HE) increases, a need arises to improve the services provided to them by understanding their experiences.","Learning Disabilities, Learning"
38698623,The Prevalence of Coronary Artery Disease in Bicuspid Aortic Valve Patients: An Overview of the Literature.,"Disease, Bicuspid Aortic Valve Disease, Aortic Valve Disease, Coronary Disease, Coronary Artery Disease"
38698623,The prevalence of coronary artery disease (CAD) in bicuspid aortic valve (BAV) patients is a debatable topic.,"Disease, Bicuspid Aortic Valve Disease, Aortic Valve Disease, Coronary Disease, Coronary Artery Disease"
38698621,The New Delivery Method for Cardioplegic Solution in Type A Aortic Dissection.,"Dissection, Aortic Dissection"
38698621,"In type A aortic dissection, standard methods of delivery of cardioplegic solution may not be adequately effective.","Dissection, Aortic Dissection"
38696692,Phantom Limb Neuroplasticity and Maladaptive Sensory Perceptions: Why Phantom Limb Paresthesia Should Be Integrated into Referred Pain Discussions.,"Phantom Limb, Paresthesia, Pain"
38696692,"However, this discussion has excluded the topic of phantom limb pain, despite the existence of parallels in neurophysiological explanations between these conditions.","Phantom Limb, Pain"
38696692,This brief viewpoint attempts to reason why phantom limb paresthesia or pain should be included in the fold of refereed pain discussions.,"Phantom Limb, Paresthesia, Pain"
38696691,"The African giant rat, AGR (Cricetomys gambianus) is a unique rodent known for its keen sense of smell which has enabled its use in the diagnosis of tuberculosis and demining activities in war torn countries.","Diagnosis, Tuberculosis, Smell"
38696690,"The study found that coconut water had a positive effect on hematological indices, as it increased hemoglobin and erythrocyte levels in rats with induced anemia.","Erythrocyte Indices, Anemia"
38696687,Epilepsy is a chronic disease of the brain characterized by seizures.,"Disease, Epilepsy, Seizures, Chronic Disease"
38696685,"60 male Wistar rats (g, n=10) were randomised into 2 conditions: Normal, ulcerated untreated, ulcerated treated with 12.5mg/kg p.o KBrO3 and thyroidectomised groups: thyroidectomised ulcerated, thyroidectomised ulcer treated with KBrO3 and thyroidectomised treated with thyroxine (100µg/kg) Total thyroidectomy was used to model hypothyroidism, and ischaemia-reperfusion-induced gastric ulcers were monitored for healing.","Ulcer, Hypothyroidism"
38696685,"The bromate-exposed hypothyroid rats showed increased gastric ulcer healing potential with reduced gastric epithelial oedema and inflammation; hepatic steatosis, and periportal inflammation.","Inflammation, Ulcer"
38696684,"Electrocardiography, Blood Pressure Measurements, Vital Parameters and Anaesthetic Indices in the African Giant Rat (Cricetomys Gambianus Waterhouse) Immobilized with Diazepam or Ketamine.","Electrocardiography, Blood Pressure"
