Tree Number,Disease Name
C06.405.469.531,Intestinal Obstruction
C06.405.469.557,Intestinal Perforation
C23.300.825.411,Intestinal Polyps
C06.405.469.531.492.500,Intestinal Pseudo-Obstruction
C23.550.505,Intraoperative Complications
C06.405.469.531.577,Intussusception
C23.550.210.190,Chromosome Inversion
C11.941.375,Iris Diseases
C11.941.375.385,Iritis
C11.941.879.780.880.448,Iritis
C23.550.513,Ischemia
C04.557.470.035.100,"Adenoma, Islet Cell"
C04.588.274.761.249,"Adenoma, Islet Cell"
C04.588.322.475.249,"Adenoma, Islet Cell"
C06.301.761.249,"Adenoma, Islet Cell"
C06.689.667.249,"Adenoma, Islet Cell"
C19.344.421.249,"Adenoma, Islet Cell"
C01.207.800.230,Creutzfeldt-Jakob Syndrome
C10.228.140.380.165,Creutzfeldt-Jakob Syndrome
C10.228.228.800.230,Creutzfeldt-Jakob Syndrome
C23.550.429.500,Jaundice
C23.888.885.375,Jaundice
C16.320.565.300.764,"Jaundice, Chronic Idiopathic"
C16.614.451.500.250,"Jaundice, Chronic Idiopathic"
C18.452.648.300.764,"Jaundice, Chronic Idiopathic"
C23.550.291.500.479,"Jaundice, Chronic Idiopathic"
C16.614.451.500,"Jaundice, Neonatal"
C23.550.429.249.500,"Jaundice, Neonatal"
C05.500.460,Jaw Abnormalities
C05.660.207.540.460,Jaw Abnormalities
C07.320.440,Jaw Abnormalities
C07.650.500.460,Jaw Abnormalities
C16.131.621.207.540.460,Jaw Abnormalities
C16.131.850.500.460,Jaw Abnormalities
C04.182.089.530,Jaw Cysts
C05.500.470,Jaw Cysts
C07.320.450,Jaw Cysts
C05.500,Jaw Diseases
C07.320,Jaw Diseases
C10.900.300.284.500.400,Jaw Fractures
C26.404.750.467,Jaw Fractures
C26.915.300.425.500.400,Jaw Fractures
C04.588.149.721.450,Jaw Neoplasms
C05.116.231.754.450,Jaw Neoplasms
C05.500.499,Jaw Neoplasms
C07.320.515,Jaw Neoplasms
C05.500.480,"Jaw, Edentulous"
C07.320.550,"Jaw, Edentulous"
C07.465.550.425,"Jaw, Edentulous"
C07.793.597.425,"Jaw, Edentulous"
C05.500.480.450,"Jaw, Edentulous, Partially"
C07.320.550.450,"Jaw, Edentulous, Partially"
C07.465.550.425.450,"Jaw, Edentulous, Partially"
C07.793.597.425.450,"Jaw, Edentulous, Partially"
C06.405.469.600,Jejunal Diseases
C04.588.274.476.411.523,Jejunal Neoplasms
C06.301.371.411.523,Jejunal Neoplasms
C06.405.249.411.523,Jejunal Neoplasms
C06.405.469.491.523,Jejunal Neoplasms
C06.405.469.600.523,Jejunal Neoplasms
C15.378.553.774.600,Job Syndrome
C16.320.798.688,Job Syndrome
C20.673.774.600,Job Syndrome
C20.673.795.688,Job Syndrome
C05.550,Joint Diseases
C05.550.521,Joint Instability
C05.550.535,Joint Loose Bodies
C01.925.256.466.382.410,Kaposi Varicelliform Eruption
C01.925.825.320.410,Kaposi Varicelliform Eruption
C17.800.838.790.320.410,Kaposi Varicelliform Eruption
C08.127.384.500,Kartagener Syndrome
C08.200.531,Kartagener Syndrome
C08.695.501,Kartagener Syndrome
C09.150.531,Kartagener Syndrome
C14.240.400.280.500,Kartagener Syndrome
C14.280.400.280.500,Kartagener Syndrome
C16.131.077.245.500.531,Kartagener Syndrome
C16.131.240.400.280.500,Kartagener Syndrome
C16.131.740.501,Kartagener Syndrome
C16.131.810.250.500,Kartagener Syndrome
C16.320.184.500.531,Kartagener Syndrome
C16.320.480,Kartagener Syndrome
C05.651.460.700.500,Kearns-Sayre Syndrome
C10.292.562.750.250.500,Kearns-Sayre Syndrome
C10.597.622.447.511.500,Kearns-Sayre Syndrome
C10.668.491.500.700.500,Kearns-Sayre Syndrome
C11.590.472.250.500,Kearns-Sayre Syndrome
C11.768.585.658.500.627,Kearns-Sayre Syndrome
C14.280.238.510,Kearns-Sayre Syndrome
C18.452.660.560.700.500,Kearns-Sayre Syndrome
C23.550.291.500.688.500,Kearns-Sayre Syndrome
C23.888.592.636.447.511.500,Kearns-Sayre Syndrome
C17.300.200.425,Keloid
C23.550.355.274.510,Keloid
C11.204.564,Keratitis
C01.375.725.465.450,"Keratitis, Dendritic"
C01.925.256.466.382.465.450,"Keratitis, Dendritic"
C01.925.325.465.450,"Keratitis, Dendritic"
C11.204.564.425.450,"Keratitis, Dendritic"
C11.294.800.475.450,"Keratitis, Dendritic"
C17.800.417,Keratoacanthoma
C11.187.183.394,Keratoconjunctivitis
C11.204.564.585,Keratoconjunctivitis
C11.187.183.394.500,Keratoconjunctivitis Sicca
C11.204.564.585.630,Keratoconjunctivitis Sicca
C11.496.260.394,Keratoconjunctivitis Sicca
C01.150.252.289.450,"Keratoconjunctivitis, Infectious"
C01.375.354.450,"Keratoconjunctivitis, Infectious"
C11.187.183.394.520,"Keratoconjunctivitis, Infectious"
C11.204.564.585.500,"Keratoconjunctivitis, Infectious"
C11.294.354.450,"Keratoconjunctivitis, Infectious"
C22.500,"Keratoconjunctivitis, Infectious"
C11.204.627,Keratoconus
C17.800.428,Keratosis
C16.320.850.190,Darier Disease
C17.800.428.275,Darier Disease
C17.800.827.190,Darier Disease
C16.320.850.475,"Keratoderma, Palmoplantar"
C17.800.428.435,"Keratoderma, Palmoplantar"
C17.800.827.475,"Keratoderma, Palmoplantar"
C10.228.140.163.480,Kernicterus
C15.378.295.502,Kernicterus
C16.614.304.502,Kernicterus
C18.452.132.480,Kernicterus
C20.306.502,Kernicterus
C23.550.429.750,Kernicterus
C18.452.076.176.652,Ketosis
C12.050.351.968.419.600.500,Kidney Calculi
C12.050.351.968.967.249.500,Kidney Calculi
C12.050.351.968.967.500.503,Kidney Calculi
C12.200.777.419.600.500,Kidney Calculi
C12.200.777.967.249.500,Kidney Calculi
C12.200.777.967.500.503,Kidney Calculi
C12.950.419.600.500,Kidney Calculi
C12.950.967.249.500,Kidney Calculi
C12.950.967.500.503,Kidney Calculi
C23.300.175.850.550,Kidney Calculi
C12.050.351.968.419.393,Kidney Cortex Necrosis
C12.200.777.419.393,Kidney Cortex Necrosis
C12.950.419.393,Kidney Cortex Necrosis
C12.050.351.968.419,Kidney Diseases
C12.200.777.419,Kidney Diseases
C12.950.419,Kidney Diseases
C12.050.351.968.419.780.750.500,"Kidney Failure, Chronic"
C12.200.777.419.780.750.500,"Kidney Failure, Chronic"
C12.950.419.780.750.500,"Kidney Failure, Chronic"
C23.550.291.500.906.500,"Kidney Failure, Chronic"
C04.588.945.947.535,Kidney Neoplasms
C12.050.351.937.820.535,Kidney Neoplasms
C12.050.351.968.419.473,Kidney Neoplasms
C12.200.758.820.750,Kidney Neoplasms
C12.200.777.419.473,Kidney Neoplasms
C12.900.820.535,Kidney Neoplasms
C12.950.419.473,Kidney Neoplasms
C12.950.983.535,Kidney Neoplasms
C12.050.351.968.419.493,Kidney Papillary Necrosis
C12.200.777.419.493,Kidney Papillary Necrosis
C12.950.419.493,Kidney Papillary Necrosis
C12.050.351.968.419.780.050.500,"Kidney Tubular Necrosis, Acute"
C12.200.777.419.780.050.500,"Kidney Tubular Necrosis, Acute"
C12.950.419.780.050.500,"Kidney Tubular Necrosis, Acute"
C12.050.351.968.419.403.875,Polycystic Kidney Diseases
C12.200.777.419.403.875,Polycystic Kidney Diseases
C12.950.419.403.875,Polycystic Kidney Diseases
C16.131.077.717,Polycystic Kidney Diseases
C16.320.184.625,Polycystic Kidney Diseases
C12.050.351.968.419.403.500,Medullary Sponge Kidney
C12.200.777.419.403.500,Medullary Sponge Kidney
C12.950.419.403.500,Medullary Sponge Kidney
C10.228.140.163.100.540,Menkes Kinky Hair Syndrome
C10.597.606.360.455.687,Menkes Kinky Hair Syndrome
C16.320.322.500.687,Menkes Kinky Hair Syndrome
C16.320.400.525.687,Menkes Kinky Hair Syndrome
C16.320.565.189.540,Menkes Kinky Hair Syndrome
C16.320.565.618.590,Menkes Kinky Hair Syndrome
C17.800.329.968,Menkes Kinky Hair Syndrome
C18.452.132.100.540,Menkes Kinky Hair Syndrome
C18.452.648.189.540,Menkes Kinky Hair Syndrome
C18.452.648.618.590,Menkes Kinky Hair Syndrome
C01.150.252.400.310.503,Klebsiella Infections
C12.050.351.875.253.795.500,Klinefelter Syndrome
C12.200.706.316.795.500,Klinefelter Syndrome
C12.800.316.795.500,Klinefelter Syndrome
C16.131.260.830.835.500,Klinefelter Syndrome
C16.131.939.316.795.500,Klinefelter Syndrome
C16.320.180.830.835.500,Klinefelter Syndrome
C19.391.119.795.500,Klinefelter Syndrome
C19.391.482.629,Klinefelter Syndrome
C05.116.099.370.535,Klippel-Feil Syndrome
C05.660.551,Klippel-Feil Syndrome
C16.131.621.551,Klippel-Feil Syndrome
C14.907.077.410,Klippel-Trenaunay-Weber Syndrome
C26.558.554,Knee Injuries
C12.050.351.500.944.815,Vulvar Lichen Sclerosus
C12.100.250.944.815,Vulvar Lichen Sclerosus
C04.557.470.200.025.415.410,Krukenberg Tumor
C04.557.470.590.415.410,Krukenberg Tumor
C01.207.800.435,Kuru
C10.228.228.800.435,Kuru
C10.574.843.625,Kuru
C18.654.521.719.500,Kwashiorkor
C01.920.930.475,Kyasanur Forest Disease
C01.925.081.656,Kyasanur Forest Disease
C01.925.782.350.250.635,Kyasanur Forest Disease
C01.925.782.417.475,Kyasanur Forest Disease
C05.116.900.800.500,Kyphosis
C12.050.703.420,Obstetric Labor Complications
C12.050.703.420.491,"Obstetric Labor, Premature"
C01.503,Laboratory Infection
C24.506,Laboratory Infection
C09.218.568,Labyrinth Diseases
C09.218.568.558,Labyrinthitis
C09.218.705.371,Labyrinthitis
C11.496,Lacrimal Apparatus Diseases
C11.496.456,Lacrimal Duct Obstruction
C12.050.703.844.506,Lactation Disorders
C17.800.090.937,Lactation Disorders
C06.405.469.637.506,Lactose Intolerance
C16.320.565.202.589,Lactose Intolerance
C18.452.603.506,Lactose Intolerance
C18.452.648.202.589,Lactose Intolerance
C22.510,"Lameness, Animal"
C10.597.606.150.500.550,Language Development Disorders
C23.888.592.604.150.500.550,Language Development Disorders
C10.597.606.150.500,Language Disorders
C23.888.592.604.150.500,Language Disorders
C01.610.335.508.523,Larva Migrans
C01.610.858.424,Larva Migrans
C17.800.838.775.424,Larva Migrans
C01.610.335.508.523.780,"Larva Migrans, Visceral"
C01.610.335.508.700.100.868.420,"Larva Migrans, Visceral"
C08.360,Laryngeal Diseases
C09.400,Laryngeal Diseases
C08.360.313,Laryngeal Edema
C09.400.313,Laryngeal Edema
C04.588.443.665.481,Laryngeal Neoplasms
C08.360.369,Laryngeal Neoplasms
C08.785.481,Laryngeal Neoplasms
C09.400.369,Laryngeal Neoplasms
C09.647.481,Laryngeal Neoplasms
C08.360.895.500,Laryngismus
C08.618.980.500,Laryngismus
C09.400.895.500,Laryngismus
C01.748.368,Laryngitis
C08.360.535,Laryngitis
C08.730.368,Laryngitis
C09.400.535,Laryngitis
C08.360.591,Laryngostenosis
C09.400.591,Laryngostenosis
C16.131.740.658,Laryngostenosis
C01.925.782.082.545,Lassa Fever
C01.925.782.417.505,Lassa Fever
C25.723.756.558,Lathyrism
C10.228.140.617.500,Laurence-Moon Syndrome
C16.131.077.509,Laurence-Moon Syndrome
C25.723.522.750,Lead Poisoning
C10.597.606.150.550,Learning Disabilities
C23.888.592.604.150.550,Learning Disabilities
C16.320.565.398.500.330.500,Lecithin Cholesterol Acyltransferase Deficiency
C18.452.584.500.875.330.500,Lecithin Cholesterol Acyltransferase Deficiency
C18.452.584.563.500.330.500,Lecithin Cholesterol Acyltransferase Deficiency
C18.452.648.398.500.330.500,Lecithin Cholesterol Acyltransferase Deficiency
C17.800.446,Leg Dermatoses
C26.558,Leg Injuries
C05.116.099.655,Leg Length Inequality
C23.300.808,Leg Length Inequality
C17.800.893.592,Leg Ulcer
C05.116.852.175.570,Legg-Calve-Perthes Disease
C01.150.252.400.500,Legionellosis
C01.748.382,Legionellosis
C08.730.382,Legionellosis
C01.150.252.400.500.501,Legionnaires' Disease
C01.748.382.380,Legionnaires' Disease
C08.730.382.380,Legionnaires' Disease
C10.228.140.163.100.412,Leigh Disease
C16.320.565.189.412,Leigh Disease
C16.320.565.202.810.444,Leigh Disease
C18.452.132.100.412,Leigh Disease
C18.452.648.189.412,Leigh Disease
C18.452.648.202.810.444,Leigh Disease
C18.452.660.520,Leigh Disease
C04.557.450.590.450,Leiomyoma
C04.557.450.590.455,Leiomyosarcoma
C04.557.450.795.455,Leiomyosarcoma
C01.610.752.300.500,Leishmaniasis
C01.610.858.560,Leishmaniasis
C01.920.813,Leishmaniasis
C17.800.838.775.560,Leishmaniasis
C01.610.752.300.500.400.385,"Leishmaniasis, Mucocutaneous"
C01.610.858.560.400.385,"Leishmaniasis, Mucocutaneous"
C01.920.813.400.385,"Leishmaniasis, Mucocutaneous"
C17.800.838.775.560.400.385,"Leishmaniasis, Mucocutaneous"
C01.610.752.300.500.510,"Leishmaniasis, Visceral"
C01.920.813.510,"Leishmaniasis, Visceral"
C11.510,Lens Diseases
C11.510.598,Lens Subluxation
C17.800.621.430.530.550,Lentigo
C01.150.252.410.040.552.475.371,Leprosy
C01.150.252.400.794.511,Leptospirosis
C14.907.109.661,Leriche Syndrome
C14.907.137.427,Leriche Syndrome
C10.228.140.163.100.425,Lesch-Nyhan Syndrome
C10.597.606.360.455.625,Lesch-Nyhan Syndrome
C16.320.322.500.625,Lesch-Nyhan Syndrome
C16.320.400.525.625,Lesch-Nyhan Syndrome
C16.320.565.189.425,Lesch-Nyhan Syndrome
C16.320.565.798.594,Lesch-Nyhan Syndrome
C18.452.132.100.425,Lesch-Nyhan Syndrome
C18.452.648.189.425,Lesch-Nyhan Syndrome
C18.452.648.798.594,Lesch-Nyhan Syndrome
C04.557.337,Leukemia
C15.378.508,Leukemia
C04.557.337.372.594,Leukemia L1210
C04.619.531.594,Leukemia L1210
C15.378.508.372.594,Leukemia L1210
C04.557.337.372.602,Leukemia L5178
C04.619.531.602,Leukemia L5178
C15.378.508.372.602,Leukemia L5178
C04.557.337.372.782,Leukemia P388
C04.619.531.782,Leukemia P388
C15.378.508.372.782,Leukemia P388
C04.557.337.372,"Leukemia, Experimental"
C04.619.531,"Leukemia, Experimental"
C15.378.508.372,"Leukemia, Experimental"
C04.557.337.415,"Leukemia, Hairy Cell"
C15.378.508.415,"Leukemia, Hairy Cell"
C15.604.515.553,"Leukemia, Hairy Cell"
C20.683.515.517,"Leukemia, Hairy Cell"
C04.557.337.428,"Leukemia, Lymphoid"
C15.378.508.428,"Leukemia, Lymphoid"
C15.604.515.560,"Leukemia, Lymphoid"
C20.683.515.528,"Leukemia, Lymphoid"
C04.557.337.440,"Leukemia, Mast-Cell"
C04.557.337.539.275.440,"Leukemia, Mast-Cell"
C15.378.508.440,"Leukemia, Mast-Cell"
C15.378.508.539.275.440,"Leukemia, Mast-Cell"
C20.762.750.750.500,"Leukemia, Mast-Cell"
C04.557.337.539.275.450,"Leukemia, Megakaryoblastic, Acute"
C15.378.508.539.275.450,"Leukemia, Megakaryoblastic, Acute"
C04.557.337.539.275.484,"Leukemia, Monocytic, Acute"
C15.378.508.539.275.484,"Leukemia, Monocytic, Acute"
C04.557.337.539,"Leukemia, Myeloid"
C15.378.508.539,"Leukemia, Myeloid"
C04.557.337.595,"Leukemia, Plasma Cell"
C04.557.595.500.500,"Leukemia, Plasma Cell"
C15.378.508.595,"Leukemia, Plasma Cell"
C20.683.515.845.500,"Leukemia, Plasma Cell"
C04.557.337.650,"Leukemia, Radiation-Induced"
C04.682.512,"Leukemia, Radiation-Induced"
C15.378.508.650,"Leukemia, Radiation-Induced"
C26.733.345,"Leukemia, Radiation-Induced"
C15.378.190.636.484,Leukemoid Reaction
C15.378.553.475.428,Leukemoid Reaction
C15.378.553,Leukocyte Disorders
C15.378.553.475,Leukocytosis
C23.550.526,Leukocytosis
C10.228.140.163.100.362.500,"Leukodystrophy, Globoid Cell"
C10.228.140.163.100.435.825.590,"Leukodystrophy, Globoid Cell"
C10.228.140.695.625.500,"Leukodystrophy, Globoid Cell"
C10.314.400.500,"Leukodystrophy, Globoid Cell"
C16.320.565.189.362.500,"Leukodystrophy, Globoid Cell"
C16.320.565.189.435.825.590,"Leukodystrophy, Globoid Cell"
C16.320.565.398.641.803.585,"Leukodystrophy, Globoid Cell"
C16.320.565.595.554.825.590,"Leukodystrophy, Globoid Cell"
C18.452.132.100.362.500,"Leukodystrophy, Globoid Cell"
C18.452.132.100.435.825.590,"Leukodystrophy, Globoid Cell"
C18.452.584.563.641.803.585,"Leukodystrophy, Globoid Cell"
C18.452.648.189.362.500,"Leukodystrophy, Globoid Cell"
C18.452.648.189.435.825.590,"Leukodystrophy, Globoid Cell"
C18.452.648.398.641.803.585,"Leukodystrophy, Globoid Cell"
C18.452.648.595.554.825.590,"Leukodystrophy, Globoid Cell"
C10.228.140.163.100.362.550,"Leukodystrophy, Metachromatic"
C10.228.140.163.100.435.825.850.500,"Leukodystrophy, Metachromatic"
C10.228.140.695.625.550,"Leukodystrophy, Metachromatic"
C10.314.400.550,"Leukodystrophy, Metachromatic"
C16.320.565.189.362.550,"Leukodystrophy, Metachromatic"
C16.320.565.189.435.825.850.500,"Leukodystrophy, Metachromatic"
C16.320.565.398.641.803.925.500,"Leukodystrophy, Metachromatic"
C16.320.565.595.554.825.850.500,"Leukodystrophy, Metachromatic"
C18.452.132.100.362.550,"Leukodystrophy, Metachromatic"
C18.452.132.100.435.825.850.500,"Leukodystrophy, Metachromatic"
C18.452.584.563.641.803.925.500,"Leukodystrophy, Metachromatic"
C18.452.648.189.362.550,"Leukodystrophy, Metachromatic"
C18.452.648.189.435.825.850.500,"Leukodystrophy, Metachromatic"
C18.452.648.398.641.803.925.500,"Leukodystrophy, Metachromatic"
C18.452.648.595.554.825.850.500,"Leukodystrophy, Metachromatic"
C07.465.385,"Leukoedema, Oral"
C01.207.245.340.500,"Leukoencephalopathy, Progressive Multifocal"
C01.207.399.750.500,"Leukoencephalopathy, Progressive Multifocal"
C01.925.182.525.500,"Leukoencephalopathy, Progressive Multifocal"
C01.925.256.721.500,"Leukoencephalopathy, Progressive Multifocal"
C01.925.839.550,"Leukoencephalopathy, Progressive Multifocal"
C10.228.140.430.520.750.500,"Leukoencephalopathy, Progressive Multifocal"
C10.228.140.695.750,"Leukoencephalopathy, Progressive Multifocal"
C10.228.228.245.340.500,"Leukoencephalopathy, Progressive Multifocal"
C10.228.228.399.750.500,"Leukoencephalopathy, Progressive Multifocal"
C10.314.450,"Leukoencephalopathy, Progressive Multifocal"
C10.586.250.520.750.500,"Leukoencephalopathy, Progressive Multifocal"
C10.228.140.300.700,"Leukomalacia, Periventricular"
C10.228.140.461.550,"Leukomalacia, Periventricular"
C14.907.253.612,"Leukomalacia, Periventricular"
C16.614.521.450,"Leukomalacia, Periventricular"
C15.378.243.750,Leukopenia
C15.378.553.546,Leukopenia
C04.834.512,Leukoplakia
C23.300.816,Leukoplakia
C04.588.443.591.545,"Leukoplakia, Oral"
C04.834.512.513,"Leukoplakia, Oral"
C07.465.530.545,"Leukoplakia, Oral"
C23.300.816.513,"Leukoplakia, Oral"
C12.050.351.500.894.700.500,Leukorrhea
C12.100.250.894.700.500,Leukorrhea
C14.240.400.701,Levocardia
C14.280.400.701,Levocardia
C16.131.240.400.701,Levocardia
C16.131.810.700,Levocardia
C04.557.475.750.847.249,Leydig Cell Tumor
C04.588.322.762.500.249,Leydig Cell Tumor
C04.588.945.440.915.500.249,Leydig Cell Tumor
C12.100.500.260.937.500.249,Leydig Cell Tumor
C12.200.294.260.937.500.249,Leydig Cell Tumor
C12.200.758.409.937.500.249,Leydig Cell Tumor
C12.900.619.937.500.249,Leydig Cell Tumor
C19.344.762.500.249,Leydig Cell Tumor
C19.391.829.782.500.249,Leydig Cell Tumor
C17.800.859.475.560,Lichen Planus
C04.557.470.200.025.095.410,Linitis Plastica
C07.465.409,Lip Diseases
C04.588.443.591.550,Lip Neoplasms
C07.465.409.640,Lip Neoplasms
C07.465.530.550,Lip Neoplasms
C16.320.565.398,"Lipid Metabolism, Inborn Errors"
C18.452.584.563,"Lipid Metabolism, Inborn Errors"
C18.452.648.398,"Lipid Metabolism, Inborn Errors"
C16.320.565.202.715.640,Mucopolysaccharidosis I
C16.320.565.595.600.640,Mucopolysaccharidosis I
C17.300.550.575.640,Mucopolysaccharidosis I
C18.452.648.202.715.640,Mucopolysaccharidosis I
C18.452.648.595.600.640,Mucopolysaccharidosis I
C17.800.849.391,Lipodystrophy
C18.452.584.625,Lipodystrophy
C18.452.880.391,Lipodystrophy
C01.150.252.410.040.137.631,Whipple Disease
C06.405.469.637.925,Whipple Disease
C18.452.603.925,Whipple Disease
C16.320.565.398.641,Lipidoses
C18.452.584.563.641,Lipidoses
C18.452.648.398.641,Lipidoses
C08.618.490.500,Lipoid Proteinosis of Urbach and Wiethe
C16.320.850.595,Lipoid Proteinosis of Urbach and Wiethe
C04.557.450.550.400,Lipoma
C17.800.463,Lipomatosis
C18.452.584.718,Lipomatosis
C17.800.463.500,"Lipomatosis, Multiple Symmetrical"
C18.452.584.718.750,"Lipomatosis, Multiple Symmetrical"
C16.320.565.398.465,Hyperlipoproteinemia Type I
C18.452.584.500.500.644.237,Hyperlipoproteinemia Type I
C18.452.584.563.465,Hyperlipoproteinemia Type I
C18.452.648.398.465,Hyperlipoproteinemia Type I
C04.557.450.550.420,Liposarcoma
C04.557.450.795.465,Liposarcoma
C01.150.252.410.514,Listeriosis
C01.830.025.020.455,Liver Abscess
C06.552.597,Liver Abscess
C01.610.518.600,"Liver Abscess, Amebic"
C01.610.752.049.703,"Liver Abscess, Amebic"
C01.830.025.020.455.460,"Liver Abscess, Amebic"
C06.552.597.517,"Liver Abscess, Amebic"
C06.552.664.642,"Liver Abscess, Amebic"
C06.552.630,Liver Cirrhosis
C23.550.355.412,Liver Cirrhosis
C06.552.630.380,"Liver Cirrhosis, Alcoholic"
C06.552.645.590,"Liver Cirrhosis, Alcoholic"
C23.550.355.412.380,"Liver Cirrhosis, Alcoholic"
C25.775.100.087.645.550,"Liver Cirrhosis, Alcoholic"
C06.130.120.135.250.250,"Liver Cirrhosis, Biliary"
C06.552.150.250,"Liver Cirrhosis, Biliary"
C06.552.630.400,"Liver Cirrhosis, Biliary"
C23.550.355.412.400,"Liver Cirrhosis, Biliary"
C06.552.630.467,"Liver Cirrhosis, Experimental"
C23.550.355.412.467,"Liver Cirrhosis, Experimental"
C06.552,Liver Diseases
C06.552.645,"Liver Diseases, Alcoholic"
C25.775.100.087.645,"Liver Diseases, Alcoholic"
C01.610.518,"Liver Diseases, Parasitic"
C06.552.664,"Liver Diseases, Parasitic"
C04.588.274.623,Liver Neoplasms
C06.301.623,Liver Neoplasms
C06.552.697,Liver Neoplasms
C04.588.274.623.460,"Liver Neoplasms, Experimental"
C04.619.540,"Liver Neoplasms, Experimental"
C06.301.623.460,"Liver Neoplasms, Experimental"
C06.552.697.580,"Liver Neoplasms, Experimental"
C01.610.335.508.700.750.361.518,Loiasis
C14.280.067.565,Long QT Syndrome
C14.280.123.625,Long QT Syndrome
C16.131.240.400.715,Long QT Syndrome
C23.550.073.547,Long QT Syndrome
C05.116.900.800.750,Lordosis
C01.925.782.350.250.650,Louping Ill
C22.836.435,Louping Ill
C14.280.067.780.560,Lown-Ganong-Levine Syndrome
C14.280.123.750.560,Lown-Ganong-Levine Syndrome
C01.800.130.500,Ludwig's Angina
C07.465.433,Ludwig's Angina
C01.925.256.743.494,Lumpy Skin Disease
C22.196.497,Lumpy Skin Disease
C01.748.407,Lung Abscess
C01.830.025.490,Lung Abscess
C08.381.450,Lung Abscess
C08.730.407,Lung Abscess
C08.381,Lung Diseases
C01.150.703.534,"Lung Diseases, Fungal"
C01.748.435,"Lung Diseases, Fungal"
C08.381.472,"Lung Diseases, Fungal"
C08.730.435,"Lung Diseases, Fungal"
C08.381.495,"Lung Diseases, Obstructive"
C01.610.582,"Lung Diseases, Parasitic"
C01.748.450,"Lung Diseases, Parasitic"
C08.381.517,"Lung Diseases, Parasitic"
C08.730.450,"Lung Diseases, Parasitic"
C04.588.894.797.520,Lung Neoplasms
C08.381.540,Lung Neoplasms
C08.785.520,Lung Neoplasms
C01.150.252.819.820.470,Lupus Vulgaris
C01.800.720.820.470,Lupus Vulgaris
C17.800.838.765.820.470,Lupus Vulgaris
C17.300.475,"Lupus Erythematosus, Cutaneous"
C17.800.480,"Lupus Erythematosus, Cutaneous"
C17.300.475.479,"Lupus Erythematosus, Discoid"
C17.800.480.479,"Lupus Erythematosus, Discoid"
C17.300.480,"Lupus Erythematosus, Systemic"
C20.111.590,"Lupus Erythematosus, Systemic"
C12.050.351.968.419.570.363.680,Lupus Nephritis
C12.200.777.419.570.363.680,Lupus Nephritis
C12.950.419.570.363.680,Lupus Nephritis
C17.300.480.680,Lupus Nephritis
C20.111.590.560,Lupus Nephritis
C14.240.400.560.375.518,Lutembacher Syndrome
C14.280.400.560.375.518,Lutembacher Syndrome
C16.131.240.400.560.375.518,Lutembacher Syndrome
C01.150.252.400.536,Lyme Disease
C01.150.252.400.794.352.250,Lyme Disease
C01.920.930.513,Lyme Disease
C15.604.315,Lymphadenitis
C15.604.360,Lymphangiectasis
C15.604.360.500,"Lymphangiectasis, Intestinal"
C15.604.451.500,"Lymphangiectasis, Intestinal"
C16.131.482.500,"Lymphangiectasis, Intestinal"
C04.557.375.450,Lymphangioma
C04.557.375.460,Lymphangiomyoma
C15.604.515.562,Lymphangiomyoma
C20.683.515.710,Lymphangiomyoma
C04.557.375.480,Lymphangiosarcoma
C04.557.450.795.480,Lymphangiosarcoma
C15.604.406,Lymphangitis
C15.604,Lymphatic Diseases
C04.697.650.560,Lymphatic Metastasis
C23.550.727.650.560,Lymphatic Metastasis
C15.604.496,Lymphedema
C04.182.430,Lymphocele
C15.604.510,Lymphocele
C01.207.245.500.500,Lymphocytic Choriomeningitis
C01.925.182.550.500,Lymphocytic Choriomeningitis
C01.925.782.082.580,Lymphocytic Choriomeningitis
C10.228.228.245.500.500,Lymphocytic Choriomeningitis
C10.586.625.400.500,Lymphocytic Choriomeningitis
C15.378.553.475.604,Lymphocytosis
C01.150.252.400.210.125.490,Lymphogranuloma Venereum
C01.150.252.734.301.490,Lymphogranuloma Venereum
C01.221.812.281.301.490,Lymphogranuloma Venereum
C01.778.281.301.490,Lymphogranuloma Venereum
C12.100.937.281.301.490,Lymphogranuloma Venereum
C04.557.386,Lymphoma
C15.604.515.569,Lymphoma
C20.683.515.761,Lymphoma
C04.557.386.480.350,"Lymphoma, Follicular"
C15.604.515.569.480.350,"Lymphoma, Follicular"
C20.683.515.761.480.350,"Lymphoma, Follicular"
C04.557.386.480,"Lymphoma, Non-Hodgkin"
C15.604.515.569.480,"Lymphoma, Non-Hodgkin"
C20.683.515.761.480,"Lymphoma, Non-Hodgkin"
C04.557.386.480.150.600,Lymphomatoid Granulomatosis
C04.834.567,Lymphomatoid Granulomatosis
C15.604.515.569.480.150.600,Lymphomatoid Granulomatosis
C20.683.515.761.480.150.600,Lymphomatoid Granulomatosis
C15.378.243.750.605,Lymphopenia
C15.378.553.546.605,Lymphopenia
C20.673.627,Lymphopenia
C15.604.515,Lymphoproliferative Disorders
C20.683.515,Lymphoproliferative Disorders
C04.557.595.925,Waldenstrom Macroglobulinemia
C14.907.454.960,Waldenstrom Macroglobulinemia
C15.378.147.780.925,Waldenstrom Macroglobulinemia
C15.378.463.515.960,Waldenstrom Macroglobulinemia
C15.604.515.925,Waldenstrom Macroglobulinemia
C20.683.780.925,Waldenstrom Macroglobulinemia
C07.465.910.460,Macroglossia
C07.465.525.480,Macrostomia
C07.650.525.480,Macrostomia
C16.131.850.525.480,Macrostomia
C11.768.585.439,Macular Degeneration
