Symptom,Related terms
Gait Apraxia,"Parkinson Disease;Tomography, Emission-Computed, Single-Photon;Hip Joint;Image Interpretation, Computer-Assisted;Lower Extremity;Gait Disorders, Neurologic;Image Enhancement;Physical Therapy Modalities;Neurodegenerative Diseases;Eponyms;Famous Persons;Alzheimer Disease;Leukoencephalopathies;Virtual Reality;Frontal Lobe;Speech Production Measurement;Acceleration;Magnetic Resonance Imaging;Activities of Daily Living;Temporomandibular Joint;Personality;Wearable Electronic Devices;Arthritis, Rheumatoid;Aging;Hydrocephalus, Normal Pressure;Self-Help Devices;Mutation, Missense;Monitoring, Intraoperative;Alanine-tRNA Ligase;Femur;Gait;Mitochondrial Encephalomyopathies;Motor Cortex;Casts, Surgical;Gait Apraxia;Eyeglasses;Ultrasonography;Mobile Applications;Alternative Splicing;Terminology as Topic"
Gait Ataxia,"Cerebellar Ataxia;Mutism;Gait Analysis;Encephalitis;Alcoholism;Vitamin B 12;Talipes Cavus;Immunocompromised Host;Spinal Neoplasms;Vertebral Artery Dissection;Neurodegenerative Diseases;Spinal Diseases;Peripheral Nervous System Diseases;Vestibular Diseases;Gait Ataxia;Magnetic Resonance Imaging;Brain Injuries, Traumatic;Celiac Disease;Headache;Deep Brain Stimulation;Nitrous Oxide;Gait;Cognitive Dysfunction;Cerebellar Diseases;Gene Deletion;Charcot-Marie-Tooth Disease;Retinal Degeneration;Essential Tremor;Spinal Cord Diseases;Bilateral Vestibulopathy;Medulloblastoma;Hydrocephalus;Spinal Cord Compression;Eye Abnormalities;Cerebellar Neoplasms;Spinal Cord Neoplasms;Postural Balance;Dysautonomia, Familial;Atlanto-Axial Joint;Anemia;Spinocerebellar Ataxias;Purkinje Cells;Brain Diseases;Stroke"
Meningism,"Emergency Service, Hospital;Adenoidectomy;Tendinopathy;Middle Ear Ventilation;Tomography, X-Ray Computed;Poverty;Magnetic Resonance Imaging;Cerebrospinal Fluid Rhinorrhea;Leptospira;Neurosurgery;Arnold-Chiari Malformation;Primary Health Care;Ventriculoperitoneal Shunt;Real-Time Polymerase Chain Reaction;Clinical Decision-Making;Cerebral Veins;Diagnostic Techniques, Neurological;Meningism;Neisseria meningitidis;Posture;Craniotomy;Cerebral Angiography;Sphenoid Bone;Neisseria meningitidis, Serogroup W-135;Floods"
Neurobehavioral Manifestations,"Crime Victims;Empathy;Memory Disorders;Multiple Sclerosis;Metabolomics;Pregnancy Trimester, Second;Consciousness Disorders;Language Therapy;Illusions;Family;Polysomnography;Amniocentesis;Qualitative Research;Catatonia;Sleep Apnea, Obstructive;Transcutaneous Electric Nerve Stimulation;In Situ Hybridization, Fluorescence;Tremor;Gene Deletion;Receptor, Serotonin, 5-HT2A;Fasting;Transition to Adult Care;Dyslexia;Criminal Law;Hallucinations;Williams Syndrome;Dopamine;Diffusion Tensor Imaging;Fragile X Syndrome;Membrane Proteins;COVID-19;Decision Making;Chromosomal Proteins, Non-Histone;Neuropsychological Tests;Transcriptome;Bipolar Disorder;Aphasia, Primary Progressive;Visual Perception;Long-Term Care;Program Evaluation;Music Therapy;Sevoflurane;Prader-Willi Syndrome;Oxidative Stress;Remifentanil;Motor Skills;Deep Brain Stimulation;Sodium-Hydrogen Exchangers;Comparative Genomic Hybridization;Learning;Hyperphagia;Motor Skills Disorders;Visual Cortex;Memory, Short-Term;Awareness;Cordocentesis;Megalencephaly;Aggression;Quality of Life;Vagus Nerve Stimulation;Cross-Over Studies;Infant, Extremely Premature;Developmental Disabilities;Neutrophils;Randomized Controlled Trials as Topic;Lipopolysaccharides;Reading;Social Interaction;Testosterone;United States Food and Drug Administration;Serotonin;Mucopolysaccharidosis II;Employment;Cerebrovascular Disorders;Psychotic Disorders;Hypnotics and Sedatives;Virtual Reality;Voriconazole;Motion Perception;Social Support;Housing;Lethargy;Heart Defects, Congenital;Social Inclusion;Multimodal Imaging;Phonetics;Educational Status;Emergence Delirium;Positron-Emission Tomography;Alzheimer Disease;Mosaicism;Patient Satisfaction;Personal Autonomy;Magnetic Resonance Imaging;Intellectual Disability;Zebrafish;Social Learning;Mental Retardation, X-Linked;Rats, Wistar;Ataxia;Aphasia;Cell Cycle Proteins;Administration, Intranasal;Leadership;Down Syndrome;Occupational Therapy;Brain;Nitroprusside;Schizophrenia;Carbolines;Dexmedetomidine;Weather;Anesthetics, Inhalation;Dose-Response Relationship, Drug"
Anhedonia,"Putamen;Mood Disorders;Tomography, Emission-Computed, Single-Photon;Reserpine;Obesity;Hindlimb Suspension;Sucrose;Dopamine;Venlafaxine Hydrochloride;Depression;Anxiety;Social Defeat;Melatonin;Ketamine;Transcranial Magnetic Stimulation;Auditory Perception;Stress, Psychological;Behavior Therapy;Impulsive Behavior;Resilience, Psychological;Gray Matter;Psychotic Disorders;Pleasure;Bipolar Disorder;Corticosterone;Conditioning, Psychological;Motivation;Receptor, Metabotropic Glutamate 5;Hippocampus;Antidepressive Agents;Biogenic Monoamines;Magnetic Resonance Imaging;Ventral Striatum;Brain-Derived Neurotrophic Factor;Social Behavior;Adverse Childhood Experiences;Water Deprivation;Prefrontal Cortex;Amygdala;Obsessive-Compulsive Disorder;Air Pollution;Suicidal Ideation;Disease Models, Animal;Dopamine Plasma Membrane Transport Proteins;Parkinsonian Disorders;Sleep, Slow-Wave;Reward;Diet, High-Fat;Adiposity;Music;Hypothalamic Area, Lateral;Brain;Neoplasms;Quality of Life;Peripartum Period;Vagus Nerve Stimulation;Cross-Over Studies;Behavior, Animal;Schizophrenia;Suicide;Mental Disorders;Connectome;Anhedonia;Air Pollutants;Transcranial Direct Current Stimulation;Depressive Disorder, Major;Electric Stimulation Therapy;Sleep Deprivation"
Catatonia,"Parkinson Disease;Cysts;Benzodiazepines;Takotsubo Cardiomyopathy;Psychiatry;Chromosome Disorders;Ketamine;COVID-19;Anesthesia;Phenylketonurias;Autistic Disorder;Thyroiditis, Autoimmune;Psychotic Disorders;Clozapine;Movement Disorders;Hashimoto Disease;Positron-Emission Tomography;Venous Thrombosis;Methamphetamine;Stupor;Bipolar Disorder;Leukoencephalopathies;Fluorodeoxyglucose F18;Pneumonia;Depressive Disorder;Anti-Anxiety Agents;Electroencephalography;Intellectual Disability;Subacute Sclerosing Panencephalitis;Delirium;Anti-N-Methyl-D-Aspartate Receptor Encephalitis;Respiratory Insufficiency;Catatonia;Ovarian Neoplasms;Turner Syndrome;Hyperphagia;Autism Spectrum Disorder;Neurodevelopmental Disorders;Chorea;Brain;Antipsychotic Agents;Dementia;Neuroleptic Malignant Syndrome;Schizophrenia;Neurosyphilis;Hyperthyroidism;Haloperidol;HIV Infections;Electroconvulsive Therapy;Depressive Disorder, Major;Brain Diseases"
Communication Disorders,"Crime Victims;Memory Disorders;Comprehension;Focus Groups;Language Therapy;Postoperative Complications;Systematic Reviews as Topic;Glaucoma;Dyscalculia;Qualitative Research;Autism Spectrum Disorder;Speech;Research Design;Anti-Bacterial Agents;Specific Learning Disorder;Comorbidity;Language Development Disorders;Microcephaly;Time Perception;Dyslexia;Epilepsy;Network Meta-Analysis;Maternal Health Services;Facial Muscles;Diffusion Tensor Imaging;Transcranial Magnetic Stimulation;Bullying;Neuropsychological Tests;Aphasia, Primary Progressive;Child Abuse;Frontotemporal Dementia;Visual Perception;Motor Skills;Feasibility Studies;Singing;Memory, Short-Term;Awareness;Learning Disabilities;Quality of Life;Electromyography;Cross-Over Studies;Speech-Language Pathology;Randomized Controlled Trials as Topic;Reading;Stereotyping;Social Interaction;Nervous System Malformations;Retinal Ganglion Cells;Stroke;Stuttering;Speech Acoustics;Parents;Myopia;Apraxias;Memory, Episodic;Language Tests;Medulloblastoma;Cerebellar Neoplasms;Speech Sound Disorder;Language Disorders;Transcranial Direct Current Stimulation;Attention Deficit Disorder with Hyperactivity;Handwriting;Agraphia;Intelligence;Mutism;Neuroglia;Communication;Multimodal Imaging;Phonetics;Auditory Perception;Self Report;Meta-Analysis as Topic;Positron-Emission Tomography;Alzheimer Disease;Magnetic Resonance Imaging;Electroencephalography;Intellectual Disability;Perception;Social Learning;Dwarfism;Genome-Wide Association Study;Aphasia;Cooperative Behavior;Peer Group;Occupational Therapy;Prenatal Exposure Delayed Effects;Stroke Rehabilitation;Carbolines;Dysarthria;Neuronal Plasticity;Executive Function;Yoga"
Language Disorders,"Toluene;Crime Victims;Anxiety;Comprehension;Focus Groups;Language Therapy;Postoperative Complications;Systematic Reviews as Topic;tau Proteins;Glaucoma;Language;Autism Spectrum Disorder;Speech;Research Design;Anti-Bacterial Agents;Language Development Disorders;Xylenes;Microcephaly;Dyslexia;Epilepsy;Network Meta-Analysis;Facial Muscles;White Matter;Diffusion Tensor Imaging;Multilingualism;Cost of Illness;Screen Time;Transcranial Magnetic Stimulation;Bullying;Neuropsychological Tests;Aphasia, Primary Progressive;Frontotemporal Dementia;Visual Perception;Benzene Derivatives;Motor Skills;Singing;Memory, Short-Term;Awareness;Quality of Life;Electromyography;Cross-Over Studies;Head;Randomized Controlled Trials as Topic;Attentional Blink;Reading;Nervous System Malformations;Stereotyping;Social Interaction;Retinal Ganglion Cells;Nervous System Physiological Phenomena;Stroke;Stuttering;Speech Acoustics;Speech Disorders;Myopia;Apraxias;Language Tests;Medulloblastoma;Cerebellar Neoplasms;Video Games;Language Disorders;Transcranial Direct Current Stimulation;Handwriting;Agraphia;Intelligence;Mutism;Neuroglia;Communication;Depression;Generalization, Psychological;Multimodal Imaging;Phonetics;Anomia;Self Report;Communication Disorders;Meta-Analysis as Topic;Positron-Emission Tomography;Alzheimer Disease;Magnetic Resonance Imaging;Electroencephalography;Intellectual Disability;Social Learning;Dwarfism;Genome-Wide Association Study;Confusion;Benzene;Aphasia;Peer Group;Occupational Therapy;Brain;Prenatal Exposure Delayed Effects;Stroke Rehabilitation;Carbolines;Dysarthria;Speech Perception;Biomarkers;Neuronal Plasticity;Executive Function;Yoga"
Agraphia,"Parkinson Disease;Supranuclear Palsy, Progressive;Acidosis, Lactic;Hyperbaric Oxygenation;Vascular Diseases;COVID-19;Arteriovenous Malformations;Antineoplastic Agents;Comprehension;Carbon Monoxide Poisoning;Cerebrovascular Circulation;Alzheimer Disease;Antibodies, Bispecific;Neuropsychological Tests;Leukoencephalopathies;Aphasia, Primary Progressive;Eye-Tracking Technology;MELAS Syndrome;Frontotemporal Dementia;Dyslexia;Cognition Disorders;Dyscalculia;Amyotrophic Lateral Sclerosis;Self-Help Devices;Deep Brain Stimulation;Cognitive Dysfunction;Primary Progressive Nonfluent Aphasia;Brain Ischemia;Aphasia;Apraxias;Memory, Short-Term;Language Tests;Learning Disabilities;Ischemic Stroke;Cerebral Revascularization;Physicians;Stroke Rehabilitation;Writing;Video Games;Deep Learning;Language Disorders;Transcranial Direct Current Stimulation;Attention Deficit Disorder with Hyperactivity;Handwriting;Agraphia;Reading;Alexia, Pure;Motor Activity;Moyamoya Disease;Brain Diseases;Stroke"
Anomia,"Parkinson Disease;Cues;Multiple Sclerosis;Multilingualism;White Matter;Generalization, Psychological;COVID-19;Anomia;Color Perception;Neurodegenerative Diseases;Migraine with Aura;Aphasia, Conduction;Venous Thrombosis;Cerebral Small Vessel Diseases;Bipolar Disorder;Aphasia, Primary Progressive;Frontotemporal Dementia;tau Proteins;Intracranial Aneurysm;Brain Mapping;Intracranial Thrombosis;Self-Management;Dyscalculia;Semantics;Neurosurgery;Brain Neoplasms;Aphasia;Names;Language Tests;Ursidae;Stroke Rehabilitation;Epilepsy, Temporal Lobe;Corpus Callosum;Sinus Thrombosis, Intracranial;Transcranial Direct Current Stimulation;Electroconvulsive Therapy;Reaction Time;Color Vision;Glioma;Stroke;Apraxia, Ideomotor"
Dyslexia,"Toluene;Neuroglia;Crime Victims;Stroke;Insecticides;Phthalic Acids;Environmental Exposure;COVID-19;Phonetics;Bullying;Self Report;Comprehension;Ichthyosis;Neurofibromatosis 1;Gray Matter;Executive Function;Reading;Blood Platelet Disorders;Benzene Derivatives;Visual Perception;Magnetic Resonance Imaging;Glaucoma;Adverse Childhood Experiences;Pyrethrins;Motor Skills;Child, Gifted;Genome-Wide Association Study;Language Development;Myopia;Benzene;Myopathies, Structural, Congenital;Memory, Short-Term;Awareness;Migraine Disorders;ORAI1 Protein;Spleen;Peer Group;Occupational Therapy;Neurodevelopmental Disorders;Autism Spectrum Disorder;Theory of Mind;Cerebral Cortex;Music;Otitis Media;Learning Disabilities;Cross-Over Studies;Language Development Disorders;Xylenes;Chlorpyrifos;Video Games;Emotional Regulation;Speech Perception;Attention Deficit Disorder with Hyperactivity;Handwriting;Attentional Blink;Alexia, Pure;Dyslexia;Stereotyping;Retinal Ganglion Cells;Nervous System Physiological Phenomena;Intelligence;Parenting"
"Dyslexia, Acquired","Scrub Typhus;Visual Acuity;Dyslexia, Acquired;White Matter;Multilingualism;Siderosis;Neurosurgical Procedures;COVID-19;Child Language;Facial Recognition;Hearing Aids;Pattern Recognition, Visual;Posterior Leukoencephalopathy Syndrome;Task Performance and Analysis;Vocabulary;Language Therapy;Temporal Lobe;Child Development;Visual Perception;Dyslexia;Cerebral Hemorrhage;Speech Therapy;Semantics;Prosopagnosia;Patient Reported Outcome Measures;Outcome Assessment, Health Care;Brain Ischemia;Outcome and Process Assessment, Health Care;Aphasia;Learning;Prosthesis Fitting;Speech;Nerve Net;Functional Laterality;Cerebral Cortex;Ischemic Stroke;Verbal Learning;Perceptual Disorders;Corpus Callosum;Agnosia;Transcranial Direct Current Stimulation;Form Perception;Psycholinguistics;Alexia, Pure;Reading;Agraphia;Subarachnoid Hemorrhage;Stroke"
"Alexia, Pure","Scrub Typhus;Visual Acuity;White Matter;Siderosis;Attention;COVID-19;Models, Psychological;Facial Recognition;Hearing Aids;Pattern Recognition, Visual;Posterior Leukoencephalopathy Syndrome;Comprehension;Vocabulary;Neurology;Temporal Lobe;Visual Perception;Visual Fields;Dyslexia;Language;Prosopagnosia;Diagnostic Errors;Patient Reported Outcome Measures;Brain Ischemia;Eye Movements;Discrimination, Psychological;Prosthesis Fitting;Speech;Nerve Net;Functional Laterality;Cerebral Cortex;Ischemic Stroke;Corpus Callosum;Agnosia;Transcranial Direct Current Stimulation;Form Perception;Agraphia;Reading;Alexia, Pure;Subarachnoid Hemorrhage;Stroke"
Language Development Disorders,"Parkinson Disease;Stuttering;Crime Victims;Multilingualism;Screen Time;Mass Screening;Bullying;Child Language;Nerve Tissue Proteins;Self Report;Autistic Disorder;Communication Disorders;Comprehension;Vocabulary;Focus Groups;Alzheimer Disease;Preventive Health Services;Speech Disorders;Reading;Specific Language Disorder;Basal Ganglia;Deafness;Attitude of Health Personnel;Guanidinoacetate N-Methyltransferase;Intellectual Disability;Electroencephalography;Language;Cochlear Implants;Creatine;Negotiating;Dwarfism;Motor Skills;DNA Methylation;Aphasia;Autism Spectrum Disorder;Apraxias;Speech;Peer Group;Neurodevelopmental Disorders;Language Tests;Amino Acid Metabolism, Inborn Errors;Verbal Learning;Mental Recall;Prenatal Exposure Delayed Effects;Narration;Infant, Extremely Premature;Language Development Disorders;Referral and Consultation;Speech Sound Disorder;Gestures;Nervous System Malformations;Amidinotransferases;Writing;Speech-Language Pathology;Microcephaly;Speech Perception;Cerebral Palsy;Plasma Membrane Neurotransmitter Transport Proteins;Law Enforcement;Dyslexia;Magnetoencephalography;Stroke"
Specific Language Disorder,"Parkinson Disease;Multilingualism;Communication;Child Language;Chromosome Deletion;Alpha Rhythm;Mathematics;Vocabulary;Specific Language Disorder;Deafness;Dyslexia;Language;Semantics;Linguistics;Autism Spectrum Disorder;Memory, Short-Term;Problem Solving;Speech;Translocation, Genetic;Theory of Mind;Language Tests;Learning Disabilities;Verbal Learning;Education, Special;Narration;Language Development Disorders;Speech Sound Disorder;Asian People;Gestures;Speech-Language Pathology;Language Disorders;Writing;Speech Perception;Self-Injurious Behavior;Reading;Genetic Predisposition to Disease"
Speech Disorders,"Cerebellar Ataxia;Mutism;Stuttering;Facial Muscles;Yoga;White Matter;Diffusion Tensor Imaging;Communication;Multilingualism;Anxiety;Depression;Cost of Illness;Artificial Intelligence;Cleft Palate;Transcranial Magnetic Stimulation;Multimodal Imaging;Generalization, Psychological;Speech Acoustics;Anomia;Autistic Disorder;Communication Disorders;Meta-Analysis as Topic;Polyradiculoneuropathy, Chronic Inflammatory Demyelinating;COVID-19;Focus Groups;Positron-Emission Tomography;Language Therapy;Alzheimer Disease;Neuropsychological Tests;Cleft Lip;Speech Disorders;Aphasia, Primary Progressive;Huntington Disease;Postoperative Complications;Systematic Reviews as Topic;Frontotemporal Dementia;Magnetic Resonance Imaging;Electroencephalography;tau Proteins;Intellectual Disability;Speech Production Measurement;Language;Social Learning;Confusion;Singing;Aphasia;Apraxias;Malformations of Cortical Development;Polymicrogyria;Speech;Language Tests;Brain;Research Design;Quality of Life;Electromyography;Stroke Rehabilitation;Medulloblastoma;Carbolines;Language Development Disorders;Adaptation, Psychological;Cerebellar Neoplasms;Dysarthria;Language Disorders;Transcranial Direct Current Stimulation;Speech Perception;Avatar;Head;Randomized Controlled Trials as Topic;Biomarkers;Voice;Reaction Time;Abnormalities, Multiple;Social Interaction;Neuronal Plasticity;Network Meta-Analysis;Stroke"
Aphasia,"Stuttering;Supranuclear Palsy, Progressive;Yoga;White Matter;Diffusion Tensor Imaging;Multilingualism;Auditory Perceptual Disorders;Artificial Intelligence;Transcranial Magnetic Stimulation;Multimodal Imaging;Generalization, Psychological;Anomia;Dysphonia;Cerebrovascular Disorders;Meta-Analysis as Topic;Focus Groups;Positron-Emission Tomography;Language Therapy;Alzheimer Disease;Neuropsychological Tests;Aphasia, Primary Progressive;Deafness;Systematic Reviews as Topic;Frontotemporal Dementia;Magnetic Resonance Imaging;Electroencephalography;tau Proteins;Cerebellum;Brain Mapping;Language;Social Learning;Music Therapy;Auditory Cortex;Semantics;Cognitive Dysfunction;Confusion;Emergency Medical Services;Singing;Primary Progressive Nonfluent Aphasia;Aphasia;Judgment;Apraxias;Speech;Music;Language Tests;Brain;Sequestosome-1 Protein;Research Design;Quality of Life;Stroke Rehabilitation;Carbolines;Language Development Disorders;Transcranial Direct Current Stimulation;Avatar;Head;Randomized Controlled Trials as Topic;Biomarkers;Voice;Reaction Time;Social Interaction;Neuronal Plasticity;Network Meta-Analysis;Stroke"
"Aphasia, Broca","Frontal Lobe;Music Therapy;Transcranial Magnetic Stimulation;Primary Progressive Nonfluent Aphasia;Language Disorders;Linguistics;Aphasia, Broca;Apraxias;Corticobasal Degeneration;Dyslexia;Transcranial Direct Current Stimulation;Agraphia;Communication;Ischemic Attack, Transient;Speech Therapy;Aphonia;Quality of Life;Mouth;Speech Perception;Semantics;Arachnoid Cysts;Neurology;Language Therapy;Connectome;Cerebral Veins;Brain Neoplasms;Cerebrovascular Disorders;Natural Language Processing;Seizures;Aphasia, Wernicke;Memory, Short-Term;Moyamoya Disease;Aphasia;Acupuncture Therapy;Aphasia, Primary Progressive;Comprehension;Speech;Physicians;Imitative Behavior;Geriatrics;Nephritis, Hereditary;Language;Stroke Rehabilitation;Alzheimer Disease;Magnetic Resonance Imaging;Stroke;Broca Area"
"Aphasia, Conduction","Neural Networks, Computer;Linguistics;Aphasia, Broca;Glioma;Diffusion Magnetic Resonance Imaging;Communication;Communication Aids for Disabled;Aphasia, Conduction;Cues;Speech Perception;Semantics;Handwriting;Auditory Perception;Outcome and Process Assessment, Health Care;Phonetics;Language Development;Concept Formation;Aphasia;Speech;Comprehension;Narration;Acoustics;Self Concept;Differential Threshold;Visual Perception;Brain Mapping;Language;Gestures;Explosions;Time Perception;Stroke;Magnetic Resonance Imaging"
"Aphasia, Primary Progressive","Brain;TDP-43 Proteinopathies;Depressive Disorder, Major;COVID-19;Primary Progressive Nonfluent Aphasia;Multimodal Imaging;Social Learning;Anomia;Apraxias;Corticobasal Degeneration;Pick Disease of the Brain;Transcranial Direct Current Stimulation;Agraphia;Quality of Life;Multilingualism;Semantics;Randomized Controlled Trials as Topic;Academies and Institutes;Neurodegenerative Diseases;Supranuclear Palsy, Progressive;Social Interaction;Language Therapy;Research Design;Frontotemporal Dementia;Biomarkers;Positron-Emission Tomography;Brain Injuries, Traumatic;Neuropsychological Tests;Fluorodeoxyglucose F18;Memory, Short-Term;White Matter;Tauopathies;Aphasia;tau Proteins;Aphasia, Primary Progressive;Frontotemporal Lobar Degeneration;Carbolines;Sequestosome-1 Protein;Alzheimer Disease;Amyotrophic Lateral Sclerosis;Language Tests;Stroke;Diffusion Tensor Imaging"
Primary Progressive Nonfluent Aphasia,"TDP-43 Proteinopathies;Primary Progressive Nonfluent Aphasia;Apraxias;Corticobasal Degeneration;Pick Disease of the Brain;Adaptation, Psychological;Metacognition;Behavior;Agraphia;Creativity;Motor Cortex;Quality of Life;Digital Technology;Family Health;Neurodegenerative Diseases;Laughter;Supranuclear Palsy, Progressive;Mathematical Concepts;Cerebral Cortex;Frontotemporal Dementia;Clinical Decision-Making;Positron-Emission Tomography;Ethylene Glycols;Polymorphism, Single Nucleotide;White Matter;Tauopathies;Gray Matter;Cognitive Dysfunction;Aphasia;Aphasia, Primary Progressive;Self Concept;Frontotemporal Lobar Degeneration;Interpersonal Relations;Phenotype;Gene Regulatory Networks;Sequestosome-1 Protein;Alzheimer Disease;Language Tests;Aniline Compounds;Language Development Disorders"
"Aphasia, Wernicke","Dyslexia;Aphasia, Broca;Linguistics;Transcranial Direct Current Stimulation;Agraphia;Astrocytoma;Cues;Reading;Semantics;Speech Perception;Activities of Daily Living;Verbal Learning;Ischemic Stroke;Blood Culture;Patient Compliance;Brain Injuries;Phonetics;Thalamus;Echocardiography;Connectome;Agnosia;Brain Neoplasms;Mental Recall;Aphasia, Wernicke;Brain Ischemia;Aphasia;Executive Function;Speech;Comprehension;Narration;Models, Psychological;Physicians;Central Nervous System Vascular Malformations;Personal Autonomy;Geriatrics;Cluster Analysis;Vocabulary;Brain Mapping;Language;Gestures;Stroke;Language Development Disorders;Feedback, Sensory"
Articulation Disorders,"Phosphotransferases (Alcohol Group Acceptor);Intellectual Disability;COVID-19;Auditory Cortex;Specific Language Disorder;Primary Progressive Nonfluent Aphasia;Language Disorders;Dyslexia;Levodopa;Apraxias;Dystonia;Veterans;Brain Diseases;Astrocytoma;Polyradiculoneuropathy, Chronic Inflammatory Demyelinating;Smartphone;Speech Production Measurement;Speech Intelligibility;Speech Therapy;Feasibility Studies;Deglutition Disorders;Colitis, Ulcerative;Cerebellar Ataxia;Genetic Diseases, X-Linked;Parkinsonian Disorders;Spinocerebellar Degenerations;Speech Perception;Cleft Lip;Verbal Learning;Facial Paralysis;Ischemic Stroke;Communication Disorders;Speech Sound Disorder;Ataxia;Neurodegenerative Diseases;Stroke;Cleft Palate;Deafness;Machado-Joseph Disease;Malformations of Cortical Development;Supranuclear Palsy, Progressive;Foramen Ovale, Patent;Phonetics;Language Therapy;Delphi Technique;Voice;Basal Ganglia Diseases;Brain Neoplasms;Parkinson Disease;Polymicrogyria;Dysarthria;Speech-Language Pathology;Embolic Stroke;Abnormalities, Multiple;Stroke, Lacunar;Aphasia;Speech;Aphasia, Primary Progressive;Muscular Atrophy, Spinal;Pantothenate Kinase-Associated Neurodegeneration;Speech Acoustics;Dysphonia;Dystonic Disorders;Vocabulary;Communication Aids for Disabled;Hearing Loss, Sensorineural;Stroke Rehabilitation;Amyotrophic Lateral Sclerosis;Stuttering;Huntington Disease;Language Development Disorders;Thrombosis;Consensus"
Dysarthria,"Phosphotransferases (Alcohol Group Acceptor);Intellectual Disability;Auditory Cortex;Brain Diseases;Primary Progressive Nonfluent Aphasia;Language Disorders;Levodopa;Apraxias;Dystonia;Veterans;Astrocytoma;Polyradiculoneuropathy, Chronic Inflammatory Demyelinating;Smartphone;Speech Production Measurement;Speech Therapy;Huntington Disease;Feasibility Studies;Deglutition Disorders;Colitis, Ulcerative;Cerebellar Ataxia;Genetic Diseases, X-Linked;Parkinsonian Disorders;Spinocerebellar Degenerations;Psychotic Disorders;Speech Perception;Facial Paralysis;Multiple Sclerosis;Ischemic Stroke;Communication Disorders;Ataxia;Neurodegenerative Diseases;Deafness;Machado-Joseph Disease;Malformations of Cortical Development;Supranuclear Palsy, Progressive;Foramen Ovale, Patent;Emotions;Language Therapy;Delphi Technique;Voice;Basal Ganglia Diseases;Cerebral Veins;Brain Neoplasms;Parkinson Disease;Polymicrogyria;Dysarthria;Speech-Language Pathology;Embolic Stroke;Abnormalities, Multiple;Stroke, Lacunar;Aphasia;Speech;Aphasia, Primary Progressive;Muscular Atrophy, Spinal;Pantothenate Kinase-Associated Neurodegeneration;Speech Acoustics;Dysphonia;Dystonic Disorders;Hepatolenticular Degeneration;Communication Aids for Disabled;Hearing Loss, Sensorineural;Stroke Rehabilitation;Amyotrophic Lateral Sclerosis;Stuttering;Speech Intelligibility;Stroke;Thrombosis;Consensus"
Echolalia,"Encephalitis;Reinforcement Schedule;Gyrus Cinguli;Transcranial Magnetic Stimulation;Peer Group;Brain Diseases;Primary Progressive Nonfluent Aphasia;Language Disorders;Autistic Disorder;Linguistics;Videotape Recording;Nervous System Diseases;Social Behavior;Echolalia;Communication;Psychotic Disorders;Dementia;Thyroiditis, Autoimmune;Sign Language;Verbal Behavior;Reading;Attention;Neurology;Laughter;Video Games;Mirror Neurons;Problem Behavior;Attitude of Health Personnel;Clinical Competence;Phonetics;Voice;Fictional Works as Topic;Hashimoto Disease;Parents;Language Development;User-Computer Interface;Behavior Therapy;Speech-Language Pathology;Asperger Syndrome;Aphasia;Surveys and Questionnaires;Aphasia, Primary Progressive;Corpus Callosum;Literature, Modern;Stereotyped Behavior;Medicine in Literature;Drug-Related Side Effects and Adverse Reactions;Theory of Mind;Hypertension;Interpersonal Relations;Language;Play and Playthings;Alzheimer Disease;Autism Spectrum Disorder;Insanity Defense"
Mutism,"COVID-19;Mutism;Diffusion Tensor Imaging;Adaptation, Psychological;Glioma;Irritable Mood;Multilingualism;Motor Cortex;Cerebellar Ataxia;Antipsychotic Agents;Fluoxetine;Emigrants and Immigrants;Phobic Disorders;Cerebellar Diseases;Anti-N-Methyl-D-Aspartate Receptor Encephalitis;Phobia, Social;Postoperative Complications;Child Behavior Disorders;Meningeal Neoplasms;Brain Neoplasms;Prisoners;Neoplasms, Germ Cell and Embryonal;Receptors, Amino Acid;Medulloblastoma;Tics;Emotional Regulation;Cerebellar Vermis;Cerebellar Neoplasms;Meningioma;Neuroleptic Malignant Syndrome;Central Nervous System Neoplasms;Hydrocephalus;Neurodevelopmental Disorders;Autism Spectrum Disorder;Stuttering;Language Development Disorders;Recovery of Function;Infratentorial Neoplasms;Mental Disorders"
Stuttering,"Auditory Cortex;beta-Defensins;Acceptance and Commitment Therapy;Language Disorders;Autistic Disorder;Apraxias;Sleep-Wake Transition Disorders;Anxiety;Electromyography;Communication;Public Opinion;Psychological Distress;Quality of Life;Inhibition, Psychological;Facial Muscles;Cognition;Communication Disorders;Cost of Illness;Speech Sound Disorder;Preventive Health Services;Mass Screening;Sleep Wake Disorders;Deep Learning;Percutaneous Coronary Intervention;White Matter;Speech-Language Pathology;Eye Movements;Aphasia;Speech;Disorders of Excessive Somnolence;Depression;Curriculum;Sleep Initiation and Maintenance Disorders;Dysphonia;Musculoskeletal Pain;Social Media;Electroencephalography;Stuttering;Ketamine;Magnetic Resonance Imaging;Language Development Disorders"
