Symptom,Disease
lymphoblastoma,
lymphopenia,type 1 diabetes mellitus;nephrotic syndrome type 8;thyroiditis;ptosis;iodine hypothyroidism;pulmonary tuberculosis;Jacobsen Syndrome;cardiovascular system disease;hyperthyroidism;meningioma;astroblastoma;pneumonia;aspergillosis;pharynx squamous cell carcinoma;cornea squamous cell carcinoma;hepatoblastoma;supraglottis squamous cell carcinoma;nephrotic syndrome type 4;post-thrombotic syndrome;pulmonary aspergilloma;Muenke Syndrome;nephrotic syndrome type 13;macroglobulinemia;nephrotic syndrome type 11;Cowden syndrome 4;nephrotic syndrome type 15;nephrotic syndrome type 22;agammaglobulinemia 7;thrombocytopenia;Cowden syndrome 7;adult respiratory distress syndrome;encephalitis;trachea squamous cell carcinoma;anal neuroendocrine tumor;Donohue syndrome;vascular disease;endometrial squamous cell carcinoma;laryngeal squamous cell carcinoma;agammaglobulinemia 5;multiple sclerosis;newborn respiratory distress syndrome;senile angioma;Laron syndrome;pulmonary sarcoidosis;agammaglobulinemia 9;hypercalcemia;cerebrovascular disease;leukopenia;nephrotic syndrome type 14;breast squamous cell carcinoma;myoblastoma;Cowden syndrome 5;Cytomegalovirus retinitis;nephrotic syndrome type 23;esophagus squamous cell papilloma;acquired thrombocytopenia;hypokalemia;ameloblastoma;Cowden syndrome;nephrotic syndrome type 17;familial nephrotic syndrome;Watson syndrome;type 2 diabetes mellitus;Netherton syndrome;Epstein-Barr virus hepatitis;esophageal basaloid squamous cell carcinoma;nephrotic syndrome type 19;Noonan syndrome;Epstein-Barr virus infectious disease;Nelson syndrome;COVID-19;Poland syndrome;basaloid squamous cell carcinoma;severe combined immunodeficiency;chondroblastoma;oral squamous cell carcinoma;agammaglobulinemia 3;nephrotic syndrome type 12;prostate squamous cell carcinoma;agammaglobulinemia 8B;nephrotic syndrome type 1;primary thrombocytopenia;glioblastoma;nephrotic syndrome type 20;nephrotic syndrome type 16;agammaglobulinemia 4;thrombocytosis;anal squamous cell carcinoma;tonsil squamous cell carcinoma;medulloblastoma;laryngeal benign neoplasm;multiple myeloma;nephrotic syndrome type 21;Down syndrome;diabetes mellitus;esophageal leukoplakia;esophageal adenosquamous carcinoma;agammaglobulinemia;cervical squamous cell carcinoma;nephrotic syndrome type 18;retinoblastoma;agammaglobulinemia 8A;Cowden syndrome 6;pineoblastoma;ganglioneuroblastoma;Dubowitz syndrome;nephrotic syndrome;X-linked agammaglobulinemia;neuroblastoma;meningoencephalitis;agammaglobulinemia 6;X-linked severe combined immunodeficiency;human cytomegalovirus infection;skin meningioma;nephroblastoma;anemia;nephrotic syndrome type 7;osteoblastoma;pancytopenia;Danon disease;Conn's syndrome;squamous cell carcinoma;agammaglobulinemia 1;agammaglobulinemia 2;Cohen syndrome;hypothyroidism;blastoma;nephrotic syndrome type 9;hepatic vascular disease;neuroendocrine tumor;esophagus squamous cell carcinoma;pancreatic squamous cell carcinoma;benign ileal neoplasm;dysgammaglobulinemia;Wiskott-Aldrich syndrome;nephrotic syndrome type 2;agammaglobulinemia 10;hemangioblastoma;Cogan syndrome;nephrotic syndrome type 10;cryptococcosis;lymphopenia;lipoma;neutropenia;appendiceal neoplasm;nephrotic syndrome type 6;nephrotic syndrome type 3;hyperparathyroidism;hypoglycemia;nephrotic syndrome type 5;Kunjin encephalitis;combined immunodeficiency;neuroaspergillosis;hypoparathyroidism;lung meningioma
massive hepatic necrosis,renal carcinoma;protein-energy malnutrition;congenital disorder of glycosylation Ia;congenital disorder of glycosylation type IIg;lung carcinoma;urethra adenocarcinoma;congenital disorder of glycosylation It;lung adenocarcinoma;adenosarcoma;congenital disorder of glycosylation If;anal carcinoma;congenital disorder of glycosylation Ip;congenital disorder of glycosylation type IIc;congenital disorder of glycosylation type IIj;congenital disorder of glycosylation type IIl;congenital disorder of glycosylation Ij;congenital disorder of glycosylation Iaa;congenital disorder of glycosylation type IIa;congenital disorder of glycosylation Ih;adenocarcinoma;congenital disorder of glycosylation Ir;acute cholangitis;tubular adenocarcinoma;jejunal adenocarcinoma;congenital disorder of glycosylation Im;congenital disorder of glycosylation;glucose intolerance;congenital disorder of glycosylation type IIh;pericholangitis;adenocarcinoma in situ;eye carcinoma;congenital disorder of glycosylation type IId;vulva adenocarcinoma;bladder adenocarcinoma;colon adenocarcinoma;pharyngitis;congenital disorder of glycosylation type IIf;congenital disorder of glycosylation Ic;congenital disorder of glycosylation Ie;congenital disorder of glycosylation type IIq;Epstein-Barr virus hepatitis;congenital disorder of glycosylation type IIo;Epstein-Barr virus infectious disease;congenital disorder of glycosylation type IIp;COVID-19;herpes simplex;mucopolysaccharidosis;lactose intolerance;congenital disorder of glycosylation Ik;congenital disorder of glycosylation type I;rectum adenocarcinoma;thymus adenocarcinoma;bone carcinoma;comedo carcinoma;congenital disorder of glycosylation type IIk;parotitis;cholangitis;congenital disorder of glycosylation In;dermatitis;congenital disorder of glycosylation Ii;congenital disorder of glycosylation Ib;congenital disorder of glycosylation type II;skin carcinoma;eccrine adenocarcinoma;congenital disorder of glycosylation Iw;hepatitis A;hepatitis;congenital disorder of glycosylation type IIm;hepatitis B;congenital disorder of glycosylation Iq;penis carcinoma;anus adenocarcinoma;congenital disorder of glycosylation Icc;cecum adenocarcinoma;hepatitis E;gastric adenocarcinoma;congenital disorder of glycosylation type IIn;congenital disorder of glycosylation type IIe;congenital disorder of glycosylation Iu;teratocarcinoma;villous adenocarcinoma;congenital disorder of glycosylation Ig;congenital disorder of glycosylation Il;keratitis;laryngitis;breast adenocarcinoma;cystadenocarcinoma;hepatitis D;congenital disorder of glycosylation type IIb;congenital disorder of glycosylation type IIi;ovary adenocarcinoma;adrenal carcinoma;congenital disorder of glycosylation Iy;mucopolysaccharidosis I;ureter adenocarcinoma;hepatitis C;carcinoma;congenital disorder of glycosylation Ix;congenital disorder of glycosylation Id
meningoencephalitis,Phlebotomus fever;bone disease;myiasis;ureter tuberculosis;nail disease;retinitis;encephalomyelitis;hyperlysinemia;type 1 diabetes mellitus;gonadal disease;corneal disease;Reye syndrome;borna disease;Kunjin encephalitis;locked-in syndrome;encephalitis;ovarian disease;Lafora disease;Seckel syndrome;bladder tuberculosis;retinal disease;West Nile fever;Danon disease;angiostrongyliasis;Meckel syndrome;multiple sclerosis;autoimmune disease of the nervous system;amebiasis;Streptococcus pneumonia;hypercalcemia;COVID-19;Sweet syndrome;arthritis;cryptococcosis;orbital disease;West syndrome;diabetes mellitus;viral encephalitis;autoimmune disease of central nervous system;poliomyelitis;meningitis;retinal vasculitis;diabetes insipidus;autoimmune disease of peripheral nervous system;vitreous disease;iris disease;meningoencephalitis;Muenke Syndrome;urethritis;Rett syndrome;hyperglycemia;Behr syndrome;ocular tuberculosis;nephritis;spinal cord sarcoma;myelitis;cerebritis;central diabetes insipidus;blindness;pyelitis;tendinitis;type 2 diabetes mellitus;hypoglycemia;autoimmune disease of exocrine system;anemia
encephalitis,bone disease;subacute sclerosing panencephalitis;agammaglobulinemia 8B;schizophrenia 1;agammaglobulinemia 3;Caroli disease;schizophrenia 18;schizophrenia 13;ureter tuberculosis;agammaglobulinemia 1;encephalomyelitis;mucormycosis;schizophrenia 12;Fraser syndrome;narcolepsy;fragile X syndrome;schizophrenia;schizophrenia 3;agammaglobulinemia 6;Kunjin encephalitis;actinomycosis;encephalitis;schizophrenia 14;schizophrenia 15;schizophrenia 11;agammaglobulinemia 2;kidney disease;Crohn's disease;bladder tuberculosis;placental insufficiency;Alagille syndrome;autoimmune disease;West Nile fever;Danon disease;Carrion's disease;multiple sclerosis;schizophrenia 5;agammaglobulinemia 9;agammaglobulinemia 5;COVID-19;schizophrenia 8;schizophrenia 4;agammaglobulinemia 4;agammaglobulinemia 7;Frasier syndrome;otomycosis;viral encephalitis;schizophrenia 6;schizophrenia 16;dysgammaglobulinemia;X-linked agammaglobulinemia;schizophrenia 19;schizophrenia 7;meningoencephalitis;agammaglobulinemia 8A;schizophrenia 2;agammaglobulinemia;acute necrotizing encephalitis;ocular tuberculosis;nephritis;schizophrenia 9;blindness;agammaglobulinemia 10;schizophrenia 10;macroglobulinemia;prion disease;venous insufficiency
mild encephalitis,Alzheimer's disease 4;eye disease;type 1 diabetes mellitus;Alzheimer's disease;chondroblastoma;Alzheimer's disease 17;ganglioneuroblastoma;immune system disease;Alzheimer's disease 12;poliomyelitis;nephroblastoma;astroblastoma;diabetes insipidus;Alzheimer's disease 11;autoimmune disease of peripheral nervous system;limbic encephalitis;meningoencephalitis;Alzheimer's disease 18;hepatitis D;Alzheimer's disease 15;myasthenia gravis;hepatitis A;lipoma;liver disease;type 2 diabetes mellitus;acrodysostosis;thymoma;prion disease;venous insufficiency;Phlebotomus fever;Alzheimer's disease 16;glioblastoma;Alzheimer's disease 14;hepatitis E;encephalomyelitis;Alzheimer's disease 19;optic neuritis;Alzheimer's disease 1;Alzheimer's disease 10;autoimmune disease;Danon disease;Lyme disease;diabetes mellitus;Alzheimer's disease 5;hepatoblastoma;intracranial hypertension;nephritis;pineoblastoma;central diabetes insipidus;autoimmune disease of exocrine system;Miller Fisher syndrome;agranulocytosis;central nervous system sarcoma;mastocytosis;neuroblastoma;hyperlysinemia;Alzheimer's disease 9;status epilepticus;Alzheimer's disease 13;osteoblastoma;West Nile fever;nervous system disease;autoimmune disease of the nervous system;hepatitis;brain disease;medulloblastoma;Coronavirus infectious disease;rabies;pseudopapilledema;Alzheimer's disease 7;epilepsy;Alzheimer's disease 8;retinoblastoma;sarcomatosis;blastoma;syphilitic encephalitis;dacryocystitis;hepatitis C;myoblastoma;Alzheimer's disease 2;Kunjin encephalitis;encephalitis;Alzheimer's disease 3;Alzheimer's disease 6;essential hypertension;placental insufficiency;ameloblastoma;COVID-19;hypercalcemia;central nervous system lipoma;hepatitis B;Guillain-Barre syndrome;viral encephalitis;autoimmune disease of central nervous system;scabies;central nervous system disease;common cold;papilledema;hyperglycemia;intracranial hypotension;ophthalmoplegia;peripheral nervous system disease;sarcocystosis;hypoglycemia
skin lesion,
muscle cramp,neurodermatitis;glycogen storage disease VII;amyotrophic lateral sclerosis type 8;cataract 38;gynatresia;glycogen storage disease III;amyotrophic lateral sclerosis type 11;cataract 25;cataract 35;hyperparathyroidism;cystitis;restless legs syndrome;amyotrophic lateral sclerosis type 6;peripheral nervous system benign neoplasm;amyotrophic lateral sclerosis type 7;glycogen storage disease IX;peripheral nervous system neoplasm;liver disease;glycogen storage disease Ib;hyperthyroidism;bronchiolitis obliterans;amyotrophic lateral sclerosis type 26;hypothyroidism;amyotrophic lateral sclerosis type 16;cataract 41;Jacobsen Syndrome;Mahvash Disease;cataract 43;glycogen storage disease I;mastitis;diabetes mellitus;hypoglycemic coma;glycogen storage disease Ia;amyotrophic lateral sclerosis type 24;glycogen storage disease IXa;amyotrophic lateral sclerosis type 22;dermatomyositis;amyotrophic lateral sclerosis type 5;amyotrophic lateral sclerosis type 10;glycogen storage disease VIII;amyotrophic lateral sclerosis type 20;glycogen storage disease II;amyotrophic lateral sclerosis type 28;cataract 28;cataract 30;malignant hypertension;glycogen storage disease XV;cataract 24;amyotrophic lateral sclerosis;amyotrophic lateral sclerosis type 9;amyotrophic lateral sclerosis type 23;vascular disease;cataract 48;kidney disease;cataract;cataract 33;amenorrhea;amyotrophic lateral sclerosis type 1;glycogen storage disease V;hepatitis;malignant hyperthermia;amyotrophic lateral sclerosis type 19;acrodermatitis;renal hypertension;spinal stenosis;sporatic amyotrophic lateral sclerosis;vitamin B12 deficiency;dermatitis;glycogen storage disease VI;cataract 29;amyotrophic lateral sclerosis type 25;amyotrophic lateral sclerosis type 3;liver cirrhosis;premature ejaculation;cataract 36;Machado-Joseph disease;cataract 37;hypoparathyroidism;amyotrophic lateral sclerosis type 15;myositis;cataract 7;cataract 40;glycogen storage disease IXd;amyotrophic lateral sclerosis type 13;hypertension;glycogen storage disease IXc;glycogen storage disease Ic;cataract 42;keratitis;cataract 27;cataract 44;cataract 45;cardiovascular system disease;amyotrophic lateral sclerosis type 18;cataract 23;central nervous system disease;glycogen storage disease;glycogen storage disease IXb;amyotrophic lateral sclerosis type 12;polycythemia;Ollier disease;pyomyositis;hyperglycemia;hepatic vascular disease;amyotrophic lateral sclerosis type 21;glycogen storage disease IV;peripheral nervous system disease;cerebrovascular disease;amyotrophic lateral sclerosis type 4;hypoglycemia;cataract 18;cataract 47;amyotrophic lateral sclerosis type 2
muscle weakness,persian gulf syndrome;glycogen storage disease VII;Charcot-Marie-Tooth disease type 7;vertebrobasilar insufficiency;amyotrophic lateral sclerosis type 8;Charcot-Marie-Tooth disease type 4B3;glycogen storage disease III;amyotrophic lateral sclerosis type 11;myoglobinuria;Charcot-Marie-Tooth disease type 1;Charcot-Marie-Tooth disease type 2Y;Charcot-Marie-Tooth disease;Charcot-Marie-Tooth disease type 4A;cerebellar ataxia type 47;Charcot-Marie-Tooth disease type 2B2;Charcot-Marie-Tooth disease axonal type 2F;Charcot-Marie-Tooth disease axonal type 2V;cystitis;dystonia 24;Charcot-Marie-Tooth disease axonal type 2X;dystonia;Charcot-Marie-Tooth disease axonal type 2C;amyotrophic lateral sclerosis type 6;amyotrophic lateral sclerosis type 7;Charcot-Marie-Tooth disease axonal type 2T;Charcot-Marie-Tooth disease axonal type 2N;Perrault syndrome;glycogen storage disease IX;Charcot-Marie-Tooth disease axonal type 2U;Charcot-Marie-Tooth disease type 4C;dystonia 32;glycogen storage disease Ib;testicular disease;Charcot-Marie-Tooth disease type 4E;hypotrichosis;hypokalemia;hypertrichosis;amyotrophic lateral sclerosis type 26;Charcot-Marie-Tooth disease type 4J;Charcot-Marie-Tooth disease type 4;amyotrophic lateral sclerosis type 16;Charcot-Marie-Tooth disease axonal type 2P;dystonia 5;Charcot-Marie-Tooth disease type 1A;glycogen storage disease I;vertebral artery insufficiency;Charcot-Marie-Tooth disease axonal type 2Q;Charcot-Marie-Tooth disease type 2A1;dystonia 21;muscular disease;Charcot-Marie-Tooth disease type 2E;Charcot-Marie-Tooth disease axonal type 2S;nocardiosis;glycogen storage disease Ia;amyotrophic lateral sclerosis type 24;glycogen storage disease IXa;amyotrophic lateral sclerosis type 22;Charcot-Marie-Tooth disease type 4B2;amyotrophic lateral sclerosis type 5;amyotrophic lateral sclerosis type 10;glycogen storage disease VIII;thyrotoxicosis;Charcot-Marie-Tooth disease type 1C;amyotrophic lateral sclerosis type 20;hyperkalemic periodic paralysis;acute myocarditis;Charcot-Marie-Tooth disease type X;Charcot-Marie-Tooth disease axonal type 2H;Charcot-Marie-Tooth disease type 2EE;glycogen storage disease II;dystonia 31;Caroli syndrome;amyotrophic lateral sclerosis type 28;Charcot-Marie-Tooth disease type 2R;dystonia 33;dystonia 12;dystonia 27;Charcot-Marie-Tooth disease type 4B1;dystonia 25;glycogen storage disease XV;amyotrophic lateral sclerosis;amyotrophic lateral sclerosis type 9;Charcot-Marie-Tooth disease intermediate type;amyotrophic lateral sclerosis type 23;vascular disease;hyperekplexia;amyotrophic lateral sclerosis type 1;Charcot-Marie-Tooth disease type 4G;nervous system disease;dystonia 9;cerebellar ataxia type 48;glycogen storage disease V;Charcot-Marie-Tooth disease axonal type 2O;Charcot-Marie-Tooth disease type 2D;gastric dilatation;hypokalemic periodic paralysis;Charcot-Marie-Tooth disease type 5;Charcot-Marie-Tooth disease axonal type 2L;Hantavirus hemorrhagic fever with renal syndrome;amyotrophic lateral sclerosis type 19;renal hypertension;endocarditis;autonomic nervous system benign neoplasm;Charcot-Marie-Tooth disease type 4H;sporatic amyotrophic lateral sclerosis;neuromuscular disease;pseudopapilledema;cardiomyopathy;glycogen storage disease VI;Charcot-Marie-Tooth disease type 2;amyotrophic lateral sclerosis type 25;Charcot-Marie-Tooth disease type 4F;spinocerebellar ataxia 45;spinocerebellar ataxia 46;amyotrophic lateral sclerosis type 3;Charcot-Marie-Tooth disease type 2B1;Charcot-Marie-Tooth disease type 2A2A;gastroparesis;cerebellar ataxia type 43;spinocerebellar ataxia 44;cerebellar ataxia type 42;amyotrophic lateral sclerosis type 15;autonomic nervous system neoplasm;dystonia 23;myositis;Charcot-Marie-Tooth disease type 3;Charcot-Marie-Tooth disease type 1E;Charcot-Marie-Tooth disease type 1B;cerebellar ataxia type 41;glycogen storage disease IXd;amyotrophic lateral sclerosis type 13;Charcot-Marie-Tooth disease type 4K;Charcot-Marie-Tooth disease type 1F;hypertension;muscular dystrophy;glycogen storage disease IXc;glycogen storage disease Ic;muscular atrophy;Charcot-Marie-Tooth disease type 1G;cerebellar ataxia;Lambert-Eaton myasthenic syndrome;Charcot-Marie-Tooth disease type 2A2B;dystonia 30;Charcot-Marie-Tooth disease axonal type 2CC;COVID-19;hypercalcemia;Charcot-Marie-Tooth disease type 6;Charcot-Marie-Tooth disease type 2I;amyotrophic lateral sclerosis type 18;autonomic nervous system disease;Guillain-Barre syndrome;cerebellar ataxia type 9;Charcot-Marie-Tooth disease type 2DD;Charcot-Marie-Tooth disease axonal type 2Z;central nervous system disease;glycogen storage disease;glycogen storage disease IXb;amyotrophic lateral sclerosis type 12;Charcot-Marie-Tooth disease type 2J;papilledema;herpes zoster;pyomyositis;toxic myocarditis;hyperglycemia;Charcot-Marie-Tooth disease type 4D;myocarditis;amyotrophic lateral sclerosis type 21;exanthem;glycogen storage disease IV;Charcot-Marie-Tooth disease type 2B;Charcot-Marie-Tooth disease axonal type 2K;Charcot-Marie-Tooth disease type 1D;amyotrophic lateral sclerosis type 4;Charcot-Marie-Tooth disease, axonal type 2W;dystonia 16;amyotrophic lateral sclerosis type 2
myocarditis,Hirata disease;eye disease;myositis;thrombocytosis;posterolateral myocardial infarction;Fabry disease;vascular disease;anteroseptal myocardial infarction;pulmonary embolism;inferolateral myocardial infarct;pulmonary fibrosis;amyloidosis;hyperostosis;breast disease;autoimmune disease;anemia;cervicitis;COVID-19;campylobacteriosis;posteroinferior myocardial infarction;Lyme disease;sarcoidosis;fucosidosis;androgen insensitivity syndrome;nocardiosis;diabetes mellitus;cardiovascular system disease;lateral myocardial infarction;Hartnup disease;primary thrombocytopenia;endocarditis;acute inferolateral myocardial infarction;Leigh disease;apical myocardial infarction;vitreous disease;acquired thrombocytopenia;pericarditis;septal myocardial infarction;rheumatic disease;cystitis;heart disease;iris disease;skin sarcoidosis;artery disease;rheumatic fever;periarthritis;atrioventricular block;cardiomyopathy;pyomyositis;acute anterolateral myocardial infarction;neurosarcoidosis;inferior myocardial infarction;ptosis;acute myocarditis;toxic myocarditis;hepatic vascular disease;aortic disease;myocarditis;anterolateral myocardial infarction;thrombocytopenia;pericoronitis;rheumatic heart disease;cerebrovascular disease;coccidiosis;hair disease;posterior myocardial infarction
nephritis,nephrotic syndrome type 6;agammaglobulinemia 8B;chronic pyelonephritis;agammaglobulinemia 6;nephrotic syndrome type 12;membranous glomerulonephritis;subacute glomerulonephritis;nephrotic syndrome type 21;post-thrombotic syndrome;agammaglobulinemia 4;agammaglobulinemia 7;dysgammaglobulinemia;colitis;lens disease;vein disease;nephrotic syndrome type 7;agammaglobulinemia 8A;nephrotic syndrome type 11;nephrotic syndrome type 3;nephrotic syndrome type 14;pyelonephritis;agammaglobulinemia 10;nephrotic syndrome type 15;nephrotic syndrome type 8;movement disease;Netherton syndrome;urinary tract infection;placenta disease;Danon disease;diabetes mellitus;X-linked agammaglobulinemia;crescentic glomerulonephritis;nephrotic syndrome type 19;nephritis;nephrotic syndrome type 2;nephrotic syndrome type 18;gastrointestinal carcinoma;macroglobulinemia;lupus nephritis;agammaglobulinemia 1;Coats disease;nephrotic syndrome type 1;exudative glomerulonephritis;agammaglobulinemia 2;nephrotic syndrome type 17;agammaglobulinemia 9;hemoglobinuria;nephrotic syndrome type 22;nephrotic syndrome type 13;nephrotic syndrome type 4;diffuse glomerulonephritis;heart disease;nephrotic syndrome type 20;nephrotic syndrome type 5;agammaglobulinemia;familial nephrotic syndrome;nephrotic syndrome type 10;nephrotic syndrome type 16;diabetic neuropathy;nephrotic syndrome type 9;agammaglobulinemia 3;nephrotic syndrome type 23;agammaglobulinemia 5;diabetic encephalopathy;acute pyelonephritis;Dent disease;blepharitis;IgA glomerulonephritis;glomerulonephritis;ileitis;autoimmune glomerulonephritis;opportunistic mycosis;nephrotic syndrome;ptosis;proteinuria;genetic disease;perinephritis;cyclophosphamide allergy;pinta disease
pain,penis carcinoma;pulmonary artery disease;cystadenocarcinoma;urethra adenocarcinoma;eye carcinoma;villous adenocarcinoma;bone carcinoma;lung carcinoma;adrenal carcinoma;endometriosis;thymus adenocarcinoma;perinatal intestinal perforation;endometritis;diarrhea;COVID-19;hypercalcemia;renal carcinoma;osteoarthritis;retinal perforation;coronary artery vasospasm;gastric adenocarcinoma;teratocarcinoma;arthritis;intestinal impaction;adenocarcinoma in situ;ureter adenocarcinoma;colon adenocarcinoma;familial atrial fibrillation;renal artery disease;adenocarcinoma;lung adenocarcinoma;spinal stenosis;vulva adenocarcinoma;jejunal adenocarcinoma;septic arthritis;anus adenocarcinoma;rheumatic disease;cervix endometriosis;vitamin B12 deficiency;postural orthostatic tachycardia syndrome;periarthritis;osteomyelitis;skin carcinoma;coronary artery disease;ovary adenocarcinoma;comedo carcinoma;atrial fibrillation;eccrine adenocarcinoma;stomatitis;intestinal perforation;anal carcinoma;myelitis;breast adenocarcinoma;calcinosis;cecum adenocarcinoma;adenosarcoma;carcinoma;tubular adenocarcinoma;rheumatic heart disease;syphilis;bladder adenocarcinoma;rectum adenocarcinoma
lesions in pancreas,rectum carcinoma in situ;cystadenocarcinoma;pharynx carcinoma in situ;trachea carcinoma in situ;ampulla of Vater carcinoma;type 1 diabetes mellitus;squamous cell carcinoma;esophageal basaloid squamous cell carcinoma;breast squamous cell carcinoma;villous adenocarcinoma;breast carcinoma in situ;adrenal carcinoma;bladder carcinoma in situ;lung carcinoma in situ;renal carcinoma;esophageal leukoplakia;gastric adenocarcinoma;adenocarcinoma in situ;duodenal benign neoplasm;gastrointestinal stromal tumor;cornea squamous cell carcinoma;esophagus squamous cell carcinoma;rheumatic disease;acute pancreatitis;eye carcinoma in situ;comedo carcinoma;ovary adenocarcinoma;brain glioma;cecum adenocarcinoma;type 2 diabetes mellitus;pancreatic squamous cell carcinoma;prostate squamous cell carcinoma;skin carcinoma in situ;trachea squamous cell carcinoma;urethra adenocarcinoma;Mahvash Disease;common bile duct neoplasm;larynx carcinoma in situ;choriocarcinoma;colon carcinoma;liver carcinoma in situ;penis carcinoma in situ;diabetes mellitus;teratocarcinoma;choreatic disease;ureter adenocarcinoma;colon adenocarcinoma;perivascular epithelioid cell tumor;adenocarcinoma;sarcoma;lung adenocarcinoma;ampulla of Vater cancer;anus adenocarcinoma;paraganglioma;pancreas disease;anal carcinoma in situ;eccrine adenocarcinoma;congenital syphilis;anal carcinoma;stomach carcinoma in situ;breast adenocarcinoma;tonsil squamous cell carcinoma;carcinoma;tubular adenocarcinoma;penis carcinoma;kidney carcinoma in situ;biliary tract benign neoplasm;cervical squamous cell carcinoma;basaloid squamous cell carcinoma;angiosarcoma;gastrointestinal system cancer;bone carcinoma;ductal carcinoma in situ;kidney disease;gastrinoma;uterus carcinoma in situ;acrodermatitis;jejunal adenocarcinoma;laryngeal squamous cell carcinoma;anal squamous cell carcinoma;skin carcinoma;aortic disease;gastrointestinal system disease;esophagus squamous cell papilloma;oral squamous cell carcinoma;adenosarcoma;esophageal adenosquamous carcinoma;musculoskeletal system disease;bladder adenocarcinoma;vulva adenocarcinoma;lip carcinoma in situ;pancreatitis;pharynx squamous cell carcinoma;eye carcinoma;musculoskeletal system cancer;lung carcinoma;cholangiocarcinoma;thymus adenocarcinoma;colon carcinoma in situ;iris disease;hilar lung carcinoma;gastrointestinal adenoma;endometrial squamous cell carcinoma;supraglottis squamous cell carcinoma;intestinal disease;cholangiolocellular carcinoma;rectum adenocarcinoma
peritonitis,toxoplasmosis;bone disease;type 1 diabetes mellitus;duodenal obstruction;inflammatory bowel disease 15;inflammatory bowel disease 16;inflammatory bowel disease 19;inflammatory bowel disease 26;African histoplasmosis;vesiculitis;inflammatory bowel disease 21;inflammatory bowel disease 2;acute pancreatitis;inflammatory bowel disease 24;inflammatory bowel disease 5;inflammatory bowel disease 25;pericoronitis;oral tuberculosis;type 2 diabetes mellitus;inflammatory bowel disease 3;prion disease;diverticulitis of colon;neuronitis;Clostridium difficile colitis;renal tuberculosis;inflammatory bowel disease;inflammatory bowel disease 18;diabetes mellitus;inflammatory bowel disease 29;histoplasmosis;periodontitis;intestinal obstruction;inflammatory bowel disease 12;intestinal pseudo-obstruction;inflammatory bowel disease 23;sarcoma;cecal disease;tendinitis;carcinoma;inflammatory bowel disease 30;inflammatory bowel disease 17;Caroli disease;Coats disease;uveal disease;vascular disease;rhinitis;inflammatory bowel disease 11;periostitis;splenic abscess;Crohn's disease;perinatal intestinal perforation;gastrinoma;inflammatory bowel disease 14;Carrion's disease;retinal perforation;intestinal impaction;rectal disease;acrodermatitis;inflammatory bowel disease 8;appendicitis;vitreous disease;trigonitis;heart disease;diverticulitis;inflammatory bowel disease 27;intestinal perforation;penicilliosis;inflammatory bowel disease 7;inflammatory bowel disease 13;pancreatitis;peritonitis;inflammatory bowel disease 22;tuberculosis;eye carcinoma;inflammatory bowel disease 1;fallopian tube benign neoplasm;inflammatory bowel disease 20;cardiovascular system disease;scabies;inflammatory bowel disease 10;inflammatory bowel disease 9;inflammatory bowel disease 4;iris disease;ptosis;intestinal disease;hepatic vascular disease;inflammatory bowel disease 28;inflammatory bowel disease 6;ureteral obstruction;cerebrovascular disease
plasmacytosis,
pleural effusion,jejunal neoplasm;pneumonia;Watson syndrome;psoriasis 6;Noonan syndrome 4;endometriosis;Conn's syndrome;psoriasis 13;Down syndrome;Donohue syndrome;Poland syndrome;adenocarcinoma in situ;Muenke Syndrome;psoriasis 7;Good syndrome;psoriasis 10;loiasis;psoriasis 5;psoriasis;Noonan syndrome 5;Jacobsen Syndrome;choriocarcinoma;psoriasis 11;endometritis;colon carcinoma;psoriasis 12;cervix endometriosis;Nelson syndrome;shigellosis;teratocarcinoma;Keipert syndrome;adenocarcinoma;Cowden syndrome 4;lung disease;psoriasis 8;Cowden syndrome 6;Noonan syndrome 11;psoriasis 2;carcinoma;Pendred Syndrome;psoriasis 3;parapsoriasis;Noonan syndrome 9;Cowden syndrome 5;pneumothorax;Cohen syndrome;Noonan syndrome 12;Noonan syndrome;Noonan syndrome 1;brucellosis;Cowden syndrome 7;setariasis;hemopneumothorax;Lemierre's syndrome;myocardial infarction;Noonan syndrome 13;Cogan syndrome;Noonan syndrome 10;choriocarcinoma of ovary;apocrine carcinoma;Noonan syndrome 7;ascariasis;asbestosis;pleural disease;N syndrome;psoriasis 1;cholangiocarcinoma;ovarian carcinoma;chorioangioma;trichinosis;Dubowitz syndrome;Noonan syndrome 6;Noonan syndrome 3;Laron syndrome;scleral disease;COVID-19;psoriasis 15;Noonan syndrome 8;multiple myeloma;psoriasis 9;Cowden syndrome;psoriasis 4;Noonan syndrome 2
mouth papules,
