Symptom,Related terms
hepatomegaly,"3-Iodobenzylguanidine;Lymphohistiocytosis, Hemophagocytic;Leukopenia;Myelodysplastic Syndromes;Leishmaniasis, Visceral;Hepatomegaly;Iron Deficiencies;Liver Diseases;Immunoglobulin J Recombination Signal Sequence-Binding Protein;Immunoglobulin Light-chain Amyloidosis;Glycogen Storage Disease;Sea-Blue Histiocyte Syndrome;Hypophosphatemia;Diabetic Ketoacidosis;Usher Syndromes;Hepatolenticular Degeneration;Liver Cirrhosis, Biliary;Neuroblastoma;Panthera;Poultry Diseases;Severe Dengue;Amyloidosis;Liver;Lipodystrophy;Circoviridae Infections;Lung Diseases, Interstitial;End Stage Liver Disease;Embolization, Therapeutic;Chagas Disease;Dengue;Dexamethasone;Nitroimidazoles;Chemical and Drug Induced Liver Injury;Trypanosoma cruzi;Ursodeoxycholic Acid;Liver Regeneration;Mucocutaneous Lymph Node Syndrome;Carcinoma, Hepatocellular;Portal Vein;Thrombocytopenia;Common Variable Immunodeficiency;Hepatitis, Viral, Human;Vaccines;Fluorocarbons;Diabetes Mellitus;Hypercholesterolemia;Non-alcoholic Fatty Liver Disease;Leukemia;Carcinoma, Neuroendocrine;Hepatitis B;Exanthema;Trypanocidal Agents;Hypertension, Portal;COVID-19;Liver Neoplasms;Fever;Coinfection;Mucopolysaccharidosis III;NF-E2-Related Factor 2;Mucopolysaccharidosis VII;Still's Disease, Adult-Onset;Fanconi Syndrome;Internship and Residency;Anemia;Glycogen Storage Disease Type I;Infant, Newborn, Diseases;Splenomegaly;Hospitalization;Dog Diseases;Diabetes Mellitus, Type 1;Cholestasis;Hematopoietic Stem Cell Transplantation;Sarcoidosis;Liver Transplantation;Congenital Hypothyroidism;Propionates;Fatty Liver;Mental Disorders;Diabetes Complications;Macrophage Activation Syndrome;Aviadenovirus;Leukemia, Myeloid, Acute;Dwarfism;Kelch-Like ECH-Associated Protein 1"
failure to thrive,"Drug-Related Side Effects and Adverse Reactions;Peritoneal Dialysis;Health Knowledge, Attitudes, Practice;Glioma;Enterostomy;Movement Disorders;Wolf-Hirschhorn Syndrome;Neoplasms;Costello Syndrome;Surgical Stomas;Blood Glucose;Gastroesophageal Reflux;Hypocalcemia;Microbiota;Human Growth Hormone;Pyridones;Noonan Syndrome;Enterocolitis, Necrotizing;Brain Diseases, Metabolic, Inborn;Facies;Intellectual Disability;Failure to Thrive;Sleepiness;Hypopituitarism;Hypoventilation;Hernias, Diaphragmatic, Congenital;Astrocytoma;Vasculitis;Cleft Palate;Refugees;Cleft Lip;Oxygen;Malnutrition;Heart Defects, Congenital;Premature Birth;TRPM Cation Channels;Growth Disorders;Autism Spectrum Disorder;Status Epilepticus;Spasms, Infantile;Nutritional Requirements;Graft vs Host Disease;Intracranial Aneurysm;Immune Checkpoint Inhibitors;Malabsorption Syndromes;Severe Combined Immunodeficiency;Nutritional Status;Infant, Small for Gestational Age;Skin Neoplasms;Gastroenteritis;Quality of Life;Eczema;Ethnicity;Expert Testimony;Insulin-Like Peptides;Brain Diseases;Thinness;Hospitalization;Pyrimidinones;Child Abuse;Enteral Nutrition;Eosinophilia;Epileptic Syndromes;Hematopoietic Stem Cell Transplantation;Epstein-Barr Virus Infections;Anorexia Nervosa;Insulin-Like Growth Factor I;Resuscitation;Epilepsy;Neurofibromatosis 1;Inflammatory Bowel Diseases;Chromosome Disorders;Cardiac Surgical Procedures;Gastrointestinal Microbiome;Ectodermal Dysplasia;Microcephaly;Muscle Hypotonia;Gastrointestinal Hemorrhage;RNA Nucleotidyltransferases;Kidney Failure, Chronic;Dwarfism;Diabetes Mellitus, Type 2;Social Work"
generalized abdominal rigidity,"Stiff-Person Syndrome;Anesthesia, General"
early satiety,"Depression;Health Behavior;Avoidant Restrictive Food Intake Disorder;Bulimia Nervosa;Video Games;Anorexia Nervosa;Satiety Response;Epigenesis, Genetic;Parenting;Prunus dulcis;DNA Methylation;Nutritional Status;Gestational Weight Gain;Bread;Delphi Technique;Infant Formula;Sleep Wake Disorders;Child Behavior;Meals;Postprandial Period;Eating;Glucagon-Like Peptide 1;Cholecystokinin;Receptor, Melanocortin, Type 3;Bariatric Surgery;Gastrointestinal Diseases;Pediatric Obesity;Social Class;Diet, Healthy;Feeding and Eating Disorders;Diet, High-Fat;Chronic Pain;Prenatal Care;Glycemic Load;Body Composition;Epigenome;Energy Metabolism;Cues;Energy Intake;Consensus;Dietary Supplements;Lysine;Mastication;Appetite;Dyspepsia;Homeostasis;Health Status Disparities;Diabetes Mellitus;Diet;Gastrointestinal Hormones;Milk, Human;Gambling;Behavior, Addictive;Genome-Wide Association Study;Feeding Behavior;Digestion;Isoleucine;Glucose;Individuality;Abdominal Pain;Anxiety;Satiation;Triticum;Societies, Medical;Diabetes Mellitus, Type 2;Incretins;Substance-Related Disorders;Functional Food"
underweight,"Heart Failure;Muscular Atrophy;Endocannabinoids;HIV Infections;Cystic Fibrosis;Digestive System Neoplasms;Product Surveillance, Postmarketing;Hypothalamus;Muscle Proteins;Receptors, Adrenergic, beta-3;Tumor Microenvironment;Overweight;Neoplasms;Taurine;Obesity;Pulmonary Veins;Sarcopenia;Appetite;Idiopathic Pulmonary Fibrosis;Heterocyclic Compounds, 3-Ring;Lipocalin-2;Personal Satisfaction;Piperazines;Hydrazines;Feeding Behavior;Pyridones;Endometrium;Apoptosis;Qualitative Research;Muscle, Skeletal;Tumor Necrosis Factor-alpha;Depression;Oxazines;Birth Weight;Adipose Tissue;Cryosurgery;Health Status;Menarche;HMGB1 Protein;Body Mass Index;Registries;Diet, Healthy;Angiotensin II;Osteoporotic Fractures;Carcinoma, Squamous Cell;Family Characteristics;Sex Characteristics;Frailty;Catechols;Exercise Tolerance;Head and Neck Neoplasms;Non-alcoholic Fatty Liver Disease;Parents;Cyclopentane Monoterpenes;Cachexia;Biological Products;Malnutrition;Receptor, Cannabinoid, CB1;Growth Disorders;Exosomes;Immunotherapy;Bayes Theorem;Juglans;3T3-L1 Cells;Nutritional Status;Nutrition Surveys;Mice, Inbred C57BL;Caregivers;Quality of Life;Lipolysis;Infant Mortality;Thinness;Mouth Neoplasms;Alcoholism;Anti-Inflammatory Agents;Stomach Neoplasms;Withanolides;Recurrence;Inflammation;Hospitalization;Sarcoma;Mice, Inbred BALB C;Exercise Therapy;Microglia;Anthropometry;Mothers;Urban Population;Body Height;Pregnancy Rate;Fatty Acid Elongases;Fertilization in Vitro;Puberty;Weight Gain;Heart Transplantation;Adipose Tissue, White;Body Weight;Muscle Fibers, Skeletal;Pediatric Obesity;Gastrointestinal Microbiome;HIV Integrase Inhibitors;Diet, High-Fat;Biomarkers;Rural Population;Lipopolysaccharides;Growth Differentiation Factor 15;Cues;Signal Transduction;Reactive Oxygen Species;Dementia;Receptors, G-Protein-Coupled;Protective Factors;Doxorubicin;Leukemia, Myeloid, Acute;Berberine;Exercise Test;Diabetes Mellitus, Type 2;Atrial Fibrillation;Social Norms;Exercise;Lactic Acid"
epigastric abdominal swelling,"Cesarean Section, Repeat;Epigastric Arteries;Cholecystectomy, Laparoscopic;Tomography, X-Ray Computed"
abdominal swelling,"Laparoscopy;Heart Failure;Piper;Analgesics;Colitis;Drug-Related Side Effects and Adverse Reactions;Dexmedetomidine;Fibroins;Peritoneal Dialysis, Continuous Ambulatory;Crohn Disease;Neoplasms;Pleural Effusion;Peritonitis;Drug Hypersensitivity;Pinus;Catheter Ablation;Budd-Chiari Syndrome;Monoclonal Gammopathy of Undetermined Significance;Angioedemas, Hereditary;Osteitis;Anisakiasis;Lymphatic Vessels;Vasodilator Agents;Lymphedema;Arthritis;Solanum;Tumor Necrosis Factor-alpha;Mediastinal Cyst;Asthma;Intestinal Obstruction;Hernia, Inguinal;Wheat Hypersensitivity;Pelvic Pain;Renal Insufficiency;Zebrafish;Intensive Care Units;Critical Illness;Papaver;Carcinoma, Hepatocellular;Antipyretics;Lipectomy;Psidium;Thrombocytopenia;Vasculitis;Pleurisy;Groin;Hernia, Femoral;Sjogren's Syndrome;Abdomen, Acute;Pancreatitis;Eugenia;Fabaceae;Hypersensitivity;Liver Neoplasms;Sesquiterpenes;Hypoalbuminemia;Lymphangiectasis;Transurethral Resection of Prostate;Ecchymosis;Acetates;Hodgkin Disease;Angioedema;Bone Marrow Diseases;Mimosa;Anti-Inflammatory Agents;Interleukin-6;Acidosis;Plant Extracts;Dog Diseases;Oils, Volatile;Eosinophilia;Sapindaceae;Kidney Diseases;Scrotum;Inflammatory Bowel Diseases;Syringa;Edema;Thrombosis;Protein-Losing Enteropathies;Magnoliopsida;Reperfusion Injury;Lymphoscintigraphy;Plant Oils;Colitis, Ulcerative;Melastomataceae;Immunoglobulin G4-Related Disease;Rubiaceae;Vascular Diseases;Abdominal Pain;Abdomen;Lymphatic Diseases;Synovitis;Alkaloids"
abnormality of gait,"Joint Dislocations;Neuromuscular Diseases;Clubfoot;Neural Networks, Computer;Ambient Intelligence;Equinus Deformity;Postural Balance;Pigmentation Disorders;Movement Disorders;Cerebral Palsy;Musculoskeletal Diseases;Multiple Sclerosis;Abnormalities, Multiple;Levodopa;Sarcopenia;Femoracetabular Impingement;Flatfoot;Down Syndrome;Anterior Cruciate Ligament Reconstruction;Subthalamic Nucleus;Pneumonia;Muscle, Skeletal;Deep Brain Stimulation;Craniofacial Abnormalities;Myotonia Congenita;Osteoarthritis, Knee;Hip Dislocation;Botulinum Toxins;Chronic Pain;Intellectual Disability;Foot;Artificial Intelligence;Dystonic Disorders;Prediabetic State;Machine Learning;Osteotomy;Autism Spectrum Disorder;Bilateral Vestibulopathy;Independent Living;Marathon Running;Amyloid Neuropathies, Familial;Low Back Pain;Motor Cortex;Hip Joint;Quality of Life;Cerebellar Ataxia;Hemophilia A;Gait;Protein Phosphatase 2;Torticollis;Stroke;Walking Speed;Calcaneus;Muscular Diseases;Achilles Tendon;Wearable Electronic Devices;Exercise Therapy;Diabetes Mellitus, Type 1;Oxidopamine;Lameness, Animal;Hip Dislocation, Congenital;Neurological Rehabilitation;Blepharospasm;Gait Disorders, Neurologic;Robotics;Parkinsonian Disorders;Neurodevelopmental Disorders;Cattle Diseases;Patellofemoral Pain Syndrome;Walking;Parkinson Disease;Stroke Rehabilitation;Neurodegenerative Diseases;Dementia;Deep Learning;Lower Extremity;Gait Analysis;Ehlers-Danlos Syndrome;Cognitive Dysfunction;Joint Instability;Anterior Cruciate Ligament Injuries;Rats, Sprague-Dawley;Acupuncture Therapy;Autistic Disorder;Head"
persistent vegetative state,"Consciousness Disorders;Acoustic Stimulation;Deep Brain Stimulation;Fractals;Urban Population;Psychotic Disorders;Orthopedics;Spectroscopy, Near-Infrared;Epilepsy;Bacillus subtilis;Transcranial Direct Current Stimulation;Brain Death;Transcranial Magnetic Stimulation;Patient Preference;Caregivers;Brain;Recovery of Function;Consciousness;Music;Brain Injuries, Traumatic;Electroencephalography;Catatonia;Spores, Bacterial;Tremor;Death;Coma;Stroke;Minimal Clinically Important Difference;Persistent Vegetative State;Deep Learning;Teratoma;Wakefulness;Chronic Traumatic Encephalopathy;Anti-N-Methyl-D-Aspartate Receptor Encephalitis;Cerebral Cortex;Pyridines;Advance Care Planning;Brain Injuries;Ischemic Stroke;Spinal Cord Stimulation;Encephalitis;Cross-Over Studies"
alteration of consciousness,"Sleep;Propofol;Ketamine;Deglutition Disorders;Consciousness Disorders;Self-Control;COVID-19;Brain-Computer Interfaces;Psychotic Disorders;Sensory Deprivation;Hemorrhagic Stroke;Anesthesia, General;Awareness;Deglutition;Hypoxia-Ischemia, Brain;Bruxism;Hematoma, Subdural;Cannabis;Artifacts;Brain;Craniocerebral Trauma;Hypnosis;Sleep Bruxism;Critical Period, Psychological;Behavior, Animal;Consciousness;Learning;Cognitive Neuroscience;Magnetic Resonance Imaging;Cognition;Electroencephalography;Brain Injuries, Traumatic;Lysergic Acid Diethylamide;Stroke;Orientation;Mental Disorders;Persistent Vegetative State;Dementia;Dreams;Illusions;Hypothermia, Induced;Meditation;Reward;Models, Neurological;Hallucinogens;Positron-Emission Tomography;Marchiafava-Bignami Disease;Auditory Perception;Psilocybin;Neurons;Connectome;Neurosciences;Banisteriopsis;Anesthesia;Spinal Cord Stimulation;Hierarchy, Social"
dysuria,"Urethral Stricture;Intussusception;Enoplida Infections;Varicose Veins;Hernia, Inguinal;Hypertension;Nocturia;Urethral Obstruction;Hypotension, Orthostatic;Genital Diseases, Male;Pancreatic Neoplasms;Urethral Neoplasms;Dysuria;Solitary Kidney;Diverticulum;Lupus Erythematosus, Systemic;Nandrolone;Acupuncture Therapy;Physicians;Laparoscopy;Urinary Bladder Diseases;Chlamydia Infections;Urinary Incontinence, Stress;Urinary Tract Infections;Camelids, New World;Prostatic Hyperplasia;Emphysema;Neoplasms;Prostatic Neoplasms;Laser Therapy;Urinary Bladder;Penis;Materia Medica;Gonorrhea;Urinary Tract;Urolithiasis;Sarcoma, Ewing;Sexually Transmitted Diseases;Brachytherapy;Waldenstrom Macroglobulinemia;Hyaluronic Acid;Thrombosis;Sarcoma;Diet, Mediterranean;Urinary Retention;Propolis;Electric Stimulation Therapy;Kidney Calculi;Urachus;Cystitis;Lewy Body Disease;Dog Diseases;Thoracotomy;Urology;Cat Diseases;Adenomyosis;Parkinsonian Disorders;Cystitis, Interstitial;Pelvic Organ Prolapse;Leiomyoma;Urinary Incontinence;Urination Disorders;Bacteriuria;Immunoglobulin G4-Related Disease;Vulvovaginitis;Vaginal Diseases;Kidney;Ureter;Hemospermia;Prostate;Lower Urinary Tract Symptoms;Hydronephrosis;Dyspareunia;Anti-Bacterial Agents;Urinary Bladder Neck Obstruction;Urinary Bladder, Overactive;Soft Tissue Neoplasms;Methenamine;Rectal Prolapse;Uterine Cervical Neoplasms;Endometriosis"
rash,"Erythema Chronicum Migrans;Skin Neoplasms;Herpes Zoster Oticus;Prostatic Neoplasms, Castration-Resistant;Purpura;Bladder Exstrophy;Monkeypox virus;Dermatitis, Atopic;Antineoplastic Agents;Shock, Septic;Lung Neoplasms;Encephalitis;Heart Neoplasms;Enterovirus Infections;Acrodermatitis;Acne Vulgaris;Prurigo;Intracranial Embolism;Lupus Erythematosus, Systemic;Drug-Related Side Effects and Adverse Reactions;Skin Diseases, Vascular;Multiple Organ Failure;Psoriasis;Skin;Carcinoma, Hepatocellular;Vasculitis, Leukocytoclastic, Cutaneous;Myxoma;Oncologists;Paratyphoid Fever;Embolism;Neoplasms;Measles;Communicable Diseases;Still's Disease, Adult-Onset;Gastric Dilatation;COVID-19;Pneumonia, Mycoplasma;Dermatomyositis;Borrelia;Mucositis;Quality of Life;Schnitzler Syndrome;Psychodidae;Registries;Malaria;Nervous System Diseases;Carcinoma, Non-Small-Cell Lung;Epilepsia Partialis Continua;Lyme Neuroborreliosis;Epidemics;Pressure Ulcer;Mumps;Urticaria;Lamotrigine;Rubella;Exanthema;Chemoembolization, Therapeutic;Substance Abuse, Intravenous;Chickenpox;Herpes Zoster;Gastroparesis;Fistula;Morpholines;Lyme Disease;Pyrazoles;Lymphoma, Follicular;Drug Eruptions;Rocky Mountain Spotted Fever;Embolism, Fat;Stevens-Johnson Syndrome;Pyrimidines;Skin Diseases;Skin Diseases, Vesiculobullous;Jaundice;Anti-Bacterial Agents;Ultraviolet Rays;Liver Neoplasms;Dermatitis, Exfoliative;Tooth Eruption;Keratoacanthoma;Thiohydantoins;Syphilis;Phenotype;Trypanosomiasis, African"
abnormal bowel sound,Sound;Barium Sulfate;Auscultation;Abdomen;Acoustics;Noise;Gastrointestinal Motility;Gastrointestinal Transit
continuous leakage of urine,Prostatectomy;Air Pollutants;Urine;Urodynamics
urinary incontinence,"Workplace;Pudendal Neuralgia;Skin Care;Pelvic Floor Disorders;Urethral Stricture;Pelvic Floor;Erectile Dysfunction;Pelvic Organ Prolapse;Robotic Surgical Procedures;Dementia;Propensity Score;Urinary Incontinence;Peripheral Nerve Injuries;Urinary Incontinence, Stress;Polypharmacy;Mobile Applications;Moxibustion;Exercise Therapy;Lasers, Solid-State;Urethra;Diabetes Mellitus;Nursing Staff;Magnetic Resonance Imaging;Prostatic Hyperplasia;Sedentary Behavior;Vaginal Diseases;Mercury;Qigong;Nutrition Surveys;Thiazoles;Lower Urinary Tract Symptoms;Dermatitis;Postoperative Complications;Prostatic Neoplasms;Magnetic Field Therapy;Metals, Heavy;Pudendal Nerve;Suicidal Ideation;Suburethral Slings;Laser Therapy;Prostatectomy;COVID-19;Laparoscopy;Microbiota;Athletes;Geriatric Assessment;Defecography;Urinary Sphincter, Artificial;Ill-Housed Persons;Food Hypersensitivity;Urinary Bladder, Overactive;Stereotyping;Functional Status;Urodynamics;Acupuncture Therapy;Non-alcoholic Fatty Liver Disease;Urinary Incontinence, Urge;Quality of Life;Fecal Incontinence;Surgical Mesh;Urethral Diseases;Transurethral Resection of Prostate"
dysphagia,"Stroke;Sleep Apnea, Obstructive;Cough;Robotic Surgical Procedures;Myotomy;Exercise;Obesity, Morbid;Gastric Acid;Diskectomy;Xerostomia;Smoking;Carcinoma, Small Cell;Multiple Sclerosis;Esophageal Neoplasms;Abdominal Pain;Nutrition Assessment;Gastric Bypass;Malnutrition;Gangliosides;Hydrodynamics;Hiccup;Hospitalization;Esophagectomy;Esophageal Stenosis;Consensus;Cognitive Dysfunction;Non-alcoholic Fatty Liver Disease;Esomeprazole;Laparoscopy;Night Eating Syndrome;Laryngectomy;Weight Loss;Nutritional Status;Air Pollution;Famotidine;Gastroesophageal Reflux;COVID-19;Pneumonia, Aspiration;Databases, Factual;Students;Practice Patterns, Physicians';Dilatation;Delphi Technique;Laryngopharyngeal Reflux;Genome-Wide Association Study;Deglutition;Quality of Life;Intervertebral Disc;Pregnancy Complications;SARS-CoV-2;Gastrectomy;Dyspepsia;Spinal Fusion;Epiglottis;Cesarean Section;Galactans;Tooth Erosion;Asthma;Dietary Supplements;Severity of Illness Index;Rabeprazole;Primary Health Care;Energy Intake;Stroke Rehabilitation;Esophageal Achalasia;Systematic Reviews as Topic;Head and Neck Neoplasms;Mendelian Randomization Analysis;Cervical Vertebrae;Continuous Positive Airway Pressure;Gastrointestinal Microbiome;Fundoplication;Auscultation;Proton Pump Inhibitors;Probiotics;Athletic Tape;Gastrostomy;Postoperative Complications;Gastropexy;Obesity;Deglutition Disorders;Barrett Esophagus;Hernia, Hiatal;Esophagoscopy;Pantoprazole;Antitubercular Agents;Meta-Analysis as Topic;Tooth, Deciduous;Drug Delivery Systems"
renal colic,"Ureteral Calculi;Pyelonephritis;Urolithiasis;Stroke;Nerve Block;Analgesia;Urinary Bladder Calculi;Myxoma;Colic;Complementary Therapies;Renal Colic;Tomography, X-Ray Computed;Transcutaneous Electric Nerve Stimulation;Remote Consultation;Diclofenac;Urologic Diseases;Heart Neoplasms;Neurology;Ureter;Atrial Fibrillation;Ureteroscopy;Emergency Service, Hospital;Hydronephrosis;Tramadol;Neutrophils;Urinary Retention;Opioid-Related Disorders;Prostatic Neoplasms;Feasibility Studies;Kidney Calculi;COVID-19;Urology;Urinary Calculi;Ureterolithiasis;Emergency Medicine;Physicians;Castleman Disease;Hypersensitivity;Lithotripsy;Ketorolac"
urethral discharge,"Emollients;Catheters, Indwelling;Betamethasone;Recovery of Function;Patient Compliance;Diet;Lasers, Solid-State;Eating;Prostatic Hyperplasia;Urinary Catheterization;Analgesics, Opioid;Pain Management;Quality of Health Care;Postoperative Care;Emergency Service, Hospital;Healthcare Disparities;Plastic Surgery Procedures;Patient Discharge;Urination;Cystectomy;Laser Therapy;Suburethral Slings;Prostatectomy;Cystostomy;Length of Stay;Urinary Diversion;Intermittent Urethral Catheterization;Health Services Accessibility;Patient Education as Topic;Urinary Bladder, Neurogenic;Centers for Disease Control and Prevention, U.S.;Pain, Postoperative;Urodynamics;Laparoscopy;Urethral Diseases;Transurethral Resection of Prostate"
mixed incontinence (female) (male),"Urethral Stricture;Pelvic Girdle Pain;Pelvic Floor Disorders;Tibial Nerve;Pelvic Organ Prolapse;Flame Retardants;Skin;Gastrointestinal Diseases;Urinary Incontinence;Urinary Incontinence, Stress;Mobile Applications;Hispanic or Latino;Exercise Therapy;Cardiovascular Diseases;Public Health;Diabetes Mellitus;Transcutaneous Electric Nerve Stimulation;Self-Management;Incontinence Pads;General Practitioners;Insurance Claim Review;Lower Urinary Tract Symptoms;Urethral Obstruction;Prostatic Neoplasms;Bipolar Disorder;Magnetic Field Therapy;Anal Canal;Metabolic Syndrome;Suburethral Slings;Sex Characteristics;COVID-19;Electroacupuncture;Dog Diseases;Urinary Bladder, Overactive;Pregnant Women;Enuresis;Renal Insufficiency, Chronic;Prostheses and Implants;Quality of Life;Fecal Incontinence;Telemedicine"
adult failure to thrive,"Dyslipidemias;Weight Loss;Brain Neoplasms;Ectodermal Dysplasia;Crohn Disease;Noonan Syndrome;Citrullinemia;Digestive System Surgical Procedures;Hyponatremia;Ileostomy;Inflammatory Bowel Diseases;Hypopituitarism;Mutation;Maternal Behavior;TRPM Cation Channels;Cardiac Surgical Procedures;Patient Readmission;Malnutrition;Anorexia Nervosa;Autophagy;Silver-Russell Syndrome;Psychiatric Nursing;Cholestasis, Intrahepatic;Organic Anion Transporters;Digestive System Abnormalities;Goals;RNA, Long Noncoding;Hematopoietic Stem Cell Transplantation;Advanced Practice Nursing;Colitis, Ulcerative;Graft vs Host Disease;Referral and Consultation;Hypocalcemia;Heart Defects, Congenital;Health Knowledge, Attitudes, Practice;Human Growth Hormone;Failure to Thrive;Diabetes Mellitus, Type 2;Intellectual Disability;Food Preferences;Triage;Hyperkalemia;Nuchal Translucency Measurement;Proctocolectomy, Restorative;Mother-Child Relations;Genetic Predisposition to Disease"
headache,"Blood Donors;Acupuncture Points;Machine Learning;Vascular Diseases;Fatigue;Intracranial Hypertension;Antifungal Agents;Nurse's Role;SARS-CoV-2;Myelin-Oligodendrocyte Glycoprotein;Environmental Exposure;Vitamin B 12 Deficiency;Cardiovascular Diseases;Disease Progression;Tremor;Outpatients;Magnetic Resonance Imaging;Students, Health Occupations;Brain Diseases;Pyrazoles;Headache Disorders, Secondary;Syringomyelia;Subarachnoid Hemorrhage;Joint Instability;Patient Acceptance of Health Care;Temporomandibular Joint Disorders;Migraine without Aura;Trigeminal Neuralgia;Arnold-Chiari Malformation;Calcitonin Gene-Related Peptide;Anesthetics;Multiple Sclerosis;White Matter;Air Pollution;Sinusitis;Foramen Ovale, Patent;Post-Traumatic Headache;Hearing Loss, Sensorineural;Nervous System Diseases;Deafness;Meningitis, Bacterial;Antithrombin III Deficiency;Bibliometrics;Tension-Type Headache;Primary Health Care;Intracranial Aneurysm;Nitriles;COVID-19;Analgesics;Pseudotumor Cerebri;Sensitivity and Specificity;Pituitary Neoplasms;Sexual Behavior;Cinnarizine;Syphilis;Intracranial Arteriovenous Malformations;Delphi Technique;Consensus;Genome-Wide Association Study;Trismus;Personality Disorders;Osteomyelitis;Sinus Thrombosis, Intracranial;Vision Disorders;Phenotype;Migraine Disorders;Headache;Quality of Life;Health Knowledge, Attitudes, Practice;Headache Disorders, Primary;Choristoma;Depression;Migraine with Aura;Headache Disorders;Sleep Initiation and Maintenance Disorders"
throat pain,"Glomerulonephritis, IGA;Machine Learning;Rhinitis, Allergic;Excipients;Familial Mediterranean Fever;Sleep Apnea, Obstructive;Robotic Surgical Procedures;Dermatitis, Atopic;Anesthetics, Local;Zinc;Rheumatic Heart Disease;Pharyngitis;Azetidines;Dexamethasone;Acne Vulgaris;Ethylenediamines;Peritonsillar Abscess;Rhinosinusitis;Mothers;Hoarseness;Physicians;Stomatitis, Aphthous;Janus Kinase Inhibitors;Germinal Center;Antimicrobial Stewardship;Mucocutaneous Lymph Node Syndrome;Flurbiprofen;Budesonide;Cranial Nerve Diseases;Tonsillectomy;Kidney Glomerulus;Vaccines;Conjunctivitis;Hyperplasia;Genotype;Gastroesophageal Reflux;COVID-19;Oropharyngeal Neoplasms;Carotid Stenosis;Magnesium Sulfate;Retropharyngeal Abscess;Tonsillitis;Rheumatic Fever;Preoperative Care;Anti-Infective Agents;Genetic Variation;SARS-CoV-2;Thyroidectomy;Registries;Seasons;Respiratory Tract Infections;Bacteria;Streptococcal Infections;Otitis Media with Effusion;Integrative Medicine;Asthma;Wastewater;Sleep Apnea Syndromes;Hereditary Autoinflammatory Diseases;COVID-19 Drug Treatment;Sulfonamides;Anxiety;Cellulitis;Amoxicillin-Potassium Clavulanate Combination;Nasopharyngitis;Palatine Tonsil;Ribavirin;Streptococcus pyogenes;Herpes Zoster;Intubation, Intratracheal;Pyrazoles;Pneumonia;Drugs, Chinese Herbal;Nasopharyngeal Neoplasms;Purines;Autoimmune Diseases;Pyrimidines;Cardiac Surgical Procedures;Postoperative Complications;Common Cold;Glomerulonephritis;Anti-Bacterial Agents;Influenza, Human;Deglutition Disorders;Air Pollution, Indoor;Lymphadenitis;Antiviral Agents;Depression;Mediastinitis;Pharynx;Recurrence"
hemorrhage from throat,"Otitis Media;Sleep Apnea, Obstructive;Robotic Surgical Procedures;Monkeypox virus;Hypotension;Porcine Reproductive and Respiratory Syndrome;CD4-Positive T-Lymphocytes;Ciona intestinalis;Pharyngitis;Workflow;Pediatric Obesity;Macaca mulatta;Hospitalization;Survivors;Feces;Thyroid Neoplasms;Aging;Postoperative Hemorrhage;Disease Models, Animal;Adenocarcinoma;Laparoscopy;Pneumococcal Infections;Community-Acquired Infections;Leukemia, Myeloid, Acute;Urochordata;Hypopharyngeal Neoplasms;Enoxaparin;Enterovirus B, Human;Teratoma;Tonsillectomy;Virus Shedding;Streptococcus pneumoniae;Vaccines;Nasal Cavity;Tinnitus;Laser Capture Microdissection;Lymphadenopathy;Laryngeal Masks;COVID-19;Epstein-Barr Virus Infections;Hand, Foot and Mouth Disease;Mesocricetus;Porcine respiratory and reproductive syndrome virus;Tonsillitis;SARS-CoV-2;Proteomics;Hypotension, Controlled;Swine Diseases;Mpox (monkeypox);Heparin;Respiratory Tract Infections;Lymphoma, Large B-Cell, Diffuse;Heparin Lyase;Otitis Media with Effusion;Antibodies, Viral;Radiation Injuries;B-Lymphocytes;Tuberculosis, Miliary;Propofol;Multiomics;Meningeal Arteries;Palatine Tonsil;Nasopharynx;RNA, Viral;Gastrointestinal Microbiome;Respiratory Syncytial Virus Infections;Adenoidectomy;Bronchiolitis;Hypoparathyroidism;Pneumonia;Nasopharyngeal Neoplasms;MicroRNAs;Chordoma;Anemia, Sickle Cell;Microbiota;Deglutition Disorders;Otolaryngology;Critical Illness;Anticoagulants;Pyriform Sinus;Sarcoma, Myeloid;Sodium Chloride;Carcinoma, Squamous Cell;Zebrafish;Adenoids;Pharynx;Taste"
